Modulos com termos enriquecidos	Termos GO utilizados para enriquecimento neste modulo
123	GO:0022900,GO:0010033,GO:0006629,GO:1901615,GO:0036211,GO:0090305,GO:0010605,GO:0009892,GO:0010629,GO:0048519,GO:0090501,GO:0006950,GO:0009605,GO:0034220,GO:0030001,GO:0010256,GO:0048466,GO:0006996,GO:0072594,GO:0071705,GO:0051649,GO:0033036,GO:0044262,GO:0006357,GO:0016053,GO:0008652,GO:0006468,GO:0071702,GO:0044248,GO:0006508,GO:0072598,GO:0051291,GO:0071897,GO:0006278,GO:0009056,GO:0055086,GO:0016554,GO:0032774,GO:1901000,GO:0090407,GO:0000003,GO:0032196,GO:0070647,GO:0035556,GO:0048518,GO:0009628,GO:0007166,GO:0006414,GO:0006396,GO:0044085,GO:0032502,GO:0006325,GO:0032259,GO:0006338,GO:0042537,GO:0006310,GO:0006457,GO:0015979,GO:0008610,GO:0008202,GO:0016192,GO:0051641,GO:0035672,GO:0080134,GO:1900150,GO:0048583,GO:0015074,GO:0042157,GO:0022411,GO:0034660,GO:0034605,GO:0005996,GO:0042221,GO:0090567,GO:0006260,GO:0045229,GO:0071554,GO:0065009,GO:0015980,GO:0006289,GO:0033013,GO:0005976,GO:0016071,GO:0065008,GO:0006790,GO:0009451,GO:0042908,GO:0043933,GO:0016311
124	GO:0036211,GO:0009056,GO:0035556,GO:0009991,GO:0009403,GO:0006721,GO:0016101,GO:0009650,GO:0006950,GO:0006290,GO:0000719,GO:0009605,GO:0016053,GO:0055086,GO:0015979,GO:0044419,GO:0006396,GO:0006457,GO:0010498,GO:0071554,GO:0043244,GO:0009607,GO:0042221,GO:0010817,GO:0006508,GO:0140115,GO:0140352,GO:0098655,GO:0006790,GO:0007166,GO:0006468,GO:0015074,GO:0006996,GO:0000911,GO:0032259,GO:0048519,GO:0048518,GO:0065009,GO:0090305,GO:0009415,GO:0006325,GO:0044262,GO:0006629,GO:0009739,GO:0005996,GO:0090407,GO:0009611,GO:0015770,GO:0015805,GO:0071705,GO:0071702,GO:0032196,GO:0048583,GO:0032774,GO:0007017,GO:0006351,GO:0048856,GO:0006357,GO:0044085,GO:0007005,GO:0016485,GO:0071897,GO:0016311,GO:0034728,GO:0071824,GO:0043207,GO:0008037,GO:0007010,GO:0034220,GO:1901565,GO:0019748,GO:0006766,GO:0097306,GO:0034660,GO:0051246,GO:0000160,GO:0006414,GO:0045005,GO:0060966,GO:0031123,GO:0061024,GO:0009657,GO:0032502,GO:0046683,GO:0006260,GO:0044248,GO:0051641,GO:1901575,GO:0033013,GO:0043647,GO:0003006,GO:0000280,GO:1901615,GO:0009308,GO:0009737,GO:0043933
134	GO:0036211,GO:0055086
136	GO:0006950,GO:0090305,GO:0006508,GO:0043648,GO:0033036,GO:0009607,GO:0006629,GO:0044255,GO:0002376,GO:0048519,GO:0006952,GO:0009056,GO:0051341,GO:0044093,GO:0016053,GO:0036211,GO:0006457,GO:0071702,GO:0044085,GO:0032502,GO:0032774,GO:0022613
137	GO:0052781,GO:0006996,GO:0042221,GO:0006950,GO:0006974,GO:0044262,GO:0055086,GO:0006468,GO:0044085,GO:0006396,GO:0009056,GO:0006508,GO:0070887,GO:0048518,GO:0071702,GO:0006304,GO:0016071,GO:0036211,GO:0048519,GO:0032259,GO:0006457,GO:0034220,GO:0070071,GO:0006325,GO:0006108,GO:0065009
138	GO:2001233,GO:0033036,GO:0022900,GO:0006952,GO:0036211,GO:0048229,GO:0002831,GO:0032101,GO:0080134,GO:0031347,GO:0048878,GO:0071702,GO:0071705,GO:0009056,GO:0055086,GO:0006996,GO:0009636,GO:0042221,GO:0031425,GO:0006508,GO:0065009,GO:0044262,GO:0006950,GO:0006468,GO:1901575,GO:0034660,GO:0032259,GO:0006629,GO:0009605,GO:0032196,GO:0016192,GO:0016053,GO:0006260,GO:0034220,GO:0098732,GO:0090305,GO:0032774,GO:0006325,GO:0015074
139	GO:0006950,GO:0009605,GO:0008610,GO:0016101,GO:0090502,GO:0042221,GO:0035556,GO:0036211,GO:0009056,GO:0055086,GO:0032774,GO:0046777,GO:0030001,GO:0006812,GO:0034220,GO:0071702,GO:1901615,GO:0016071,GO:0055081,GO:0006396,GO:0006996,GO:1901700,GO:0007186,GO:0022900,GO:0006629,GO:0070887,GO:0044085,GO:0007049,GO:0090407,GO:0048583,GO:0065008,GO:0032259,GO:0016053,GO:0006508,GO:0044248
140	GO:0006396,GO:0006950,GO:0036211,GO:0032774,GO:0006457,GO:0055086,GO:0006629,GO:0002181,GO:0001732,GO:0061024,GO:0016192,GO:0016053,GO:0032259,GO:0070297
141	GO:0006950,GO:0009056,GO:0009719,GO:0006629,GO:0006891,GO:0006890,GO:0036211,GO:0043207,GO:0006468,GO:0006396,GO:0044419,GO:1901568,GO:0065009,GO:0034220,GO:0048519,GO:0071702,GO:0051173,GO:0031325,GO:2000026,GO:0032259,GO:0043467,GO:0010109,GO:0042548,GO:0006996,GO:0009605,GO:0015074,GO:0035556,GO:0046470,GO:0051702,GO:0045087,GO:0033036,GO:0071554,GO:0055086,GO:0006310,GO:0070592,GO:0006816,GO:0044085,GO:0006457,GO:0032196,GO:0016053,GO:0032774,GO:0002181,GO:0051641,GO:0042221,GO:0016192,GO:0006325,GO:0030029,GO:0006508,GO:0006952,GO:0015979,GO:0006812,GO:0032502
142	GO:0006508,GO:0006629,GO:0036211,GO:0008643,GO:0006950,GO:0009607,GO:0071702,GO:0015074,GO:0048519,GO:0006638,GO:0032774,GO:0006396,GO:0006468,GO:0009308,GO:0090305,GO:0006040,GO:0006996,GO:0032259,GO:0007017,GO:0032196,GO:0090407,GO:0010119,GO:0009451,GO:0071669,GO:0034220,GO:0042221,GO:0006766,GO:0009056,GO:0065009,GO:0016053,GO:0035556
