Accession	Run	Strandness	Raw Reads	Trimmed Reads	% Trimmed	Mapping Rate
ERR5960127	Internode_5_37-weeks_Q138	ISR	71,152,344	68,144,354	4.23	98.21
ERR5908732	Internode_8_19-weeks_Q138	ISR	69,518,996	63,917,600	8.06	98.23
ERR5916889	Internode_8_19-weeks_Q138	ISR	72,035,818	67,480,826	6.32	98.38
ERR5934461	Internode_8_19-weeks_Q138	ISR	63,504,648	58,322,888	8.16	98.05
ERR5948388	Internode_8_37-weeks_Q138	ISR	81,918,000	76,979,542	6.03	98.1
ERR5950347	Internode_8_37-weeks_Q138	ISR	73,365,936	44,769,136	38.98	98.01
ERR5976728	Internode_8_37-weeks_Q138	ISR	87,379,824	76,257,346	12.73	98.87
ERR5943506	Internode_Ex-5_37-weeks_Q138	ISR	73,162,924	67,186,732	8.17	97.84
ERR5948272	Internode_Ex-5_37-weeks_Q138	ISR	69,021,870	64,892,742	5.98	97.9
ERR5950736	Internode_Ex-5_37-weeks_Q138	IU	62,599,904	55,147,246	11.91	97.24
ERR5882008	Internode_5_19-weeks_Q151	ISR	78,119,638	74,310,060	4.88	98.37
ERR5882378	Internode_5_19-weeks_Q151	ISR	68,543,948	64,276,734	6.23	98.05
ERR5884014	Internode_5_19-weeks_Q151	ISR	62,430,796	58,758,964	5.88	97.9
ERR5950059	Internode_5_37-weeks_Q151	ISR	69,790,020	66,652,666	4.50	97.33
ERR5954095	Internode_5_37-weeks_Q151	ISR	75,570,092	68,411,386	9.47	97.7
ERR5976777	Internode_5_37-weeks_Q151	ISR	62,053,048	55,911,906	9.90	97.86
ERR5882631	Internode_8_19-weeks_Q151	ISR	66,830,870	61,575,668	7.86	96.27
ERR5884011	Internode_8_19-weeks_Q151	ISR	74,231,602	68,936,168	7.13	98.08
ERR5884047	Internode_8_37-weeks_Q151	ISR	80,359,172	76,009,978	5.41	97.73
ERR5902818	Internode_8_19-weeks_Q151	ISR	81,447,428	76,013,830	6.67	97.81
ERR5927883	Internode_8_37-weeks_Q151	ISR	78,088,202	74,098,576	5.11	97.83
ERR5950057	Internode_8_37-weeks_Q151	ISR	67,904,444	51,496,764	24.16	97.48
ERR5970143	Internode_Ex-5_37-weeks_Q151	ISR	78,407,622	74,116,968	5.47	98.05
ERR5976781	Internode_Ex-5_37-weeks_Q151	ISR	67,175,968	63,649,934	5.25	97.03
