Accession	Run	Strandness	Raw Reads	Trimmed Reads	% Trimmed	Mapping Rate
ERR5882821	Internode_5_19-weeks_SRA3	ISR	61,241,264	57,167,688	6.65	98.30
ERR5884419	Internode_5_19-weeks_SRA3	ISR	66,334,456	62,854,194	5.25	98.44
ERR5927876	Internode_5_37-weeks_SRA3	ISR	74,173,636	69,087,212	6.86	98.22
ERR5934427	Internode_5_19-weeks_SRA3	ISR	73,573,562	68,748,230	6.56	98.24
ERR5952766	Internode_5_37-weeks_SRA3	ISR	60,584,520	55,067,310	9.11	98.00
ERR5976782	Internode_5_37-weeks_SRA3	ISR	67,083,412	63,638,498	5.14	98.17
ERR5881566	Internode_8_19-weeks_SRA3	ISR	65,731,990	58,734,060	10.65	98.26
ERR5881616	Internode_8_19-weeks_SRA3	ISR	77,433,968	72,429,060	6.46	98.03
ERR5882600	Internode_8_19-weeks_SRA3	ISR	73,055,412	68,462,896	6.29	96.73
ERR5927878	Internode_8_37-weeks_SRA3	ISR	74,752,638	69,592,902	6.90	98.04
ERR5935630	Internode_8_37-weeks_SRA3	ISR	78,095,694	73,218,082	6.25	98.05
ERR5974750	Internode_8_37-weeks_SRA3	ISR	73,406,340	68,358,200	6.88	98.02
ERR5885438	Internode_Ex-5_37-weeks_SRA3	ISR	72,708,330	68,319,980	6.04	97.83
ERR5957083	Internode_Ex-5_37-weeks_SRA3	ISR	70,195,172	66,633,504	5.07	97.70
ERR5970264	Internode_Ex-5_37-weeks_SRA3	ISR	72,968,236	68,583,148	6.01	97.68
ERR5882606	Internode_5_19-weeks_SRA5	ISR	63,399,486	59,143,114	6.71	97.34
ERR5884188	Internode_5_37-weeks_SRA5	ISR	60,435,148	55,430,710	8.28	96.87
ERR5906599	Internode_5_19-weeks_SRA5	IU	56,016,590	52,880,578	5.60	97.63
ERR5914380	Internode_5_19-weeks_SRA5	ISR	62,370,014	58,198,220	6.69	97.70
ERR5957070	Internode_5_37-weeks_SRA5	ISR	76,749,354	73,842,602	3.79	98.00
ERR5960092	Internode_5_37-weeks_SRA5	ISR	79,188,660	75,229,802	5.00	98.90
ERR5881408	Internode_8_19-weeks_SRA5	ISR	61,376,352	57,863,192	5.72	97.60
ERR5881975	Internode_8_19-weeks_SRA5	ISR	64,792,956	60,130,446	7.20	97.65
ERR5900056	Internode_8_19-weeks_SRA5	ISR	74,020,306	68,816,036	7.03	97.51
ERR5927882	Internode_8_37-weeks_SRA5	ISR	66,308,550	62,235,328	6.14	97.73
ERR5950343	Internode_8_37-weeks_SRA5	ISR	77,105,510	73,164,148	5.11	97.54
ERR5976778	Internode_8_37-weeks_SRA5	ISR	72,417,228	67,549,020	6.72	97.93
ERR5947505	Internode_Ex-5_37-weeks_SRA5	ISR	74,831,050	70,678,362	5.55	97.82
ERR5952368	Internode_Ex-5_37-weeks_SRA5	ISR	67,287,950	59,013,076	12.30	97.15
ERR5986541	Internode_Ex-5_37-weeks_SRA5	IU	69,563,210	62,045,660	10.81	98.70
ERR5881560	Internode_5_19-weeks_SRA8	ISR	68,237,146	63,423,122	7.05	98.32
ERR5884031	Internode_5_19-weeks_SRA8	ISR	73,732,814	68,193,910	7.51	98.35
ERR5885040	Internode_5_19-weeks_SRA8	ISR	75,683,426	71,467,682	5.57	98.64
ERR5948293	Internode_5_37-weeks_SRA8	ISR	72,863,348	68,576,630	5.88	98.33
ERR5957079	Internode_5_37-weeks_SRA8	ISR	76,318,512	72,064,698	5.57	98.27
ERR5960088	Internode_5_37-weeks_SRA8	ISR	75,232,806	72,037,592	4.25	98.32
ERR5883268	Internode_8_19-weeks_SRA8	ISR	58,361,908	53,442,102	8.43	98.89
ERR5883996	Internode_8_19-weeks_SRA8	ISR	76,247,260	69,660,834	8.64	99.08
ERR5906385	Internode_8_19-weeks_SRA8	ISR	64,183,724	58,919,862	8.20	98.40
ERR5936077	Internode_8_37-weeks_SRA8	IU	77,383,910	70,837,130	8.46	98.25
ERR5957197	Internode_8_37-weeks_SRA8	ISR	68,588,204	65,404,380	4.64	98.35
ERR5960112	Internode_8_37-weeks_SRA8	ISR	79,534,970	75,787,070	4.71	98.35
ERR5948278	Internode_Ex-5_37-weeks_SRA8	IU	80,259,254	73,330,618	8.63	97.37
ERR5956560	Internode_Ex-5_37-weeks_SRA8	ISR	68,473,614	60,332,924	11.89	97.55
ERR5960090	Internode_Ex-5_37-weeks_SRA8	ISR	68,341,080	64,440,628	5.71	97.99
