GO.ID,Term,Annotated,Significant,Expected,Classic,p.adj
GO:0006108,malate metabolic process,11,1,0,0.0046,0.0315
GO:0006099,tricarboxylic acid cycle,21,1,0.01,0.0087,0.0315
GO:0009060,aerobic respiration,42,1,0.02,0.0174,0.0315
GO:0040008,regulation of growth,46,1,0.02,0.019,0.0315
GO:0045333,cellular respiration,49,1,0.02,0.0202,0.0315
GO:0043648,dicarboxylic acid metabolic process,64,1,0.03,0.0264,0.0315
GO:0015980,energy derivation by oxidation of organi...,67,1,0.03,0.0276,0.0315
GO:0040007,growth,84,1,0.03,0.0345,0.0345
