Module	Genes	Genes_coding	Genes_ncRNA	Genes_lncRNA
1203	47	22	12	13
1204	35	28	6	1
1207	97	70	26	1
1208	58	37	19	2
1209	76	62	0	14
1210	72	44	11	17
1211	80	56	17	7
1212	61	19	28	14
1213	95	64	5	26
1214	180	158	15	7
1215	70	42	18	10
1216	89	69	16	4
1217	90	52	12	26
1218	103	87	11	5
1219	68	40	7	21
1220	145	92	18	35
1221	73	35	24	14
1222	140	75	34	31
1223	117	54	43	20
1224	114	53	26	35
1225	117	78	16	23
1226	126	66	37	23
1227	119	71	34	14
1228	174	77	69	28
1229	243	155	48	40
1230	309	224	47	38
1231	111	67	22	22
1232	281	182	61	38
1233	193	95	55	43
1234	213	139	28	46
1235	225	148	39	38
1236	346	202	78	66
1237	372	237	75	60
1238	205	135	40	30
1239	389	270	87	32
1240	400	279	88	33
1241	288	170	70	48
1242	469	273	79	117
1243	533	256	126	151
1244	744	497	127	120
1245	598	353	129	116
1246	763	477	194	92
1247	729	437	175	117
1248	853	518	156	179
1249	772	451	171	150
1250	941	474	231	236
1251	926	591	147	188
1252	1263	755	225	283
1254	1436	1054	196	186
1255	1837	1267	271	299
1256	1726	1096	300	330
1257	1638	1071	272	295
1258	1500	936	320	244
1259	1915	1276	332	307
1260	1529	709	587	233
1261	2080	1475	339	266
1262	2567	1507	515	545
1263	67	56	6	5
1264	116	79	25	12
1268	22	10	11	1
1271	14	4	1	9
1272	10	1	5	4
1273	29	7	6	16
1274	35	18	15	2
1275	30	23	2	5
1276	66	57	8	1
1279	73	65	0	8
1280	52	44	4	4
1281	109	97	6	6
1282	149	135	0	14
1283	118	92	24	2
1284	202	197	0	5
1285	131	107	11	13
1286	104	63	24	17
1287	66	38	23	5
1288	194	182	3	9
1289	101	53	36	12
1290	189	176	4	9
1291	195	161	14	20
1292	206	187	11	8
1293	195	178	3	14
1294	274	187	21	66
1295	192	128	38	26
1296	206	188	9	9
1297	170	83	56	31
1298	109	48	43	18
1299	192	133	10	49
1300	225	188	19	18
1301	196	110	30	56
1302	412	346	8	58
1303	243	114	55	74
1304	244	170	13	61
1305	316	265	24	27
1306	284	211	48	25
1307	226	137	43	46
1308	348	202	64	82
1309	508	434	30	44
1310	264	159	31	74
1311	507	475	1	31
1312	450	282	107	61
1313	337	220	57	60
1314	575	475	32	68
1315	568	434	38	96
1316	689	563	27	99
1317	718	605	35	78
1318	306	217	66	23
1319	512	349	71	92
1320	991	827	58	106
1321	846	731	47	68
1322	904	764	60	80
1323	675	594	44	37
1324	1392	1231	41	120
1325	898	794	40	64
1326	829	677	48	104
1327	1403	1101	115	187
1328	1023	605	176	242
1329	1340	1094	59	187
1330	1023	808	53	162
1331	2703	2315	128	260
1332	2116	1802	105	209
1335	79	56	13	10
1337	53	51	0	2
1338	21	16	4	1
1339	139	96	7	36
1340	50	49	0	1
1342	12	5	4	3
1344	31	28	0	3
1345	67	64	0	3
1349	68	67	0	1
1350	98	94	0	4
1352	45	36	4	5
1353	67	43	17	7
1354	99	98	0	1
1355	134	127	0	7
1356	176	153	0	23
1357	119	92	9	18
1358	88	83	1	4
1359	110	92	1	17
1360	155	146	1	8
1361	137	114	0	23
1362	166	151	3	12
1363	244	190	15	39
1364	142	108	1	33
1365	202	185	1	16
1366	146	109	3	34
1367	218	133	26	59
1368	264	196	5	63
1369	288	255	8	25
1370	218	207	3	8
1371	353	277	22	54
1372	255	213	9	33
1373	283	238	5	40
1374	246	208	3	35
1375	248	215	13	20
1376	442	394	19	29
1377	914	781	58	75
1378	932	786	16	130
1379	1678	1495	56	127
1391	81	73	0	8
1392	32	22	0	10
1393	72	40	8	24
1394	82	41	13	28
1396	41	39	0	2
1397	71	70	0	1
1398	68	54	9	5
1399	196	173	5	18
1400	209	174	10	25
1402	299	239	27	33
1403	508	446	23	39
1404	157	148	0	9
1417	18	9	7	2
1418	26	16	3	7
1420	43	41	0	2
1426	36	33	2	1
1428	34	26	0	8
1430	27	23	2	2
1434	49	43	0	6
1435	36	19	0	17
1437	24	21	0	3
1438	36	27	3	6
1439	126	102	10	14
1440	36	33	2	1
1442	39	36	1	2
1444	73	69	0	4
1445	70	58	2	10
1446	51	49	1	1
1447	56	50	0	6
1448	92	84	1	7
1449	95	90	0	5
1450	103	100	0	3
1451	44	39	0	5
1452	62	61	0	1
1453	87	57	26	4
1454	100	77	5	18
1455	75	41	7	27
1456	65	60	0	5
1457	164	153	7	4
1458	134	111	8	15
1459	175	172	0	3
