Module	Genes	Genes_coding	Genes_ncRNA	Genes_lncRNA
1285	22	18	1	3
1286	13	6	6	1
1287	13	4	6	3
1289	20	9	5	6
1290	27	21	2	4
1291	43	31	4	8
1292	33	27	3	3
1293	29	23	2	4
1294	17	8	4	5
1295	22	6	7	9
1296	39	32	3	4
1297	44	23	13	8
1298	31	11	13	7
1299	35	23	5	7
1300	41	30	7	4
1301	61	27	13	21
1302	63	46	1	16
1303	79	34	19	26
1304	44	34	0	10
1306	63	39	13	11
1307	67	29	16	22
1308	106	47	21	38
1309	81	58	11	12
1310	72	29	12	31
1311	71	59	1	11
1312	128	63	38	27
1313	103	56	23	24
1315	88	66	9	13
1316	113	86	7	20
1317	22	14	3	5
1318	108	66	27	15
1319	91	51	20	20
1320	81	60	7	14
1321	105	80	15	10
1322	154	117	19	18
1323	140	104	19	17
1324	35	25	2	8
1325	161	129	13	19
1326	151	103	14	34
1327	177	129	23	25
1328	280	130	73	77
1329	197	146	19	32
1330	237	174	23	40
1331	259	202	22	35
1332	361	283	24	54
1340	13	12	0	1
1342	5	2	2	1
1345	7	6	0	1
1349	9	8	0	1
1350	7	5	0	2
1352	15	11	2	2
1353	16	10	4	2
1354	9	8	0	1
1355	11	8	0	3
1356	7	5	0	2
1357	19	12	2	5
1358	21	19	1	1
1359	23	19	0	4
1360	14	11	1	2
1361	28	22	0	6
1362	24	19	1	4
1363	36	19	6	11
1364	24	19	1	4
1365	38	32	1	5
1366	31	20	2	9
1367	38	25	5	8
1368	33	24	3	6
1369	31	26	3	2
1370	48	43	1	4
1371	47	32	6	9
1372	53	37	4	12
1373	40	31	1	8
1374	48	38	2	8
1375	39	31	2	6
1376	94	73	8	13
1377	145	111	19	15
1378	130	98	8	24
1379	165	121	22	22
1392	2	1	0	1
1393	7	3	2	2
1396	5	4	0	1
1397	10	9	0	1
1398	9	5	2	2
1399	15	12	0	3
1400	34	23	4	7
1402	3	2	0	1
1403	6	4	1	1
1417	5	3	1	1
1418	6	2	1	3
1420	6	5	0	1
1428	6	5	0	1
1434	4	3	0	1
1437	3	1	0	2
1439	7	5	1	1
1440	6	5	0	1
1442	8	6	1	1
1445	13	9	2	2
1446	8	6	1	1
1447	3	2	0	1
1449	5	4	0	1
1452	4	3	0	1
1453	16	10	5	1
1454	19	13	1	5
1455	17	12	3	2
1456	15	12	0	3
1457	18	14	2	2
1458	11	6	2	3
1459	11	10	0	1
1463	17	9	1	7
1464	9	7	1	1
1466	17	12	1	4
1467	27	20	2	5
1470	22	16	3	3
1471	35	25	6	4
1472	33	28	1	4
1473	45	33	6	6
1474	60	40	8	12
1475	65	56	2	7
1476	3	1	1	1
1477	44	33	1	10
1478	65	51	7	7
1479	42	28	6	8
1480	9	6	1	2
1481	62	44	6	12
1482	56	38	2	16
1483	58	41	6	11
1484	88	67	6	15
1485	106	79	8	19
1486	100	71	11	18
1487	148	67	53	28
1488	179	132	20	27
1580	12	7	3	2
1581	2	1	0	1
1591	18	11	3	4
1677	4	2	0	2
1698	2	1	0	1
1776	51	36	9	6
1783	17	12	2	3
1784	9	6	0	3
1785	30	19	3	8
1786	28	18	2	8
1790	22	15	2	5
1791	25	20	2	3
1793	13	11	1	1
1797	2	1	0	1
1799	16	14	0	2
1804	8	6	0	2
1805	15	11	1	3
1806	14	8	3	3
1807	8	5	1	2
1809	16	10	0	6
1814	4	3	0	1
1815	10	7	0	3
1821	10	9	0	1
1825	7	4	2	1
1828	8	7	0	1
1846	7	5	0	2
1852	14	9	3	2
1856	8	6	0	2
1863	6	3	1	2
1865	5	1	1	3
1873	5	3	1	1
1916	8	6	0	2
1921	5	3	1	1
1924	5	1	0	4
1929	8	3	2	3
1942	4	3	0	1
1945	5	4	0	1
1946	4	3	0	1
1966	9	7	1	1
1968	13	9	0	4
1972	62	49	4	9
1989	4	2	1	1
1997	8	3	2	3
1998	7	5	1	1
1999	5	2	1	2
2000	9	3	3	3
2005	2	1	0	1
2006	4	2	1	1
2011	7	5	1	1
2014	8	7	0	1
2019	10	8	0	2
2021	11	8	2	1
2126	9	1	2	6
2251	27	18	1	8
2252	4	3	0	1
2253	5	2	2	1
2260	4	3	0	1
2261	5	4	0	1
2296	5	3	1	1
2310	5	1	3	1
2311	6	2	1	3
2312	2	1	0	1
2330	5	1	2	2
2332	6	3	2	1
2338	3	1	1	1
2348	5	1	2	2
2353	10	8	0	2
2356	7	1	5	1
2358	5	4	0	1
2369	5	2	2	1
2370	13	10	0	3
2374	11	8	2	1
2375	9	6	1	2
2376	5	3	0	2
2377	5	2	1	2
2383	51	40	4	7
2384	4	1	0	3
2390	7	4	1	2
2392	2	1	0	1
2394	4	3	0	1
2396	139	102	22	15
2401	5	4	0	1
2406	20	14	2	4
2428	7	3	1	3
