Modulos com termos enriquecidos	Termos GO utilizados para enriquecimento neste modulo
566	GO:0032259,GO:0006629,GO:0009056,GO:0016051,GO:0090407,GO:0036211,GO:0043455,GO:0065009
577	GO:0044085,GO:0033554,GO:1901661,GO:0006743,GO:0006508,GO:0042908,GO:0042221,GO:0009056,GO:0034220,GO:0036211,GO:0006487,GO:0050790,GO:0022900
587	GO:0007017,GO:0036211,GO:0022607,GO:0006950,GO:0009605,GO:0006457,GO:0051641,GO:0071702,GO:0034220,GO:0009056,GO:0006629,GO:0006996,GO:0009658
600	GO:0006950,GO:0009056,GO:0036211,GO:0071702,GO:0034220,GO:0006996,GO:0016053,GO:0071705,GO:0033036,GO:0090407,GO:0090305,GO:0055086
603	GO:0006629
635	GO:0009056,GO:0006508,GO:0006396,GO:0036211,GO:0044085,GO:0055086
637	GO:0098542,GO:0036211,GO:0006508
645	GO:0006357,GO:0009646,GO:0006996,GO:0006396,GO:0022613,GO:0006457,GO:0006629,GO:0006950,GO:0006508,GO:0036211,GO:0044085
655	GO:0006396,GO:0006950,GO:0006399,GO:0034660,GO:0022613,GO:0034220,GO:0032259,GO:0036211,GO:0044085,GO:0009056
658	GO:0006396
666	GO:0070647,GO:0036211,GO:0071702,GO:0006996,GO:0009057,GO:0009812,GO:0032774,GO:0009698
678	GO:0036211,GO:0016053,GO:0071702,GO:0006996,GO:0033036
679	GO:0036211
698	GO:0009056,GO:0043933,GO:0071702,GO:0006996,GO:0090305,GO:0044085,GO:0098655,GO:0042592,GO:0006812,GO:0034220,GO:0006897,GO:0030029,GO:0006950,GO:0090407
702	GO:0033036,GO:0065009,GO:0061024,GO:0048519,GO:0042762,GO:0032774
706	GO:0071702,GO:0036211,GO:0034220,GO:0065008,GO:0090407
712	GO:0006730,GO:0009056,GO:0071702,GO:0051604
714	GO:0036211,GO:0071702,GO:0032774,GO:0006468,GO:0006414,GO:0048519
726	GO:0071702,GO:0044085,GO:0034220,GO:0022900,GO:0006996
727	GO:0071702,GO:0009636,GO:0008643,GO:0044085,GO:0055086
729	GO:0036211,GO:0006996,GO:0006508
731	GO:0006325,GO:0036211,GO:0044085
745	GO:0044085,GO:0036211,GO:0006812,GO:0080119,GO:0009056,GO:0071383,GO:0019740,GO:0034220
765	GO:0032259,GO:0005996
769	GO:0036211,GO:0065008,GO:0070727
780	GO:0036211,GO:0006396,GO:0071702,GO:0033036
784	GO:0006820
792	GO:0071702,GO:0022607,GO:0036211
808	GO:0032259,GO:0090407,GO:0019216,GO:0034220,GO:0006950,GO:0009100,GO:0036211,GO:0033036
809	GO:0015980,GO:0006508,GO:0006950,GO:0035556
829	GO:0048518
830	GO:0044085,GO:0005996,GO:0006629
845	GO:0015979,GO:0071702,GO:0071705,GO:0002758,GO:0010228,GO:0033013
847	GO:0045184,GO:0065009,GO:0006996
860	GO:0071702,GO:0044085
871	GO:0006631,GO:0019748,GO:0016311,GO:0034220
881	GO:0048519,GO:0065009,GO:0009056
890	GO:0015074
896	GO:0071702
901	GO:0036211,GO:0006730
902	GO:1901137,GO:0009056
918	GO:0042221
924	GO:0006996,GO:0006950,GO:0044085
931	GO:0006950,GO:0016053
936	GO:0006812
937	GO:0055086
