Module	Genes	Genes_coding	Genes_protein_and_non_coding	Genes_ncRNA	Genes_lncRNA
3182	67	0	61	4	2
3183	39	4	21	2	12
3184	64	0	47	12	5
3186	104	0	88	10	6
3187	68	0	61	4	3
3189	131	0	122	3	6
3194	268	4	204	41	19
3201	109	0	90	0	19
3202	38	4	30	3	1
3203	50	0	34	7	9
3204	119	0	88	4	27
3205	48	4	26	9	9
3206	133	4	121	7	1
3207	172	4	138	10	20
3211	62	9	27	8	18
3217	75	0	67	3	5
3218	53	0	40	12	1
3219	131	0	108	2	21
3228	73	0	69	0	4
3229	130	8	119	3	0
3230	70	0	61	0	9
3234	57	15	22	17	3
3235	41	13	16	7	5
3238	26	3	20	0	3
3239	49	12	7	17	13
3242	76	0	70	5	1
3243	91	4	82	2	3
3244	77	0	59	14	4
3247	188	4	142	5	37
3248	352	4	247	16	85
3249	171	0	146	5	20
3250	131	0	111	3	17
3254	132	0	118	5	9
3256	111	42	47	4	18
3260	56	16	21	15	4
3263	52	2	34	2	14
3264	55	0	35	2	18
3269	97	3	50	11	33
3270	77	0	42	11	24
3275	113	10	82	6	15
3276	185	10	137	12	26
3277	151	10	104	12	25
3283	176	0	133	15	28
3289	71	0	48	3	20
3291	55	4	37	8	6
3293	126	4	106	9	7
3294	257	7	219	9	22
3296	41	0	22	2	17
3300	116	4	105	7	0
3307	142	4	106	0	32
3309	57	0	45	0	12
3311	5438	90	4394	302	652
3316	86	0	68	3	15
3323	256	10	228	10	8
3324	544	11	481	11	41
3336	242	2	206	13	21
3339	27	0	23	0	4
3344	17	0	13	4	0
3368	238	0	220	4	14
3371	46	0	43	2	1
3372	357	9	291	6	51
3374	46	0	43	2	1
3375	86	7	43	6	30
3383	80	13	38	10	19
3385	22	0	17	2	3
3389	155	7	123	6	19
3397	109	0	89	2	18
3400	195	3	178	14	0
3403	59	27	16	3	13
3405	87	0	86	0	1
3408	76	0	55	6	15
3413	416	0	349	35	32
3414	328	0	252	47	29
3416	29	0	27	0	2
3418	29	0	27	0	2
3421	165	0	121	14	30
3424	95	5	37	37	16
3425	193	4	169	13	7
3436	409	0	329	35	45
3438	186	10	165	7	4
3444	18	0	13	1	4
3446	58	0	58	0	0
3447	84	0	35	10	39
3451	44	16	26	2	0
3456	14	0	14	0	0
3458	329	6	274	16	33
3459	227	6	191	15	15
3463	328	34	228	11	55
3466	371	2	320	17	32
3467	24	0	24	0	0
3471	20	0	13	0	7
3472	116	25	45	25	21
3474	24	0	24	0	0
3477	86	0	72	14	0
3480	350	8	280	33	29
3481	291	4	237	30	20
3489	41	0	27	11	3
3493	949	4	758	54	133
3494	704	4	550	47	103
3496	50	0	49	0	1
3499	191	0	143	25	23
3502	113	11	45	44	13
3507	982	4	892	10	76
3508	1003	4	885	22	92
3509	1017	4	924	13	76
3512	188	30	108	25	25
3516	150	20	83	33	14
3526	738	10	594	53	81
3542	2354	49	1981	103	221
3543	1702	32	1449	86	135
3547	20	0	13	4	3
3549	23	4	4	15	0
3553	26	9	15	2	0
3554	29	7	19	1	2
3558	31	0	10	0	21
3559	246	3	212	9	22
3563	282	9	239	9	25
3572	245	4	198	23	20
3573	41	0	41	0	0
3576	148	25	49	39	35
3580	38	0	28	0	10
3581	37	0	14	0	23
3589	27	0	26	0	1
3592	14	0	12	1	1
3595	30	0	27	3	0
3608	32	0	23	0	9
3611	289	0	244	12	33
3613	23	0	15	4	4
3626	224	32	52	43	97
3627	41	0	40	1	0
3629	30	0	23	0	7
3632	510	4	424	33	49
3640	45	0	40	0	5
3643	38	0	32	0	6
3645	290	53	154	47	36
3647	45	0	33	7	5
3649	36	0	23	12	1
3650	51	0	47	0	4
3651	854	4	771	8	71
3652	14	0	12	0	2
3656	493	10	401	46	36
3657	14	0	1	5	8
3658	47	4	41	0	2
3661	8	0	5	2	1
3662	1360	30	1143	71	116
3663	17	0	4	3	10
3664	29	8	2	16	3
3667	73	0	69	0	4
3674	35	0	28	7	0
3676	29	6	17	2	4
3678	38	3	28	3	4
3679	47	0	37	9	1
3685	199	55	112	25	7
3687	29	2	14	2	11
3688	26	0	8	2	16
3690	59	0	47	0	12
3697	456	0	386	30	40
3698	25	0	12	0	13
3702	93	0	87	2	4
3704	19	0	7	6	6
3711	34	0	18	10	6
3713	46	0	33	6	7
3719	92	4	81	5	2
3720	38	0	25	0	13
3721	38	0	25	0	13
3727	90	5	78	0	7
3728	61	0	58	0	3
3729	36	0	33	2	1
3730	74	10	42	22	0
3737	42	0	15	14	13
3738	28	0	22	5	1
3739	51	0	45	5	1
3740	30	0	24	5	1
3743	57	0	53	4	0
3754	32	0	20	7	5
3771	3238	45	2642	189	362
3773	332	20	269	14	29
3777	453	34	190	88	141
3785	208	0	193	1	14
3793	49	15	24	5	5
3798	64	35	16	5	8
3804	156	7	137	4	8
3805	113	0	82	21	10
3809	108	0	96	8	4
3811	529	63	250	122	94
3813	1089	284	553	134	118
3814	122	0	109	2	11
3818	41	12	14	6	9
3819	34	12	12	1	9
3820	118	0	91	5	22
3821	46	0	37	4	5
3826	1091	196	523	208	164
3832	136	3	112	13	8
3839	45	12	30	3	0
3852	32	22	8	0	2
3855	143	0	102	31	10
3860	245	12	205	15	13
3861	50	0	49	0	1
3862	224	2	190	20	12
3863	175	2	155	6	12
3866	187	2	139	14	32
3874	198	0	167	4	27
3886	301	0	244	2	55
3902	247	10	196	14	27
3910	192	11	153	2	26
3917	453	13	318	17	105
3918	660	53	470	85	52
3922	55	10	30	11	4
3932	25	0	19	6	0
3933	195	0	153	8	34
3934	171	0	129	8	34
3935	207	0	174	8	25
3936	197	0	183	5	9
3937	164	0	140	2	22
3938	246	0	200	13	33
3942	503	22	403	6	72
3947	810	6	645	20	139
3952	83	0	77	0	6
3953	67	0	61	0	6
3955	462	2	338	27	95
3956	213	2	187	11	13
3958	271	5	218	23	25
3960	59	33	22	4	0
3961	48	30	14	4	0
3964	306	14	224	24	44
3966	269	0	237	4	28
3970	268	0	233	10	25
3973	172	0	144	12	16
3974	291	2	249	11	29
3977	200	0	157	17	26
3980	277	0	252	14	11
3981	114	27	50	13	24
3983	150	0	139	8	3
3984	282	6	200	36	40
3991	115	5	71	8	31
3993	217	31	155	8	23
3997	30	0	26	0	4
3998	124	12	95	14	3
4003	115	2	99	2	12
4004	90	2	77	2	9
4005	292	3	261	9	19
4008	66	5	47	4	10
4009	79	0	71	0	8
4014	274	75	119	37	43
4015	145	0	123	19	3
4018	54	0	53	1	0
4019	119	0	109	1	9
4021	99	0	73	2	24
4022	248	54	72	85	37
4026	275	83	80	33	79
4031	118	2	103	6	7
4035	110	0	72	10	28
4038	128	12	106	5	5
4041	22	0	13	9	0
4047	112	0	108	1	3
4048	248	0	224	12	12
4052	245	2	179	21	43
4058	69	0	65	2	2
4059	170	14	132	5	19
4061	17	0	13	4	0
4062	148	0	133	1	14
4063	83	0	73	10	0
4066	122	0	106	9	7
4080	39	0	34	3	2
4081	47	0	36	0	11
4082	105	11	90	2	2
4086	68	0	66	0	2
4101	61	3	55	3	0
4102	60	0	60	0	0
4103	72	0	66	2	4
4104	56	3	53	0	0
4112	171	3	140	10	18
4121	42	0	42	0	0
4126	41	0	27	1	13
4127	601	6	447	15	133
4128	467	4	381	9	73
4131	13	0	4	1	8
4132	181	14	87	58	22
4138	27	0	26	1	0
4142	153	0	141	0	12
4143	14	2	3	6	3
4144	14	2	3	6	3
4145	53	14	25	8	6
4154	24	0	16	0	8
4162	33	10	21	0	2
4164	87	0	86	0	1
4170	27	6	12	0	9
4175	96	4	82	1	9
4176	77	3	70	1	3
4180	27	0	27	0	0
4181	27	0	27	0	0
4182	16	0	16	0	0
4183	22	0	16	0	6
4186	45	0	43	0	2
4189	91	2	78	2	9
4190	76	3	52	1	20
4218	56	0	33	0	23
4219	14	0	11	3	0
4220	55	2	22	19	12
4226	145	28	41	51	25
4227	145	28	41	51	25
4229	21	0	17	0	4
4235	66	4	54	5	3
4236	103	0	93	1	9
4238	85	0	72	2	11
4241	29	3	12	11	3
4242	16	3	3	9	1
4249	146	0	137	1	8
4258	124	2	119	2	1
4260	76	3	62	2	9
4264	74	4	60	1	9
4271	22	0	17	2	3
4272	385	2	318	11	54
4273	75	0	66	0	9
4276	347	17	241	9	80
4279	44	16	26	2	0
4281	55	0	43	0	12
4283	136	2	112	11	11
4284	40	0	37	2	1
4291	19	2	9	0	8
4294	154	25	120	5	4
4299	117	0	96	3	18
4300	84	0	59	10	15
4302	85	2	81	2	0
4304	334	0	290	17	27
4307	38	0	29	5	4
4308	97	4	86	3	4
4309	97	4	86	3	4
4310	91	8	71	9	3
4311	61	0	45	2	14
4312	54	0	46	0	8
4313	23	0	20	3	0
4314	94	4	80	0	10
4316	48	0	36	5	7
4318	101	0	101	0	0
4319	99	0	64	8	27
4320	71	0	71	0	0
4322	64	9	41	2	12
4324	30	0	25	2	3
4325	30	0	25	2	3
4326	101	2	76	15	8
4327	193	0	158	12	23
4328	92	0	89	0	3
4329	104	9	85	10	0
4335	44	0	40	3	1
4343	47	0	35	12	0
4344	81	6	65	4	6
4345	107	2	86	1	18
4346	99	2	92	0	5
4348	52	0	50	0	2
4349	54	0	40	1	13
4351	64	2	60	0	2
4357	41	3	35	0	3
4358	89	0	79	0	10
4359	125	34	39	11	41
4362	123	35	52	23	13
4363	124	35	52	24	13
4365	30	0	30	0	0
4366	15	0	15	0	0
4368	27	0	26	1	0
4369	55	8	30	13	4
4370	21	0	13	7	1
4372	119	12	70	17	20
4373	22	4	16	0	2
4374	81	0	41	31	9
4375	68	0	28	31	9
4377	74	0	67	5	2
4378	35	4	31	0	0
4379	35	4	31	0	0
4380	51	3	43	0	5
4381	21	2	14	0	5
4383	31	0	23	0	8
4384	24	6	17	0	1
4385	21	0	21	0	0
4387	100	0	91	0	9
4392	42	0	38	2	2
4393	27	0	27	0	0
4397	52	0	32	10	10
4398	38	0	29	1	8
4399	64	0	60	0	4
4400	122	0	109	4	9
4401	91	0	80	4	7
4402	121	6	84	15	16
4403	70	0	62	5	3
4404	78	0	52	20	6
4405	115	6	99	4	6
4406	102	6	88	3	5
4407	64	6	54	3	1
4408	101	0	99	1	1
4409	72	0	49	8	15
4410	50	8	13	18	11
4411	33	3	10	9	11
4412	62	32	19	10	1
4413	75	0	71	0	4
4414	154	0	139	1	14
4415	46	3	30	5	8
4416	133	0	112	10	11
4417	93	0	72	10	11
4418	76	25	39	7	5
4419	160	0	138	7	15
4420	88	0	66	7	15
4421	347	3	332	12	0
4422	171	5	157	3	6
4423	293	5	261	7	20
4424	216	5	192	3	16
4425	109	2	96	1	10
4426	157	2	134	0	21
4427	183	0	102	30	51
4428	304	0	230	8	66
4429	297	0	230	8	59
4430	135	0	115	13	7
4431	283	20	230	18	15
4432	156	0	144	1	11
4433	223	7	196	4	16
4434	259	4	218	26	11
4435	155	0	121	15	19
4436	107	0	77	11	19
4437	262	0	200	17	45
4438	247	42	167	12	26
4439	450	0	411	6	33
4440	378	0	349	6	23
4441	273	0	249	13	11
4442	251	0	227	13	11
4443	185	0	132	5	48
4444	261	7	215	9	30
4445	276	0	196	2	78
4446	152	6	115	13	18
4447	338	0	280	18	40
4448	556	49	397	72	38
4449	497	39	362	67	29
4450	853	29	712	56	56
4451	1212	35	1053	60	64
4452	991	29	841	64	57
4453	1147	35	989	66	57
4456	156	0	129	3	24
4457	95	0	70	1	24
4458	18	0	9	6	3
4459	43	8	30	5	0
4460	13	0	0	10	3
4461	36	25	3	2	6
4462	66	0	26	3	37
4463	27	6	7	5	9
4464	47	6	7	23	11
4465	31	12	5	14	0
4466	40	5	12	12	11
4467	41	26	5	7	3
4468	37	22	5	7	3
4469	38	12	10	8	8
4470	128	40	63	21	4
4471	52	11	16	6	19
4472	74	18	12	28	16
4473	164	80	33	35	16
4474	88	10	48	16	14
4475	512	389	111	9	3
4476	134	23	63	27	21
4477	293	66	118	62	47
4478	293	2	74	160	57
4479	378	69	140	107	62
4480	129	19	89	15	6
4484	34	0	34	0	0
4485	69	0	64	3	2
4486	38	11	27	0	0
4487	41	0	39	2	0
4488	25	0	15	10	0
4489	43	3	25	12	3
4490	46	0	24	9	13
4491	61	0	44	0	17
4492	71	2	69	0	0
4493	126	0	113	0	13
4494	71	0	63	3	5
4495	56	0	51	2	3
4496	133	0	132	0	1
4497	53	9	19	19	6
4498	129	0	117	0	12
4499	64	19	34	10	1
4500	209	4	188	13	4
4501	186	4	165	13	4
4502	78	3	57	0	18
4503	89	4	81	1	3
4504	166	15	124	0	27
4505	39	0	31	7	1
4506	91	0	62	14	15
4507	160	8	102	12	38
4508	205	0	149	21	35
4509	228	17	190	3	18
4510	163	4	134	10	15
4513	14	0	7	3	4
4514	18	8	7	2	1
4515	58	20	33	1	4
4516	68	8	59	1	0
4517	73	8	62	3	0
4518	444	0	349	20	75
4519	305	11	275	3	16
4520	312	0	267	15	30
4521	191	6	147	16	22
4522	116	21	40	32	23
4523	166	0	139	3	24
4524	164	12	56	16	80
4525	341	30	284	22	5
4526	184	3	170	2	9
4527	186	0	150	4	32
4528	153	5	129	5	14
4529	130	0	115	12	3
4530	171	5	139	6	21
4531	163	5	133	5	20
4532	133	0	117	2	14
4533	112	0	57	42	13
4534	95	0	81	0	14
4535	174	13	146	11	4
4536	160	17	123	2	18
4537	156	0	113	17	26
4538	76	16	29	14	17
4539	107	0	85	1	21
4540	102	0	83	1	18
4541	149	15	113	4	17
4542	138	0	123	2	13
4543	178	69	53	30	26
4544	74	29	9	20	16
4545	136	0	128	0	8
4546	93	6	73	7	7
4547	69	0	50	2	17
4548	83	0	60	3	20
4549	76	0	71	5	0
4550	77	0	66	0	11
4551	63	0	63	0	0
4552	402	285	105	9	3
4553	229	175	42	9	3
4554	149	3	144	0	2
4555	93	0	74	8	11
4556	59	0	43	0	16
4557	79	0	64	0	15
4558	105	0	104	1	0
4559	48	0	43	0	5
4560	63	0	49	8	6
4561	41	0	31	10	0
4562	62	0	61	0	1
4563	56	0	55	0	1
4564	35	0	31	4	0
4565	107	0	73	7	27
4566	36	0	30	0	6
4567	86	0	77	5	4
4568	46	0	22	10	14
4569	37	0	24	0	13
4570	28	0	21	0	7
4571	34	0	29	3	2
4572	21	0	17	0	4
4573	21	0	17	0	4
4574	36	0	31	2	3
4575	14	0	9	2	3
4576	22	0	20	0	2
4577	28	0	26	2	0
4578	46	0	45	0	1
4579	19	0	5	7	7
4605	21	0	21	0	0
4609	59	0	45	0	14
6027	64	54	8	0	2
6090	18	0	8	5	5
6105	37	2	27	0	8
6128	120	0	120	0	0
6159	32	0	28	1	3
6197	22	0	19	0	3
6198	18	0	17	0	1
6203	31	0	31	0	0
6210	21	0	21	0	0
6211	40	0	19	2	19
6221	11	6	0	5	0
6222	26	11	2	12	1
6228	10	2	0	7	1
6231	37	0	37	0	0
6232	24	13	8	3	0
6234	27	0	27	0	0
6239	43	0	43	0	0
6243	43	0	29	4	10
6249	21	0	11	7	3
6257	13	0	12	0	1
6268	22	0	18	4	0
6272	24	0	20	1	3
6277	23	0	11	0	12
6285	69	0	41	0	28
6288	16	6	3	7	0
6291	31	0	24	3	4
6293	23	0	11	10	2
6294	78	0	77	0	1
6296	19	0	15	0	4
6299	30	8	20	2	0
6300	39	2	35	2	0
6309	67	0	66	0	1
6312	17	2	7	3	5
6313	15	5	2	6	2
6314	18	6	5	4	3
6315	45	0	9	3	33
6316	23	0	5	14	4
6317	24	0	2	11	11
6318	13	3	4	2	4
6319	21	18	0	2	1
6320	13	0	8	4	1
6321	11	0	2	4	5
6322	10	0	4	5	1
6323	27	23	0	4	0
6324	47	43	2	2	0
6325	17	5	1	9	2
6326	25	0	20	2	3
6327	13	0	5	7	1
6328	16	0	10	5	1
6329	27	4	23	0	0
6330	66	0	43	23	0
6331	19	0	10	0	9
6332	35	3	25	7	0
6333	104	0	96	0	8
6334	29	2	26	0	1
6335	45	0	42	0	3
6336	15	0	15	0	0
6337	28	0	26	0	2
6340	39	0	33	0	6
6341	16	4	8	0	4
6342	35	3	29	0	3
6343	28	0	25	2	1
6344	25	0	13	0	12
6345	61	0	60	1	0
6346	21	0	21	0	0
6347	35	0	26	9	0
6348	27	0	16	0	11
6349	15	0	6	6	3
6350	57	0	50	4	3
6351	43	20	17	0	6
6352	55	3	37	11	4
6353	25	0	24	0	1
6354	71	3	29	2	37
6355	31	0	25	6	0
6356	76	0	26	0	50
6357	13	8	1	2	2
6358	24	0	6	3	15
6359	56	0	56	0	0
6360	31	0	30	1	0
6361	26	0	10	0	16
6362	27	0	26	1	0
6363	66	0	66	0	0
6364	25	0	12	10	3
6365	24	0	22	2	0
6366	34	0	32	2	0
6367	26	0	12	10	4
6368	27	5	17	5	0
6369	23	0	16	0	7
6370	25	0	8	12	5
6371	56	32	20	2	2
6372	17	0	3	13	1
6373	18	6	11	1	0
6374	10	0	9	0	1
6375	19	8	6	0	5
6376	13	4	0	6	3
6377	14	0	3	10	1
6378	20	0	4	15	1
6379	32	24	5	2	1
6380	17	0	2	4	11
6381	13	2	4	0	7
6382	29	2	17	7	3
6383	24	4	18	1	1
6384	54	31	12	0	11
6385	8	0	3	2	3
6386	22	0	22	0	0
6387	29	0	26	2	1
6388	27	0	26	0	1
6389	17	0	17	0	0
6390	41	0	32	0	9
6391	12	0	12	0	0
6392	15	0	8	5	2
6393	11	0	11	0	0
6394	50	0	50	0	0
6395	25	0	15	5	5
6396	22	0	11	0	11
6397	25	6	19	0	0
6398	16	0	12	2	2
6399	80	0	75	0	5
6400	61	0	52	0	9
6401	28	0	26	1	1
6402	19	0	11	8	0
6403	20	2	11	5	2
6404	79	0	79	0	0
6405	87	3	78	0	6
6406	54	0	43	11	0
6407	116	5	93	0	18
6408	17	3	6	1	7
6409	30	0	18	7	5
6410	27	0	12	10	5
6411	39	13	26	0	0
6412	29	3	12	11	3
6413	31	15	10	6	0
6414	33	0	26	6	1
6415	32	0	16	16	0
6416	25	7	16	1	1
6417	34	0	6	8	20
6418	25	0	22	3	0
6419	30	0	6	17	7
6420	12	0	7	4	1
6421	37	0	36	0	1
6422	41	0	39	0	2
6423	14	0	10	2	2
6424	107	18	79	10	0
6425	70	24	42	2	2
6426	84	0	62	21	1
6427	59	0	54	5	0
6428	72	46	23	0	3
6429	30	10	9	9	2
6430	29	2	8	12	7
6431	33	18	11	2	2
6432	24	9	6	5	4
6433	35	6	13	12	4
6434	50	0	18	20	12
6435	29	0	10	19	0
6436	32	0	13	7	12
6437	52	10	35	0	7
6438	30	4	24	0	2
6439	57	8	45	2	2
6440	38	0	24	4	10
6441	82	2	73	4	3
6442	52	0	51	0	1
6443	60	0	45	7	8
6444	37	0	28	1	8
6445	44	0	23	9	12
6446	77	0	70	0	7
6447	45	11	33	0	1
6448	31	9	20	2	0
6449	24	0	18	1	5
6450	120	0	117	3	0
6451	82	0	81	1	0
6452	28	0	26	0	2
6453	94	8	65	9	12
6454	32	0	13	14	5
6455	46	0	15	31	0
6456	31	12	6	3	10
6457	26	9	3	8	6
6458	116	89	22	2	3
6459	41	11	23	5	2
6460	42	14	0	21	7
6461	64	2	43	19	0
6462	29	0	3	19	7
6463	34	7	14	9	4
6464	23	2	11	4	6
6465	30	0	27	1	2
6466	53	0	42	0	11
6467	22	0	21	0	1
6468	68	0	67	0	1
6469	67	0	64	2	1
6470	69	4	51	0	14
6471	22	0	17	2	3
6472	94	0	94	0	0
6473	226	0	196	19	11
6474	51	2	37	6	6
6475	48	4	16	12	16
6476	33	2	5	25	1
6477	31	2	12	11	6
6478	59	9	33	14	3
6479	70	2	28	30	10
6480	41	0	31	8	2
6481	99	2	93	0	4
6482	24	3	11	2	8
6483	103	0	103	0	0
6484	47	0	42	4	1
6485	82	2	74	4	2
6486	23	0	17	2	4
6487	50	0	46	1	3
6488	92	0	73	0	19
6489	38	0	28	8	2
6490	106	0	99	0	7
6491	45	9	21	0	15
6492	48	16	8	15	9
6493	50	7	16	5	22
6494	46	3	31	10	2
6495	57	0	53	2	2
6496	100	16	52	13	19
6497	92	0	79	13	0
6498	22	0	17	2	3
6499	189	0	180	0	9
6500	29	5	4	16	4
6501	49	0	29	0	20
6502	117	0	112	1	4
6503	103	0	96	0	7
6504	53	0	51	1	1
6505	56	2	54	0	0
6506	58	0	52	0	6
6507	43	3	35	0	5
6508	68	6	34	9	19
6509	47	12	26	8	1
6510	64	6	46	0	12
6511	60	0	51	0	9
6512	120	2	114	1	3
6513	52	13	16	8	15
6514	98	23	32	22	21
6515	125	16	86	19	4
6516	96	0	85	4	7
6517	74	0	65	4	5
6518	68	0	57	4	7
6519	89	3	70	10	6
6520	105	5	92	4	4
6521	77	0	63	10	4
6522	58	9	38	2	9
6523	169	0	162	0	7
6524	48	0	41	5	2
6525	69	0	67	0	2
6526	101	0	96	0	5
6527	98	0	90	4	4
6528	59	0	35	23	1
6529	94	0	83	1	10
6530	84	0	75	9	0
6531	43	10	4	19	10
6532	56	3	47	4	2
6533	68	0	66	2	0
6534	121	4	104	0	13
6535	83	0	72	1	10
6536	121	0	86	10	25
6537	83	2	79	0	2
6538	61	2	55	0	4
6539	69	0	43	13	13
6540	118	0	110	8	0
6541	61	6	30	10	15
6542	113	2	98	0	13
6543	99	4	73	13	9
6544	84	0	80	1	3
6545	148	5	134	3	6
6546	123	0	87	14	22
6547	107	28	33	5	41
6548	93	6	37	40	10
6549	79	45	19	4	11
6550	152	0	132	3	17
6551	180	0	155	17	8
6552	77	3	63	10	1
6553	157	3	131	20	3
6554	93	0	54	27	12
6555	126	0	99	3	24
6556	94	27	30	17	20
6557	284	0	226	0	58
6558	74	5	38	19	12
6559	76	0	61	3	12
6560	102	41	48	8	5
6561	262	0	221	2	39
6562	128	0	104	13	11
6563	195	3	148	1	43
6564	129	0	97	5	27
6565	94	0	65	10	19
6566	110	13	43	30	24
6567	229	7	191	3	28
6568	136	11	80	27	18
6569	151	0	130	13	8
6570	106	10	46	13	37
6571	136	16	55	33	32
6572	172	40	60	44	28
6573	351	5	294	6	46
6574	223	151	25	24	23
6575	192	0	157	16	19
6576	125	7	54	38	26
6577	134	19	55	26	34
6578	350	0	280	9	61
6579	624	460	99	28	37
6580	308	17	235	27	29
6581	217	42	35	90	50
6582	418	39	280	77	22
6583	361	0	312	13	36
6584	666	29	527	63	47
6592	38	0	30	3	5
6605	39	0	30	0	9
6621	32	10	15	5	2
6622	32	10	15	5	2
6631	32	0	26	1	5
6632	35	0	31	1	3
6634	58	0	58	0	0
6635	23	0	19	4	0
6636	13	2	6	4	1
6638	26	0	16	7	3
6640	31	0	19	3	9
6642	40	0	38	0	2
6643	39	0	29	0	10
6644	18	0	15	0	3
6645	134	0	99	0	35
6647	60	0	46	0	14
6655	21	21	0	0	0
6656	37	0	31	0	6
6657	58	11	38	6	3
6658	54	34	9	10	1
6659	23	9	4	2	8
6660	42	11	15	11	5
6661	49	10	25	5	9
6662	61	23	9	19	10
6663	83	7	52	2	22
6664	93	0	69	20	4
6665	95	17	49	17	12
6666	97	26	42	27	2
6667	98	5	56	26	11
6668	83	11	39	19	14
6669	124	23	45	37	19
6670	124	25	47	28	24
6671	210	17	155	24	14
6672	160	19	64	36	41
6673	171	33	61	31	46
6674	237	34	84	57	62
6675	304	29	165	54	56
6676	230	45	70	57	58
6677	343	39	186	67	51
6678	252	18	112	57	65
6679	436	38	195	124	79
6680	793	262	383	55	93
6681	593	113	245	141	94
6682	566	46	279	156	85
6683	533	118	193	126	96
6684	682	161	298	140	83
6685	658	114	334	95	115
6686	1000	211	532	130	127
6687	942	129	392	204	217
6721	40	0	40	0	0
6725	65	0	41	22	2
6726	52	0	41	9	2
6727	22	6	8	8	0
6728	40	0	31	0	9
6729	27	0	27	0	0
6730	12	4	6	0	2
6731	22	4	12	4	2
6732	41	4	20	16	1
6733	27	0	10	16	1
6734	20	0	10	10	0
6735	22	0	7	2	13
6736	55	0	41	1	13
6737	40	0	25	4	11
6740	56	3	53	0	0
6741	83	2	30	28	23
6742	461	67	229	95	70
6743	20	0	15	4	1
6744	52	3	29	18	2
6745	155	11	84	28	32
6746	108	28	45	17	18
6747	101	8	65	22	6
6748	71	12	23	23	13
6749	38	0	12	20	6
6750	92	15	62	9	6
6751	84	5	33	21	25
6752	213	8	194	0	11
6753	145	9	103	19	14
6754	181	48	72	41	20
6755	238	90	88	25	35
6756	320	55	210	30	25
6757	509	71	268	82	88
6758	1050	172	507	201	170
6760	222	10	189	3	20
6761	134	3	114	1	16
6762	116	0	108	4	4
6763	166	4	144	7	11
6764	113	0	90	13	10
6765	120	2	98	2	18
6766	35	0	21	1	13
6767	33	0	27	1	5
6768	78	0	75	2	1
6769	40	0	31	0	9
6770	56	0	38	0	18
6771	14	0	8	4	2
6772	24	6	10	8	0
6773	29	0	21	0	8
6774	52	0	50	0	2
6775	22	0	13	4	5
6776	20	0	20	0	0
6778	21	2	18	0	1
6779	37	0	31	6	0
6780	38	0	22	6	10
6781	30	2	6	10	12
6782	59	0	59	0	0
6783	59	0	55	4	0
6785	20	0	20	0	0
6804	756	8	555	71	122
6805	534	6	367	60	101
6823	35	0	30	2	3
6829	254	23	206	4	21
6833	90	21	37	20	12
6834	179	6	138	0	35
6835	194	0	168	5	21
6836	148	0	123	10	15
6837	38	0	34	2	2
6838	10	0	6	4	0
6839	173	0	123	19	31
6840	118	6	112	0	0
6843	119	6	96	6	11
6844	23	0	23	0	0
6845	48	0	45	0	3
6846	58	10	16	19	13
6847	24	0	21	0	3
6849	85	0	84	0	1
6850	19	0	19	0	0
6851	25	0	21	1	3
6852	55	0	53	2	0
6854	102	0	96	0	6
6855	42	0	41	0	1
6856	40	0	31	0	9
6857	63	0	57	5	1
6858	124	0	99	0	25
6859	84	0	82	1	1
6860	15	5	2	6	2
6861	39	11	15	12	1
6862	19	2	17	0	0
6863	26	0	8	16	2
6864	39	0	32	0	7
6865	54	0	51	0	3
6866	57	0	56	0	1
6867	28	0	26	1	1
6868	31	0	24	3	4
6869	29	0	19	0	10
6870	38	8	23	2	5
6871	43	0	29	0	14
6872	82	11	59	6	6
6873	23	0	19	2	2
6874	81	0	78	0	3
6875	25	0	19	2	4
6876	42	0	32	0	10
6877	64	2	58	0	4
6878	80	0	73	0	7
6879	37	0	28	1	8
6880	104	0	94	2	8
6881	68	0	43	11	14
6882	51	3	43	0	5
6883	169	0	162	0	7
6884	222	0	202	13	7
6885	79	2	60	5	12
6886	197	0	181	5	11
6887	109	2	103	0	4
6888	68	2	66	0	0
6889	30	0	29	0	1
6890	25	3	22	0	0
6891	13	3	2	1	7
6899	31	0	28	3	0
6900	64	0	60	4	0
6901	39	0	19	19	1
6902	97	21	46	22	8
6903	352	3	309	19	21
6904	315	4	248	41	22
6905	188	0	158	11	19
6906	152	19	112	14	7
6907	151	5	112	9	25
6909	107	10	86	3	8
6910	134	14	86	8	26
6911	65	0	58	1	6
6912	82	0	66	12	4
6913	104	6	96	0	2
6914	62	0	48	2	12
6915	135	0	133	2	0
6916	73	0	72	0	1
6917	70	0	50	0	20
6919	57	0	52	3	2
6921	52	0	32	0	20
6922	21	0	18	2	1
6933	45	0	30	9	6
6942	28	0	28	0	0
6943	44	0	34	2	8
6944	30	0	13	16	1
6945	43	19	13	10	1
6946	101	21	32	37	11
6947	267	55	97	56	59
6952	85	0	66	11	8
6954	1151	51	872	79	149
6955	927	44	672	80	131
6956	813	42	579	71	121
6957	269	38	140	61	30
6958	257	28	138	61	30
6959	257	28	138	61	30
6960	466	2	390	23	51
6961	194	61	60	42	31
6962	317	90	127	66	34
6963	371	25	303	1	42
6964	153	72	45	16	20
6965	169	9	139	4	17
6966	254	2	198	32	22
6967	125	16	44	52	13
6968	56	17	10	21	8
6969	202	0	199	3	0
6970	65	6	17	21	21
6971	74	0	33	34	7
6972	76	0	50	0	26
