Module	Genes	Genes_coding	Genes_protein_and_non_coding	Genes_ncRNA	Genes_lncRNA
1039	20	2	10	5	3
1040	67	3	49	15	0
1041	89	7	57	25	0
1042	73	8	54	10	1
1043	40	0	38	0	2
1044	89	0	83	1	5
1045	85	0	57	16	12
1046	160	0	126	18	16
1047	64	0	61	0	3
1048	262	2	223	1	36
1049	191	2	161	1	27
1050	79	36	31	12	0
1051	24	5	8	10	1
1052	65	25	30	7	3
1053	41	2	29	0	10
1054	60	0	55	5	0
1055	98	0	95	2	1
1056	38	3	14	5	16
1058	59	0	40	10	9
1059	84	0	74	7	3
1060	106	3	86	2	15
1061	42	7	23	0	12
1062	81	0	63	8	10
1063	105	0	87	8	10
1064	64	3	47	3	11
1065	47	5	23	4	15
1066	124	8	63	25	28
1067	143	14	112	4	13
1068	115	5	86	11	13
1069	48	10	16	9	13
1070	32	0	26	0	6
1071	79	6	54	6	13
1074	96	10	43	8	35
1075	67	0	48	0	19
1076	54	0	35	0	19
1077	62	0	44	6	12
1078	92	11	45	24	12
1079	150	103	32	14	1
1080	119	12	70	17	20
1081	122	0	100	6	16
1082	192	28	73	47	44
1085	87	3	79	2	3
1086	84	4	4	60	16
1087	92	10	51	23	8
1088	84	5	48	23	8
1092	57	0	42	8	7
1093	74	0	46	3	25
1096	17	0	6	0	11
1097	924	22	775	37	90
1098	723	22	594	25	82
1099	136	40	72	14	10
1100	64	0	61	1	2
1101	76	3	66	5	2
1103	51	0	48	0	3
1107	99	0	72	8	19
1108	63	3	51	5	4
1109	118	0	111	0	7
1110	64	0	57	0	7
1112	136	3	131	1	1
1113	90	0	88	1	1
1114	67	0	62	0	5
1115	47	5	33	9	0
1116	35	3	27	5	0
1120	15	0	13	0	2
1121	10	0	8	0	2
1131	82	0	79	0	3
1133	76	0	65	4	7
1136	52	0	47	0	5
1140	99	17	36	23	23
1141	96	10	69	7	10
1147	130	18	107	3	2
1157	41	0	38	0	3
1158	68	0	27	13	28
1160	101	0	97	2	2
1161	38	0	36	0	2
1162	110	3	97	10	0
1163	92	3	54	9	26
1164	50	35	13	2	0
1165	133	2	65	28	38
1166	94	0	45	21	28
1168	85	0	45	7	33
1172	52	0	51	0	1
1173	77	2	69	3	3
1186	26	0	25	0	1
1187	10	0	9	1	0
1188	33	0	33	0	0
1189	54	0	46	7	1
1190	60	0	52	8	0
1191	95	2	70	5	18
1192	21	0	11	5	5
1193	20	0	13	5	2
1194	9	2	0	5	2
1195	21	3	12	6	0
1196	53	22	31	0	0
1197	28	12	9	6	1
1198	48	13	22	13	0
1199	68	24	31	7	6
1200	39	9	12	6	12
1201	33	13	4	13	3
1202	43	20	15	0	8
1203	47	0	22	12	13
1204	35	20	8	6	1
1205	136	3	118	15	0
1206	87	41	27	19	0
1207	97	13	57	26	1
1208	58	17	20	19	2
1209	76	15	47	0	14
1210	72	11	33	11	17
1211	80	5	51	17	7
1212	61	16	3	28	14
1213	95	24	40	5	26
1214	180	20	138	15	7
1215	70	15	27	18	10
1216	89	53	16	16	4
1217	90	3	49	12	26
1218	103	33	54	11	5
1219	68	18	22	7	21
1220	145	16	76	18	35
1221	73	11	24	24	14
1222	140	4	71	34	31
1223	117	11	43	43	20
1224	114	11	42	26	35
1225	117	27	51	16	23
1226	126	9	57	37	23
1227	119	37	34	34	14
1228	174	13	64	69	28
1229	243	51	104	48	40
1230	309	136	88	47	38
1231	111	32	35	22	22
1232	281	82	100	61	38
1233	193	32	63	55	43
1234	213	63	76	28	46
1235	225	33	115	39	38
1236	346	42	160	78	66
1237	372	95	142	75	60
1238	205	25	110	40	30
1239	389	57	213	87	32
1240	400	88	191	88	33
1241	288	44	126	70	48
1242	469	79	194	79	117
1243	533	47	209	126	151
1244	744	152	345	127	120
1245	598	64	289	129	116
1246	763	115	362	194	92
1247	729	170	267	175	117
1248	853	132	386	156	179
1249	772	125	326	171	150
1250	941	152	322	231	236
1251	926	181	410	147	188
1252	1263	195	560	225	283
1254	1436	320	734	196	186
1255	1837	420	847	271	299
1256	1726	255	841	300	330
1257	1638	422	649	272	295
1258	1500	236	700	320	244
1259	1915	289	987	332	307
1260	1529	248	461	587	233
1261	2080	490	985	339	266
1262	2567	315	1192	515	545
1263	67	9	47	6	5
1264	116	25	54	25	12
1267	36	35	0	1	0
1268	22	0	10	11	1
1271	14	0	4	1	9
1272	10	0	1	5	4
1273	29	0	7	6	16
1274	35	10	8	15	2
1275	30	7	16	2	5
1276	66	0	57	8	1
1278	57	8	49	0	0
1279	73	0	65	0	8
1280	52	13	31	4	4
1281	109	3	94	6	6
1282	149	3	132	0	14
1283	118	34	58	24	2
1284	202	4	193	0	5
1285	131	0	107	11	13
1286	104	10	53	24	17
1287	66	3	35	23	5
1288	194	0	182	3	9
1289	101	10	43	36	12
1290	189	0	176	4	9
1291	195	0	161	14	20
1292	206	26	161	11	8
1293	195	8	170	3	14
1294	274	0	187	21	66
1295	192	29	99	38	26
1296	206	4	184	9	9
1297	170	35	48	56	31
1298	109	4	44	43	18
1299	192	0	133	10	49
1300	225	3	185	19	18
1301	196	14	96	30	56
1302	412	2	344	8	58
1303	243	37	77	55	74
1304	244	6	164	13	61
1305	316	21	244	24	27
1306	284	56	155	48	25
1307	226	54	83	43	46
1308	348	38	164	64	82
1309	508	34	400	30	44
1310	264	80	79	31	74
1311	507	3	472	1	31
1312	450	83	199	107	61
1313	337	87	133	57	60
1314	575	8	467	32	68
1315	568	13	421	38	96
1316	689	30	533	27	99
1317	718	28	577	35	78
1318	306	72	145	66	23
1319	512	104	245	71	92
1320	991	50	777	58	106
1321	846	17	714	47	68
1322	904	34	730	60	80
1323	675	23	571	44	37
1324	1392	8	1223	41	120
1325	898	32	762	40	64
1326	829	49	628	48	104
1327	1403	74	1027	115	187
1328	1023	93	512	176	242
1329	1340	19	1075	59	187
1330	1023	4	804	53	162
1331	2703	96	2219	128	260
1332	2116	19	1783	105	209
1335	79	2	54	13	10
1337	53	0	51	0	2
1338	21	0	16	4	1
1339	139	55	41	7	36
1340	50	0	49	0	1
1342	12	3	2	4	3
1343	76	0	76	0	0
1344	31	6	22	0	3
1345	67	0	64	0	3
1346	71	0	71	0	0
1347	34	0	34	0	0
1348	19	0	16	3	0
1349	68	6	61	0	1
1350	98	2	92	0	4
1351	122	6	112	4	0
1352	45	0	36	4	5
1353	67	0	43	17	7
1354	99	0	98	0	1
1355	134	0	127	0	7
1356	176	0	153	0	23
1357	119	0	92	9	18
1358	88	0	83	1	4
1359	110	0	92	1	17
1360	155	0	146	1	8
1361	137	0	114	0	23
1362	166	0	151	3	12
1363	244	23	167	15	39
1364	142	4	104	1	33
1365	202	0	185	1	16
1366	146	0	109	3	34
1367	218	0	133	26	59
1368	264	0	196	5	63
1369	288	0	255	8	25
1370	218	13	194	3	8
1371	353	4	273	22	54
1372	255	16	197	9	33
1373	283	0	238	5	40
1374	246	10	198	3	35
1375	248	0	215	13	20
1376	442	67	327	19	29
1377	914	55	726	58	75
1378	932	24	762	16	130
1379	1678	12	1483	56	127
1388	48	0	48	0	0
1391	81	0	73	0	8
1392	32	0	22	0	10
1393	72	0	40	8	24
1394	82	0	41	13	28
1395	75	0	73	2	0
1396	41	4	35	0	2
1397	71	9	61	0	1
1398	68	0	54	9	5
1399	196	0	173	5	18
1400	209	8	166	10	25
1402	299	70	169	27	33
1403	508	6	440	23	39
1404	157	0	148	0	9
1417	18	5	4	7	2
1418	26	0	16	3	7
1419	11	0	8	3	0
1420	43	0	41	0	2
1421	43	0	43	0	0
1424	37	0	37	0	0
1426	36	0	33	2	1
1427	23	0	22	1	0
1428	34	8	18	0	8
1430	27	0	23	2	2
1431	16	0	16	0	0
1432	8	5	1	2	0
1433	58	0	58	0	0
1434	49	0	43	0	6
1435	36	0	19	0	17
1436	20	0	19	1	0
1437	24	2	19	0	3
1438	36	4	23	3	6
1439	126	0	102	10	14
1440	36	6	27	2	1
1441	30	0	24	6	0
1442	39	0	36	1	2
1443	80	0	80	0	0
1444	73	0	69	0	4
1445	70	0	58	2	10
1446	51	0	49	1	1
1447	56	0	50	0	6
1448	92	20	64	1	7
1449	95	20	70	0	5
1450	103	0	100	0	3
1451	44	2	37	0	5
1452	62	0	61	0	1
1453	87	9	48	26	4
1454	100	2	75	5	18
1455	75	0	41	7	27
1456	65	3	57	0	5
1457	164	8	145	7	4
1458	134	0	111	8	15
1459	175	3	169	0	3
1460	93	0	65	8	20
1461	70	0	70	0	0
1462	92	0	77	8	7
1463	87	5	62	1	19
1464	96	9	74	2	11
1465	142	6	115	9	12
1466	138	0	123	2	13
1467	221	15	177	6	23
1468	203	0	199	3	1
1469	209	0	191	0	18
1470	182	12	157	8	5
1471	141	3	114	14	10
1472	278	6	234	4	34
1473	523	30	467	12	14
1474	371	0	281	31	59
1475	391	4	370	2	15
1476	319	30	249	9	31
1477	213	23	163	2	25
1478	534	2	493	14	25
1479	361	2	290	20	49
1480	446	0	365	35	46
1481	316	2	240	21	53
1482	359	0	303	7	49
1483	408	22	310	17	59
1484	446	3	371	18	54
1485	748	0	653	29	66
1486	696	8	525	46	117
1487	473	88	194	115	76
1488	1251	33	1042	56	120
1537	35	0	32	1	2
1549	44	0	27	8	9
1555	27	0	21	1	5
1556	31	0	25	1	5
1557	28	0	22	0	6
1580	75	0	47	23	5
1581	76	0	49	23	4
1587	117	0	102	10	5
1590	124	16	83	25	0
1591	266	0	232	14	20
1677	39	0	28	4	7
1698	36	0	21	13	2
1776	286	8	227	23	28
1780	179	0	105	23	51
1783	266	0	238	7	21
1784	262	0	228	7	27
1785	258	0	224	4	30
1786	221	0	167	13	41
1789	204	0	182	11	11
1790	77	3	50	5	19
1791	179	2	164	4	9
1793	137	0	130	4	3
1797	86	6	34	3	43
1799	60	4	52	0	4
1804	125	0	101	0	24
1805	105	0	94	2	9
1806	52	2	30	12	8
1807	1038	12	917	47	62
1809	140	5	126	0	9
1812	135	0	121	5	9
1814	86	0	82	0	4
1815	46	0	37	3	6
1821	106	3	100	0	3
1825	80	0	71	7	2
1826	75	0	71	4	0
1828	43	0	41	0	2
1829	66	0	54	9	3
1833	48	0	45	2	1
1834	41	0	41	0	0
1835	83	3	80	0	0
1838	60	4	54	0	2
1846	18	0	12	0	6
1847	131	0	113	0	18
1848	50	0	45	3	2
1849	24	0	9	9	6
1852	60	14	36	6	4
1853	53	0	50	0	3
1856	69	0	62	0	7
1863	20	5	3	3	9
1865	78	0	53	3	22
1867	20	2	16	2	0
1868	43	0	34	0	9
1869	48	0	48	0	0
1873	35	6	12	3	14
1874	27	0	18	0	9
1882	29	5	18	0	6
1916	55	2	46	0	7
1918	788	103	359	140	186
1921	62	0	50	3	9
1922	1113	55	802	105	151
1924	10	0	3	0	7
1926	425	65	155	129	76
1927	1520	383	675	276	186
1928	273	60	126	64	23
1929	21	2	7	6	6
1930	205	0	192	10	3
1931	91	0	85	0	6
1932	285	71	119	44	51
1933	73	0	41	17	15
1936	61	0	48	12	1
1938	40	0	40	0	0
1939	140	5	126	0	9
1940	307	10	282	9	6
1941	234	0	200	7	27
1942	253	0	192	3	58
1943	350	0	270	7	73
1944	509	8	427	13	61
1945	30	14	9	0	7
1946	20	0	15	0	5
1947	537	3	486	16	32
1948	26	7	13	1	5
1949	248	6	178	7	57
1950	56	0	53	3	0
1951	78	0	53	3	22
1952	34	0	29	0	5
1953	91	0	87	2	2
1956	359	0	309	16	34
1958	54	0	43	3	8
1959	48	0	42	3	3
1960	170	4	155	2	9
1961	89	0	74	12	3
1962	79	0	64	12	3
1964	58	0	35	8	15
1965	47	0	39	1	7
1966	143	0	113	4	26
1967	110	11	82	9	8
1968	84	0	70	0	14
1969	110	0	100	8	2
1970	188	10	168	8	2
1972	386	11	344	9	22
1977	157	0	144	4	9
1978	94	10	43	29	12
1985	60	3	33	20	4
1989	47	0	32	11	4
1995	38	0	20	0	18
1997	24	2	5	10	7
1998	26	0	24	1	1
1999	13	8	1	2	2
2000	19	3	3	7	6
2001	23	0	23	0	0
2002	30	3	26	0	1
2003	26	0	24	2	0
2004	11	2	7	2	0
2005	34	10	22	0	2
2006	16	0	10	3	3
2007	48	0	45	2	1
2008	39	0	39	0	0
2009	16	0	10	0	6
2010	19	0	16	3	0
2011	52	0	49	2	1
2012	40	3	31	0	6
2014	97	0	96	0	1
2015	39	0	37	0	2
2016	47	0	43	0	4
2017	79	0	65	5	9
2018	100	0	94	5	1
2019	124	5	117	0	2
2020	98	0	92	0	6
2021	119	4	109	3	3
2023	369	16	291	12	50
2034	19	0	14	2	3
2035	29	2	4	0	23
2126	41	2	0	17	22
2127	32	2	0	17	13
2251	133	0	106	4	23
2252	277	2	235	2	38
2253	13	0	4	8	1
2255	23	0	10	13	0
2257	20	8	10	2	0
2259	20	2	2	16	0
2260	148	0	127	6	15
2261	23	0	21	0	2
2262	79	0	78	0	1
2263	25	0	24	0	1
2266	17	0	10	7	0
2296	22	4	9	6	3
2306	102	32	31	22	17
2310	8	0	1	5	2
2311	18	2	2	4	10
2312	20	11	6	0	3
2326	23	5	0	5	13
2327	18	2	16	0	0
2328	33	0	28	0	5
2330	8	0	3	2	3
2332	14	0	11	2	1
2334	20	0	15	0	5
2338	39	4	31	2	2
2339	21	0	21	0	0
2340	71	0	71	0	0
2341	76	3	47	5	21
2343	50	0	49	0	1
2344	36	0	35	1	0
2345	17	0	13	0	4
2347	75	0	67	3	5
2348	18	0	2	9	7
2349	44	4	26	2	12
2353	50	0	47	0	3
2354	16	0	0	4	12
2355	24	0	10	0	14
2356	10	2	0	7	1
2357	29	0	24	0	5
2358	26	0	25	0	1
2359	29	0	12	4	13
2360	33	2	28	3	0
2361	22	0	9	3	10
2362	84	0	83	0	1
2363	29	0	25	2	2
2364	183	0	160	0	23
2365	163	0	140	0	23
2367	14	0	12	0	2
2368	36	0	36	0	0
2369	22	0	9	12	1
2370	172	0	163	0	9
2371	72	0	72	0	0
2374	90	34	31	22	3
2375	115	49	36	23	7
2376	12	3	5	0	4
2377	14	2	1	9	2
2379	9	0	5	1	3
2381	46	0	43	3	0
2382	33	3	27	3	0
2383	382	15	324	10	33
2384	387	15	323	9	40
2386	16	0	7	9	0
2388	29	5	21	3	0
2390	41	0	36	2	3
2391	26	0	15	0	11
2392	15	0	7	0	8
2394	57	0	26	0	31
2395	75	26	46	1	2
2396	1357	33	1138	83	103
2397	943	33	770	54	86
2398	10	0	5	3	2
2400	59	0	58	1	0
2401	19	0	8	0	11
2402	15	0	13	0	2
2404	42	0	42	0	0
2405	46	0	44	0	2
2406	105	0	84	8	13
2407	76	0	59	8	9
2408	69	0	62	6	1
2409	100	0	82	17	1
2410	26	2	8	0	16
2411	38	0	20	0	18
2412	15	0	10	0	5
2413	26	0	26	0	0
2416	14	0	14	0	0
2420	35	0	35	0	0
2422	38	0	38	0	0
2428	27	0	21	2	4
2438	21	0	18	3	0
2440	44	29	5	9	1
2441	36	10	0	19	7
2442	34	12	20	0	2
2444	41	7	16	15	3
2445	55	21	20	14	0
2448	57	20	22	10	5
2450	68	20	28	7	13
2451	44	6	35	1	2
2452	63	6	54	2	1
2453	69	9	36	19	5
2454	34	6	16	0	12
2455	42	11	21	0	10
2457	65	2	26	19	18
2458	36	4	15	15	2
2464	67	11	36	7	13
2467	85	3	45	29	8
2472	57	4	27	8	18
2490	93	22	35	19	17
2500	106	13	51	20	22
2505	57	6	11	27	13
2508	91	10	53	21	7
2511	185	11	128	20	26
2514	141	18	60	48	15
2516	118	21	59	33	5
2517	153	24	75	37	17
2518	149	23	63	35	28
2519	148	46	65	34	3
2520	236	57	147	25	7
2521	142	10	59	33	40
2524	222	60	102	17	43
2525	240	29	136	57	18
2527	342	59	128	85	70
2530	221	19	109	66	27
2531	306	74	118	61	53
2533	363	81	120	100	62
2534	639	156	245	128	110
2536	583	110	264	129	80
2540	794	158	334	162	140
2541	627	74	304	137	112
2542	765	106	308	197	154
2547	1575	305	702	318	250
2557	31	0	25	6	0
2558	76	0	61	8	7
2559	31	3	26	0	2
2562	15	0	1	4	10
2570	36	32	2	2	0
2571	67	0	52	9	6
2574	32	0	30	2	0
2580	18	0	18	0	0
2581	168	3	122	2	41
2585	64	6	58	0	0
2587	29	5	18	0	6
2596	124	3	112	1	8
2597	139	9	121	1	8
2598	19	0	6	0	13
2600	14	0	11	3	0
2603	17	0	16	0	1
2604	27	10	16	0	1
2610	16	2	7	6	1
2611	39	0	19	2	18
2614	21	2	17	1	1
2615	36	0	13	7	16
2622	149	0	90	11	48
2627	15	0	7	2	6
2630	39	0	30	0	9
2637	40	0	39	1	0
2638	31	0	23	8	0
2639	59	0	59	0	0
2643	55	0	36	10	9
2644	38	0	25	6	7
2645	11	5	1	2	3
2646	18	3	2	2	11
2650	31	0	30	1	0
2651	40	0	37	3	0
2656	554	31	462	24	37
2657	516	28	431	20	37
2660	25	2	5	7	11
2661	34	0	25	8	1
2666	31	4	21	4	2
2668	23	0	20	2	1
2669	108	2	93	4	9
2670	66	0	66	0	0
2671	205	7	142	14	42
2672	141	7	80	15	39
2685	112	0	73	22	17
2686	70	0	43	12	15
2691	67	0	61	3	3
2719	155	39	45	25	46
2722	156	23	45	50	38
2726	131	0	119	5	7
2743	1918	326	851	407	334
2745	25	2	13	8	2
2746	20	10	2	1	7
2747	34	5	27	0	2
2752	91	0	91	0	0
2761	74	5	22	36	11
2763	66	16	15	10	25
2768	98	9	74	11	4
2770	54	43	1	6	4
2773	225	6	212	0	7
2774	52	11	20	16	5
2775	63	32	16	15	0
2780	112	0	82	0	30
2782	66	18	28	7	13
2783	207	0	199	2	6
2788	255	69	78	75	33
2793	292	93	119	38	42
2794	263	84	119	20	40
2796	156	32	47	52	25
2797	263	37	94	91	41
2800	386	55	219	68	44
2802	874	37	703	36	98
2803	537	59	292	85	101
2806	617	101	346	87	83
2809	740	124	330	160	126
2810	1689	272	861	331	225
2811	5713	107	4671	322	613
2813	54	5	42	0	7
2814	116	0	70	7	39
2817	79	13	37	10	19
2818	37	0	36	0	1
2821	49	0	38	0	11
2822	29	0	26	2	1
2824	101	0	74	12	15
2825	130	0	103	12	15
2826	104	0	77	12	15
2827	42	2	30	5	5
2832	32	0	18	10	4
2835	154	3	141	7	3
2836	123	3	111	7	2
2837	26	9	8	0	9
2838	122	8	94	2	18
2839	93	8	83	2	0
2840	93	8	83	2	0
2841	69	0	67	0	2
2843	31	6	23	2	0
2845	122	3	81	12	26
2849	188	2	178	5	3
2850	38	0	18	5	15
2857	24	0	22	0	2
2858	82	0	75	2	5
2861	46	8	32	0	6
2866	55	0	52	3	0
2868	49	17	7	10	15
2869	77	20	16	22	19
2871	55	0	52	3	0
2872	49	0	22	14	13
2885	75	0	67	5	3
2890	29	0	21	4	4
2894	71	4	59	6	2
2899	61	0	49	2	10
2900	61	0	54	0	7
2902	49	0	47	2	0
2904	61	0	57	3	1
2905	41	0	30	3	8
2908	39	2	25	9	3
2912	49	0	17	2	30
2916	89	0	80	9	0
2921	29	4	8	11	6
2927	33	14	10	0	9
2928	217	0	185	7	25
2929	96	0	85	7	4
2938	56	0	42	1	13
2949	35	16	7	6	6
2983	63	0	45	4	14
2988	30	7	14	4	5
2990	31	0	27	0	4
2998	46	26	14	0	6
3001	239	6	190	14	29
3002	175	6	136	14	19
3005	47	2	45	0	0
3010	43	0	40	0	3
3011	68	0	56	0	12
3013	39	0	34	0	5
3018	41	3	35	0	3
3021	80	0	78	1	1
3024	46	6	38	2	0
3025	66	0	55	3	8
3026	45	4	36	0	5
3028	103	0	75	4	24
3029	127	12	103	10	2
3031	118	0	107	3	8
3032	288	0	267	13	8
3036	30	0	24	1	5
3044	86	6	66	12	2
3045	25	0	13	7	5
3052	218	0	177	12	29
3056	81	0	72	4	5
3061	265	0	222	6	37
3062	496	11	366	19	100
3063	50	3	41	6	0
3064	21	0	0	16	5
3065	85	0	69	6	10
3066	27	0	27	0	0
3067	40	0	38	2	0
3070	58	4	33	15	6
3074	44	0	24	6	14
3075	62	0	49	0	13
3076	72	3	66	1	2
3077	73	0	67	0	6
3079	70	10	54	4	2
3080	89	0	89	0	0
3081	80	2	65	8	5
3082	43	12	14	8	9
3083	80	0	78	1	1
3084	119	4	106	6	3
3085	63	3	58	2	0
3086	90	13	48	7	22
3087	94	0	86	4	4
3088	128	11	97	0	20
3089	144	0	124	1	19
3090	99	4	61	11	23
3091	105	0	98	2	5
3093	174	4	159	7	4
3099	181	0	154	9	18
3100	176	22	146	3	5
3101	138	6	107	10	15
3102	147	6	124	5	12
3105	186	5	120	9	52
3106	84	11	40	19	14
3107	260	4	228	24	4
3108	185	0	146	10	29
3111	202	0	169	5	28
3113	235	0	208	7	20
3115	307	6	246	14	41
3118	345	5	303	9	28
3119	302	4	225	54	19
3121	367	9	270	42	46
3122	562	24	462	20	56
3125	71	0	65	3	3
3128	51	0	42	8	1
3129	535	17	397	17	104
3130	624	11	535	4	74
3136	1847	58	1477	62	250
3137	2088	57	1768	72	191
3138	26	0	19	4	3
3140	42	0	24	8	10
3142	56	9	40	2	5
3143	142	6	121	3	12
3145	26	0	26	0	0
3146	44	7	23	3	11
3152	249	0	236	4	9
3153	224	0	190	18	16
3154	29	0	24	0	5
3157	52	0	49	1	2
3158	1022	10	884	45	83
3164	79	0	71	6	2
3165	26	2	12	2	10
3166	157	0	130	1	26
3167	40	0	22	0	18
3168	61	2	52	5	2
3170	28	0	10	9	9
3172	141	0	129	11	1
3174	122	9	113	0	0
