Genotipos	Grupos	Classe	Transcritos
8	1800299	pan_transcriptome	3058040
8	1161746	pan_transcriptome	1821930
8	1827116	pan_transcriptome	3395775
8	1360490	pan_transcriptome	2216257
8	1836288	pan_transcriptome	3125135
8	2145465	pan_transcriptome	3791629
8	1379336	pan_transcriptome	2265745
9	2263607	pan_transcriptome	4150036
9	2058836	pan_transcriptome	3621446
9	2147481	pan_transcriptome	3868995
9	1851517	pan_transcriptome	3155950
9	2347574	pan_transcriptome	4517320
9	2535299	pan_transcriptome	4768373
9	2062170	pan_transcriptome	3595146
9	1583641	pan_transcriptome	2576530
9	1461237	pan_transcriptome	2457653
9	1346286	pan_transcriptome	2177563
9	1540670	pan_transcriptome	2561650
9	1473860	pan_transcriptome	2440688
9	1895753	pan_transcriptome	3241556
9	2335661	pan_transcriptome	4455346
9	1601400	pan_transcriptome	2922440
9	1780402	pan_transcriptome	2978003
9	1850378	pan_transcriptome	3217898
9	1797253	pan_transcriptome	3070258
9	1218542	pan_transcriptome	1962138
9	1745710	pan_transcriptome	2912715
10	1688190	pan_transcriptome	2950530
10	2027910	pan_transcriptome	3615688
10	2216422	pan_transcriptome	3971270
10	1950392	pan_transcriptome	3446317
10	2084778	pan_transcriptome	3688990
10	1527242	pan_transcriptome	2601697
10	1518734	pan_transcriptome	2403462
10	2455035	pan_transcriptome	4702058
10	1941089	pan_transcriptome	3475215
10	2117525	pan_transcriptome	3755090
10	2656412	pan_transcriptome	5186685
10	2020391	pan_transcriptome	3591036
10	1974341	pan_transcriptome	3332739
10	2213160	pan_transcriptome	3983368
10	1393824	pan_transcriptome	2324410
10	2312392	pan_transcriptome	4047924
10	2582271	pan_transcriptome	4722698
10	2177086	pan_transcriptome	3838702
10	1642994	pan_transcriptome	2844665
10	2018421	pan_transcriptome	3451849
11	1538664	pan_transcriptome	2587526
11	2185420	pan_transcriptome	3825446
11	1976825	pan_transcriptome	3509276
11	2326648	pan_transcriptome	4227833
11	1898676	pan_transcriptome	3287879
11	1822347	pan_transcriptome	3102495
11	2407625	pan_transcriptome	4395413
11	1754589	pan_transcriptome	3172447
11	2047329	pan_transcriptome	3836284
11	2338982	pan_transcriptome	4322463
11	1977369	pan_transcriptome	3437697
11	2382596	pan_transcriptome	4348890
11	2236461	pan_transcriptome	3875192
11	1889861	pan_transcriptome	3358308
11	2027633	pan_transcriptome	3534576
11	1992836	pan_transcriptome	3332046
11	1779059	pan_transcriptome	3131512
11	2163235	pan_transcriptome	3903507
11	2289404	pan_transcriptome	4294596
11	2648474	pan_transcriptome	5311130
12	2400372	pan_transcriptome	4431619
12	2094516	pan_transcriptome	3714331
12	1911781	pan_transcriptome	3433213
12	2306567	pan_transcriptome	4142422
12	2748449	pan_transcriptome	5366860
12	2431626	pan_transcriptome	4497610
12	2427710	pan_transcriptome	4517544
12	2929617	pan_transcriptome	5718636
12	1951463	pan_transcriptome	3461570
12	2182771	pan_transcriptome	3841594
12	2456098	pan_transcriptome	4510991
12	2091303	pan_transcriptome	3571691
12	2108669	pan_transcriptome	3746442
12	2144993	pan_transcriptome	3738074
12	2035136	pan_transcriptome	3631872
12	2285046	pan_transcriptome	4080786
12	2601764	pan_transcriptome	5056324
12	2472294	pan_transcriptome	4579369
12	1821886	pan_transcriptome	3213548
12	1772106	pan_transcriptome	3080992
13	2571637	pan_transcriptome	4815588
13	2345754	pan_transcriptome	4329347
13	2291384	pan_transcriptome	4099839
13	2389240	pan_transcriptome	4316070
13	2490820	pan_transcriptome	4599441
13	2796567	pan_transcriptome	5431311
13	1845708	pan_transcriptome	3289232
13	2769987	pan_transcriptome	5225925
13	1848372	pan_transcriptome	3252176
13	2583121	pan_transcriptome	4828387
13	2350780	pan_transcriptome	4331087
13	2339142	pan_transcriptome	4234749
13	2017391	pan_transcriptome	3678453
13	2557753	pan_transcriptome	4980740
13	2488075	pan_transcriptome	4606686
13	2995810	pan_transcriptome	6099645
13	2189481	pan_transcriptome	3900926
13	2872575	pan_transcriptome	5659079
13	2414587	pan_transcriptome	4276115
13	2583976	pan_transcriptome	4899633
14	2868704	pan_transcriptome	5579544
14	2373739	pan_transcriptome	4374678
14	3065410	pan_transcriptome	6039841
14	2728737	pan_transcriptome	5261397
14	2745711	pan_transcriptome	5161294
14	2690348	pan_transcriptome	5107537
14	3055981	pan_transcriptome	6083462
14	2362914	pan_transcriptome	4350762
14	2698299	pan_transcriptome	5078169
14	2613723	pan_transcriptome	4961238
14	2173741	pan_transcriptome	3752935
14	2914947	pan_transcriptome	5536658
14	2449540	pan_transcriptome	4483329
14	2804313	pan_transcriptome	5391021
14	2668038	pan_transcriptome	5069205
14	3012752	pan_transcriptome	5875672
14	2564071	pan_transcriptome	4881299
14	2796296	pan_transcriptome	5262434
14	2315988	pan_transcriptome	4233637
14	2939169	pan_transcriptome	5622494
15	3163514	pan_transcriptome	6259490
15	3219199	pan_transcriptome	6448793
15	2661910	pan_transcriptome	4972409
15	2540204	pan_transcriptome	4705258
15	2462951	pan_transcriptome	4610068
15	2782786	pan_transcriptome	5517937
15	2713982	pan_transcriptome	5102039
15	2673144	pan_transcriptome	4930007
15	2166980	pan_transcriptome	3891886
15	2509180	pan_transcriptome	4721624
15	2627437	pan_transcriptome	4818944
15	2615106	pan_transcriptome	5124977
15	2561063	pan_transcriptome	4971699
15	2525703	pan_transcriptome	4837270
15	2560032	pan_transcriptome	4807087
15	2457367	pan_transcriptome	4605959
15	2276012	pan_transcriptome	4197054
15	2633879	pan_transcriptome	4880017
15	2710781	pan_transcriptome	5158110
15	3032816	pan_transcriptome	5903277
16	2351387	pan_transcriptome	4273962
16	2609195	pan_transcriptome	4711248
16	3001236	pan_transcriptome	5798787
16	3035709	pan_transcriptome	6025042
16	2133872	pan_transcriptome	4008420
16	2766306	pan_transcriptome	5230623
16	2771497	pan_transcriptome	5114687
16	3291949	pan_transcriptome	6831873
16	2938394	pan_transcriptome	5623008
16	2959972	pan_transcriptome	5729627
16	2901651	pan_transcriptome	5748257
16	2420177	pan_transcriptome	4559580
16	2818554	pan_transcriptome	5488580
16	2713069	pan_transcriptome	5086872
16	2850554	pan_transcriptome	5364325
16	2834834	pan_transcriptome	5388901
16	2609999	pan_transcriptome	4886464
16	2921127	pan_transcriptome	5580515
16	3091733	pan_transcriptome	6113768
16	2941422	pan_transcriptome	5712020
17	2650835	pan_transcriptome	4937567
17	2775651	pan_transcriptome	5284195
17	2827461	pan_transcriptome	5457196
17	2785704	pan_transcriptome	5279588
17	3243989	pan_transcriptome	6786579
17	2846755	pan_transcriptome	5596342
17	3053858	pan_transcriptome	6038110
17	2583442	pan_transcriptome	4775423
17	3067579	pan_transcriptome	6095438
17	2957088	pan_transcriptome	5634664
17	2782768	pan_transcriptome	5196790
17	2471602	pan_transcriptome	4722009
17	2997061	pan_transcriptome	5938309
17	3031782	pan_transcriptome	5919240
17	2644932	pan_transcriptome	5098433
17	2847220	pan_transcriptome	5615267
17	2958445	pan_transcriptome	5736950
17	2962215	pan_transcriptome	5848063
17	3042900	pan_transcriptome	6156084
17	2903903	pan_transcriptome	5654258
18	3088684	pan_transcriptome	6238603
18	2369604	pan_transcriptome	4426941
18	2962500	pan_transcriptome	5782282
18	3049617	pan_transcriptome	5939437
18	3279080	pan_transcriptome	6515654
18	2562014	pan_transcriptome	5058789
18	3286795	pan_transcriptome	6653860
18	3177230	pan_transcriptome	6708526
18	2792104	pan_transcriptome	5420750
18	3121840	pan_transcriptome	6171719
18	2626672	pan_transcriptome	5014300
18	3122451	pan_transcriptome	5972098
18	2980510	pan_transcriptome	5934566
18	3440868	pan_transcriptome	7067312
18	2548391	pan_transcriptome	4865569
18	2687758	pan_transcriptome	5222055
18	2837199	pan_transcriptome	5424521
18	2916588	pan_transcriptome	5564660
18	2259884	pan_transcriptome	4214509
18	3287014	pan_transcriptome	6650781
19	3312437	pan_transcriptome	6891341
19	3395576	pan_transcriptome	6895056
19	3311198	pan_transcriptome	6587243
19	2958519	pan_transcriptome	5739758
19	3502504	pan_transcriptome	7075725
19	3403645	pan_transcriptome	7104048
19	3193768	pan_transcriptome	6488718
19	3200800	pan_transcriptome	6253876
19	3436613	pan_transcriptome	6977952
19	3343331	pan_transcriptome	6718460
19	3286855	pan_transcriptome	6937040
19	3307445	pan_transcriptome	6680662
19	2951598	pan_transcriptome	6152852
19	3253754	pan_transcriptome	6487542
19	2803899	pan_transcriptome	5495320
19	3438668	pan_transcriptome	7099423
19	2947307	pan_transcriptome	5704592
19	3378256	pan_transcriptome	6912713
19	3107929	pan_transcriptome	6344533
19	3361687	pan_transcriptome	6901111
20	3572606	pan_transcriptome	7924384
20	3032636	pan_transcriptome	6017550
20	3651553	pan_transcriptome	7695745
20	3075755	pan_transcriptome	6190520
20	3715489	pan_transcriptome	8013535
20	3850273	pan_transcriptome	8277349
20	3418061	pan_transcriptome	6892379
20	3349615	pan_transcriptome	6742526
20	3752694	pan_transcriptome	7961223
20	3559991	pan_transcriptome	7197964
20	3669115	pan_transcriptome	7815448
20	3089637	pan_transcriptome	6236717
20	3156005	pan_transcriptome	6235251
20	3691982	pan_transcriptome	7893960
20	3584773	pan_transcriptome	7556552
20	3706968	pan_transcriptome	7776730
20	2845602	pan_transcriptome	5736803
20	3833036	pan_transcriptome	8148343
