Genotypes	Groups	Class	Sequences
3	2706359	exclusive	0
3	316665	pan	416328
3	316302	accessory	414535
3	0	soft-core	0
3	363	hard-core	1793
3	3090523	exclusive	0
3	262000	pan	338565
3	261857	accessory	337900
3	0	soft-core	0
3	143	hard-core	665
3	3145188	exclusive	0
3	587897	pan	877748
3	586598	accessory	870357
3	0	soft-core	0
3	1299	hard-core	7391
3	2819291	exclusive	0
3	591762	pan	870071
3	591418	accessory	868349
3	0	soft-core	0
3	344	hard-core	1722
3	2815426	exclusive	0
3	547319	pan	816501
3	546186	accessory	809969
3	0	soft-core	0
3	1133	hard-core	6532
3	2859869	exclusive	0
3	534664	pan	784722
3	534182	accessory	782175
3	0	soft-core	0
3	482	hard-core	2547
3	2872524	exclusive	0
4	360175	pan	488608
4	359952	accessory	486821
4	0	soft-core	0
4	223	hard-core	1787
4	3047013	exclusive	0
4	296598	pan	393040
4	296577	accessory	392906
4	0	soft-core	0
4	21	hard-core	134
4	3110590	exclusive	0
4	602488	pan	879378
4	602321	accessory	878019
4	0	soft-core	0
4	167	hard-core	1359
4	2804700	exclusive	0
4	497635	pan	673828
4	497559	accessory	673297
4	0	soft-core	0
4	76	hard-core	531
4	2909553	exclusive	0
4	405080	pan	562096
4	405005	accessory	561477
4	0	soft-core	0
4	75	hard-core	619
4	3002108	exclusive	0
4	315668	pan	420171
4	315626	accessory	419857
4	0	soft-core	0
4	42	hard-core	314
4	3091520	exclusive	0
4	556164	pan	805526
4	556119	accessory	805138
4	0	soft-core	0
4	45	hard-core	388
4	2851024	exclusive	0
4	344721	pan	464307
4	344668	accessory	463919
4	0	soft-core	0
4	53	hard-core	388
4	3062467	exclusive	0
4	422983	pan	587577
4	422868	accessory	586690
4	0	soft-core	0
4	115	hard-core	887
4	2984205	exclusive	0
4	529029	pan	766243
4	528867	accessory	764913
4	0	soft-core	0
4	162	hard-core	1330
4	2878159	exclusive	0
4	446810	pan	657644
4	445026	accessory	640568
4	0	soft-core	0
4	1784	hard-core	17076
4	2960378	exclusive	0
4	509675	pan	703626
4	509533	accessory	702471
4	0	soft-core	0
4	142	hard-core	1155
4	2897513	exclusive	0
4	665890	pan	971155
4	665738	accessory	969821
4	0	soft-core	0
4	152	hard-core	1334
4	2741298	exclusive	0
4	872713	pan	1414255
4	872511	accessory	1412388
4	0	soft-core	0
4	202	hard-core	1867
4	2534475	exclusive	0
4	419054	pan	576492
4	418877	accessory	575001
4	0	soft-core	0
4	177	hard-core	1491
4	2988134	exclusive	0
4	367694	pan	521786
4	367639	accessory	521374
4	0	soft-core	0
4	55	hard-core	412
4	3039494	exclusive	0
4	483293	pan	645085
4	483191	accessory	644339
4	0	soft-core	0
4	102	hard-core	746
4	2923895	exclusive	0
4	486036	pan	699561
4	485910	accessory	698473
4	0	soft-core	0
4	126	hard-core	1088
4	2921152	exclusive	0
4	607249	pan	897557
4	607213	accessory	897284
4	0	soft-core	0
4	36	hard-core	273
4	2799939	exclusive	0
4	252704	pan	337549
4	252363	accessory	334947
4	0	soft-core	0
4	341	hard-core	2602
4	3154484	exclusive	0
5	746121	pan	1119355
5	745905	accessory	1116824
5	0	soft-core	0
5	216	hard-core	2531
5	2661067	exclusive	0
5	481457	pan	666054
5	481382	accessory	665207
5	0	soft-core	0
5	75	hard-core	847
5	2925731	exclusive	0
5	507677	pan	725218
5	507648	accessory	724913
5	0	soft-core	0
5	29	hard-core	305
5	2899511	exclusive	0
5	746088	pan	1133223
5	746042	accessory	1132732
5	0	soft-core	0
5	46	hard-core	491
5	2661100	exclusive	0
5	738384	pan	1088587
5	738373	accessory	1088483
5	0	soft-core	0
5	11	hard-core	104
5	2668804	exclusive	0
5	843882	pan	1322207
5	843146	accessory	1312524
5	0	soft-core	0
5	736	hard-core	9683
5	2563306	exclusive	0
5	373828	pan	509295
5	373811	accessory	509125
5	0	soft-core	0
5	17	hard-core	170
5	3033360	exclusive	0
5	893773	pan	1428420
5	893754	accessory	1428215
5	0	soft-core	0
5	19	hard-core	205
5	2513415	exclusive	0
5	536877	pan	735185
5	536848	accessory	734917
5	0	soft-core	0
5	29	hard-core	268
5	2870311	exclusive	0
5	705048	pan	1037718
5	705020	accessory	1037364
5	0	soft-core	0
5	28	hard-core	354
5	2702140	exclusive	0
5	489387	pan	681663
5	489315	accessory	680833
5	0	soft-core	0
5	72	hard-core	830
5	2917801	exclusive	0
5	643916	pan	927215
5	643830	accessory	926234
5	0	soft-core	0
5	86	hard-core	981
5	2763272	exclusive	0
5	500116	pan	733440
5	500038	accessory	732615
5	0	soft-core	0
5	78	hard-core	825
5	2907072	exclusive	0
5	496715	pan	688422
5	496688	accessory	688107
5	0	soft-core	0
5	27	hard-core	315
5	2910473	exclusive	0
5	1050626	pan	1698449
5	1050434	accessory	1696230
5	0	soft-core	0
5	192	hard-core	2219
5	2356562	exclusive	0
5	567307	pan	763793
5	567288	accessory	763594
5	0	soft-core	0
5	19	hard-core	199
5	2839881	exclusive	0
5	493830	pan	693761
5	493797	accessory	693410
5	0	soft-core	0
5	33	hard-core	351
5	2913358	exclusive	0
5	780514	pan	1126111
5	780476	accessory	1125713
5	0	soft-core	0
5	38	hard-core	398
5	2626674	exclusive	0
5	467254	pan	645587
5	467227	accessory	645275
5	0	soft-core	0
5	27	hard-core	312
5	2939934	exclusive	0
5	474800	pan	665550
5	474739	accessory	664866
5	0	soft-core	0
5	61	hard-core	684
5	2932388	exclusive	0
6	448888	pan	620098
6	448866	accessory	619789
6	0	soft-core	0
6	22	hard-core	309
6	2958300	exclusive	0
6	426419	pan	581006
6	426410	accessory	580915
6	0	soft-core	0
6	9	hard-core	91
6	2980769	exclusive	0
6	773041	pan	1158736
6	773019	accessory	1158343
6	0	soft-core	0
6	22	hard-core	393
6	2634147	exclusive	0
6	822045	pan	1243541
6	822023	accessory	1243265
6	0	soft-core	0
6	22	hard-core	276
6	2585143	exclusive	0
6	603552	pan	880415
6	603520	accessory	879933
6	0	soft-core	0
6	32	hard-core	482
6	2803636	exclusive	0
6	694587	pan	1005596
6	694569	accessory	1005319
6	0	soft-core	0
6	18	hard-core	277
6	2712601	exclusive	0
6	537625	pan	760173
6	537608	accessory	759876
6	0	soft-core	0
6	17	hard-core	297
6	2869563	exclusive	0
6	516087	pan	719987
6	516083	accessory	719917
6	0	soft-core	0
6	4	hard-core	70
6	2891101	exclusive	0
6	552192	pan	733910
6	552180	accessory	733746
6	0	soft-core	0
6	12	hard-core	164
6	2854996	exclusive	0
6	620594	pan	842742
6	620578	accessory	842538
6	0	soft-core	0
6	16	hard-core	204
6	2786594	exclusive	0
6	571026	pan	827459
6	571010	accessory	827249
6	0	soft-core	0
6	16	hard-core	210
6	2836162	exclusive	0
6	624564	pan	888407
6	624551	accessory	888239
6	0	soft-core	0
6	13	hard-core	168
6	2782624	exclusive	0
6	677080	pan	979711
6	677067	accessory	979520
6	0	soft-core	0
6	13	hard-core	191
6	2730108	exclusive	0
6	585562	pan	811777
6	585547	accessory	811590
6	0	soft-core	0
6	15	hard-core	187
6	2821626	exclusive	0
6	592189	pan	855539
6	592181	accessory	855447
6	0	soft-core	0
6	8	hard-core	92
6	2814999	exclusive	0
6	639830	pan	959477
6	639822	accessory	959362
6	0	soft-core	0
6	8	hard-core	115
6	2767358	exclusive	0
6	801679	pan	1167937
6	801659	accessory	1167624
6	0	soft-core	0
6	20	hard-core	313
6	2605509	exclusive	0
6	968070	pan	1510609
6	967870	accessory	1507809
6	0	soft-core	0
6	200	hard-core	2800
6	2439118	exclusive	0
6	976981	pan	1496764
6	976943	accessory	1496184
6	0	soft-core	0
6	38	hard-core	580
6	2430207	exclusive	0
6	1119157	pan	1846166
6	1119023	accessory	1843996
6	0	soft-core	0
6	134	hard-core	2170
6	2288031	exclusive	0
7	925767	pan	1427100
7	925761	accessory	1426996
7	0	soft-core	0
7	6	hard-core	104
7	2481421	exclusive	0
7	1023125	pan	1631364
7	1023117	accessory	1631236
7	0	soft-core	0
7	8	hard-core	128
7	2384063	exclusive	0
7	891822	pan	1328895
7	891820	accessory	1328856
7	0	soft-core	0
7	2	hard-core	39
7	2515366	exclusive	0
7	745954	pan	1104097
7	745942	accessory	1103816
7	0	soft-core	0
7	12	hard-core	281
7	2661234	exclusive	0
7	814023	pan	1257637
7	814000	accessory	1257206
7	0	soft-core	0
7	23	hard-core	431
7	2593165	exclusive	0
7	570789	pan	815788
7	570786	accessory	815756
7	0	soft-core	0
7	3	hard-core	32
7	2836399	exclusive	0
7	965707	pan	1484893
7	965693	accessory	1484652
7	0	soft-core	0
7	14	hard-core	241
7	2441481	exclusive	0
7	1267252	pan	2092762
7	1267180	accessory	2091444
7	0	soft-core	0
7	72	hard-core	1318
7	2139936	exclusive	0
7	648117	pan	944352
7	648115	accessory	944323
7	0	soft-core	0
7	2	hard-core	29
7	2759071	exclusive	0
7	933655	pan	1421670
7	933645	accessory	1421517
7	0	soft-core	0
7	10	hard-core	153
7	2473533	exclusive	0
7	777126	pan	1162380
7	777112	accessory	1162164
7	0	soft-core	0
7	14	hard-core	216
7	2630062	exclusive	0
7	948214	pan	1474251
7	948196	accessory	1473896
7	0	soft-core	0
7	18	hard-core	355
7	2458974	exclusive	0
7	767221	pan	1138639
7	767211	accessory	1138438
7	0	soft-core	0
7	10	hard-core	201
7	2639967	exclusive	0
7	616054	pan	865731
7	616049	accessory	865669
7	0	soft-core	0
7	5	hard-core	62
7	2791134	exclusive	0
7	697654	pan	1017271
7	697637	accessory	1017014
7	0	soft-core	0
7	17	hard-core	257
7	2709534	exclusive	0
7	932738	pan	1505571
7	932715	accessory	1505125
7	0	soft-core	0
7	23	hard-core	446
7	2474450	exclusive	0
7	608818	pan	881263
7	608811	accessory	881117
7	0	soft-core	0
7	7	hard-core	146
7	2798370	exclusive	0
7	1176451	pan	1954281
7	1176419	accessory	1953660
7	0	soft-core	0
7	32	hard-core	621
7	2230737	exclusive	0
7	925419	pan	1411832
7	925403	accessory	1411514
7	0	soft-core	0
7	16	hard-core	318
7	2481769	exclusive	0
7	581981	pan	820203
7	581978	accessory	820160
7	0	soft-core	0
7	3	hard-core	43
7	2825207	exclusive	0
8	701639	pan	1001347
8	701635	accessory	1001265
8	0	soft-core	0
8	4	hard-core	82
8	2705549	exclusive	0
8	1024432	pan	1581143
8	1024423	accessory	1580919
8	0	soft-core	0
8	9	hard-core	224
8	2382756	exclusive	0
8	1145166	pan	1891519
8	1145160	accessory	1891405
8	0	soft-core	0
8	6	hard-core	114
8	2262022	exclusive	0
8	814450	pan	1152088
8	814448	accessory	1152047
8	0	soft-core	0
8	2	hard-core	41
8	2592738	exclusive	0
8	838112	pan	1246865
8	838106	accessory	1246727
8	0	soft-core	0
8	6	hard-core	138
8	2569076	exclusive	0
8	750837	pan	1109728
8	750833	accessory	1109611
8	0	soft-core	0
8	4	hard-core	117
8	2656351	exclusive	0
8	805261	pan	1202873
8	805255	accessory	1202741
8	0	soft-core	0
8	6	hard-core	132
8	2601927	exclusive	0
8	590720	pan	852953
8	590715	accessory	852854
8	0	soft-core	0
8	5	hard-core	99
8	2816468	exclusive	0
8	747369	pan	1108094
8	747365	accessory	1108017
8	0	soft-core	0
8	4	hard-core	77
8	2659819	exclusive	0
8	717618	pan	1036569
8	717605	accessory	1036332
8	0	soft-core	0
8	13	hard-core	237
8	2689570	exclusive	0
8	882589	pan	1336671
8	882579	accessory	1336424
8	0	soft-core	0
8	10	hard-core	247
8	2524599	exclusive	0
8	747470	pan	1119860
8	747461	accessory	1119690
8	0	soft-core	0
8	9	hard-core	170
8	2659718	exclusive	0
8	951844	pan	1472521
8	951837	accessory	1472388
8	0	soft-core	0
8	7	hard-core	133
8	2455344	exclusive	0
8	1253800	pan	2026747
8	1253788	accessory	2026495
8	0	soft-core	0
8	12	hard-core	252
8	2153388	exclusive	0
8	1038566	pan	1628642
8	1038556	accessory	1628450
8	0	soft-core	0
8	10	hard-core	192
8	2368622	exclusive	0
8	686026	pan	992132
8	686018	accessory	991916
8	0	soft-core	0
8	8	hard-core	216
8	2721162	exclusive	0
8	1206937	pan	2025797
8	1206929	accessory	2025657
8	0	soft-core	0
8	8	hard-core	140
8	2200251	exclusive	0
8	709788	pan	1034011
8	709786	accessory	1033974
8	0	soft-core	0
8	2	hard-core	37
8	2697400	exclusive	0
8	1057127	pan	1618149
8	1057109	accessory	1617756
8	0	soft-core	0
8	18	hard-core	393
8	2350061	exclusive	0
8	1000093	pan	1564026
8	1000089	accessory	1563946
8	0	soft-core	0
8	4	hard-core	80
8	2407095	exclusive	0
9	1121862	pan	1788538
9	1121857	accessory	1788394
9	0	soft-core	0
9	5	hard-core	144
9	2285326	exclusive	0
9	809366	pan	1218777
9	809364	accessory	1218741
9	0	soft-core	0
9	2	hard-core	36
9	2597822	exclusive	0
9	1233197	pan	2045638
9	1233195	accessory	2045590
9	0	soft-core	0
9	2	hard-core	48
9	2173991	exclusive	0
9	843032	pan	1284974
9	843017	accessory	1284575
9	0	soft-core	0
9	15	hard-core	399
9	2564156	exclusive	0
9	1292146	pan	2182219
9	1292139	accessory	2182066
