NumberGroups	NumberGenes	Classification	NumberGenotypes	Sample
1	32	hard-core	10	18
42	864	soft-core	10	18
110423	359062	accessory	10	18
638096	788313	exclusive	10	18
1005106	1542541	pan	10	19
1	24	hard-core	10	19
66	1375	soft-core	10	19
129314	416648	accessory	10	19
875726	1124518	exclusive	10	19
875463	1320587	pan	11	0
0	0	hard-core	11	0
40	896	soft-core	11	0
133790	416212	accessory	11	0
741633	903479	exclusive	11	0
1069973	1628491	pan	11	1
3	73	hard-core	11	1
40	923	soft-core	11	1
164907	520796	accessory	11	1
905026	1106772	exclusive	11	1
1221202	1968991	pan	11	2
2	38	hard-core	11	2
51	1152	soft-core	11	2
191877	644774	accessory	11	2
1029274	1323065	exclusive	11	2
1276226	2037359	pan	11	3
3	73	hard-core	11	3
65	1483	soft-core	11	3
196557	655440	accessory	11	3
1079604	1380436	exclusive	11	3
1288701	2177911	pan	11	4
16	516	hard-core	11	4
120	3083	soft-core	11	4
240809	841946	accessory	11	4
1047772	1332882	exclusive	11	4
1003555	1515772	pan	11	5
2	58	hard-core	11	5
48	1044	soft-core	11	5
144961	453162	accessory	11	5
858546	1061566	exclusive	11	5
1020142	1610153	pan	11	6
1	33	hard-core	11	6
43	972	soft-core	11	6
171352	568921	accessory	11	6
848747	1040260	exclusive	11	6
1194227	1888579	pan	11	7
2	74	hard-core	11	7
38	977	soft-core	11	7
173607	575919	accessory	11	7
1020582	1311683	exclusive	11	7
896420	1365218	pan	11	8
0	0	hard-core	11	8
39	897	soft-core	11	8
132291	421077	accessory	11	8
764090	943244	exclusive	11	8
1073228	1713783	pan	11	9
8	237	hard-core	11	9
53	1240	soft-core	11	9
179859	598865	accessory	11	9
893316	1113678	exclusive	11	9
1478517	2619159	pan	11	10
4	134	hard-core	11	10
99	2689	soft-core	11	10
303595	1123887	accessory	11	10
1174823	1492583	exclusive	11	10
1399564	2375051	pan	11	11
2	58	hard-core	11	11
83	2055	soft-core	11	11
260734	920741	accessory	11	11
1138747	1452255	exclusive	11	11
926461	1416307	pan	11	12
3	124	hard-core	11	12
43	1093	soft-core	11	12
145493	457255	accessory	11	12
780925	957959	exclusive	11	12
960954	1428540	pan	11	13
0	0	hard-core	11	13
18	368	soft-core	11	13
128947	398551	accessory	11	13
831989	1029621	exclusive	11	13
1543063	2664378	pan	11	14
1	29	hard-core	11	14
55	1362	soft-core	11	14
286899	1044760	accessory	11	14
1256109	1618256	exclusive	11	14
810146	1211231	pan	11	15
3	104	hard-core	11	15
46	1118	soft-core	11	15
118656	368157	accessory	11	15
691444	841956	exclusive	11	15
1047743	1646350	pan	11	16
5	197	hard-core	11	16
63	1435	soft-core	11	16
170383	556693	accessory	11	16
877297	1088222	exclusive	11	16
972665	1524294	pan	11	17
4	98	hard-core	11	17
33	812	soft-core	11	17
150900	494785	accessory	11	17
821732	1028697	exclusive	11	17
1092409	1776450	pan	11	18
4	135	hard-core	11	18
60	1367	soft-core	11	18
195093	664470	accessory	11	18
897256	1110613	exclusive	11	18
1319299	2163514	pan	11	19
4	135	hard-core	11	19
61	1541	soft-core	11	19
212830	736104	accessory	11	19
1106408	1425869	exclusive	11	19
1565253	2712802	pan	12	0
7	271	hard-core	12	0
70	2088	soft-core	12	0
299024	1081563	accessory	12	0
1266159	1629151	exclusive	12	0
1130614	1806439	pan	12	1
2	81	hard-core	12	1
52	1412	soft-core	12	1
195840	641447	accessory	12	1
934722	1163580	exclusive	12	1
1174802	1935489	pan	12	2
1	52	hard-core	12	2
34	897	soft-core	12	2
212461	730723	accessory	12	2
962307	1203869	exclusive	12	2
1315653	2189854	pan	12	3
6	246	hard-core	12	3
47	1257	soft-core	12	3
239379	821057	accessory	12	3
1076227	1367540	exclusive	12	3
987420	1511870	pan	12	4
0	0	hard-core	12	4
15	381	soft-core	12	4
151466	485664	accessory	12	4
835939	1025825	exclusive	12	4
976103	1474514	pan	12	5
0	0	hard-core	12	5
13	307	soft-core	12	5
148289	469312	accessory	12	5
827801	1004895	exclusive	12	5
1384940	2317622	pan	12	6
3	118	hard-core	12	6
43	1294	soft-core	12	6
242560	853613	accessory	12	6
1142337	1462715	exclusive	12	6
1190209	1917929	pan	12	7
9	380	hard-core	12	7
62	1826	soft-core	12	7
203147	670436	accessory	12	7
987000	1245667	exclusive	12	7
920588	1414113	pan	12	8
1	24	hard-core	12	8
20	606	soft-core	12	8
145201	462655	accessory	12	8
775367	950852	exclusive	12	8
1286322	2021583	pan	12	9
1	34	hard-core	12	9
10	257	soft-core	12	9
198651	645690	accessory	12	9
1087661	1375636	exclusive	12	9
980319	1526476	pan	12	10
2	103	hard-core	12	10
28	731	soft-core	12	10
161335	517741	accessory	12	10
818956	1008004	exclusive	12	10
1056792	1691565	pan	12	11
1	18	hard-core	12	11
17	430	soft-core	12	11
181682	608264	accessory	12	11
875093	1082871	exclusive	12	11
1274064	2029199	pan	12	12
2	68	hard-core	12	12
34	840	soft-core	12	12
199361	657005	accessory	12	12
1074669	1371354	exclusive	12	12
1162131	1847680	pan	12	13
3	126	hard-core	12	13
30	804	soft-core	12	13
167087	549079	accessory	12	13
995014	1297797	exclusive	12	13
1583025	2849919	pan	12	14
2	111	hard-core	12	14
60	1753	soft-core	12	14
345739	1276348	accessory	12	14
1237226	1571818	exclusive	12	14
1331544	2170740	pan	12	15
1	33	hard-core	12	15
25	647	soft-core	12	15
233459	787845	accessory	12	15
1098060	1382248	exclusive	12	15
1010248	1575248	pan	12	16
3	135	hard-core	12	16
37	1016	soft-core	12	16
177509	570698	accessory	12	16
832702	1003534	exclusive	12	16
1470829	2531255	pan	12	17
8	309	hard-core	12	17
71	2033	soft-core	12	17
281633	1002717	accessory	12	17
1189125	1526505	exclusive	12	17
1196059	1867991	pan	12	18
2	56	hard-core	12	18
30	711	soft-core	12	18
195705	628083	accessory	12	18
1000324	1239197	exclusive	12	18
1371468	2338743	pan	12	19
2	87	hard-core	12	19
34	919	soft-core	12	19
257810	916129	accessory	12	19
1113624	1421695	exclusive	12	19
1118193	1792745	pan	13	0
0	0	hard-core	13	0
17	459	soft-core	13	0
205528	680386	accessory	13	0
912648	1111900	exclusive	13	0
1347656	2173534	pan	13	1
0	0	hard-core	13	1
11	300	soft-core	13	1
233389	775859	accessory	13	1
1114256	1397375	exclusive	13	1
1321191	2165739	pan	13	2
3	113	hard-core	13	2
23	735	soft-core	13	2
222156	756248	accessory	13	2
1099012	1408756	exclusive	13	2
974371	1518443	pan	13	3
0	0	hard-core	13	3
10	310	soft-core	13	3
164256	529886	accessory	13	3
810105	988247	exclusive	13	3
1283538	2081680	pan	13	4
2	47	hard-core	13	4
11	288	soft-core	13	4
208676	701686	accessory	13	4
1074851	1379706	exclusive	13	4
1515104	2613072	pan	13	5
0	0	hard-core	13	5
28	833	soft-core	13	5
301192	1071044	accessory	13	5
1213884	1541195	exclusive	13	5
1774537	3249969	pan	13	6
2	69	hard-core	13	6
59	1883	soft-core	13	6
389946	1476060	accessory	13	6
1384532	1772026	exclusive	13	6
1262711	2055882	pan	13	7
0	0	hard-core	13	7
15	497	soft-core	13	7
204158	685839	accessory	13	7
1058538	1369546	exclusive	13	7
1567449	2699460	pan	13	8
7	273	hard-core	13	8
71	2296	soft-core	13	8
317509	1120343	accessory	13	8
1249869	1576821	exclusive	13	8
1574045	2738808	pan	13	9
1	36	hard-core	13	9
42	1349	soft-core	13	9
302979	1103817	accessory	13	9
1271024	1633642	exclusive	13	9
1121804	1809874	pan	13	10
5	250	hard-core	13	10
56	1819	soft-core	13	10
205721	675049	accessory	13	10
916027	1133006	exclusive	13	10
1238671	1984923	pan	13	11
0	0	hard-core	13	11
10	276	soft-core	13	11
199282	659173	accessory	13	11
1039379	1325474	exclusive	13	11
1686980	3035460	pan	13	12
2	82	hard-core	13	12
29	981	soft-core	13	12
357830	1339357	accessory	13	12
1329121	1695122	exclusive	13	12
1389786	2265659	pan	13	13
0	0	hard-core	13	13
18	529	soft-core	13	13
243892	814159	accessory	13	13
1145876	1450971	exclusive	13	13
1460300	2545987	pan	13	14
3	80	hard-core	13	14
17	547	soft-core	13	14
299750	1082991	accessory	13	14
1160533	1462449	exclusive	13	14
1343582	2258772	pan	13	15
1	33	hard-core	13	15
14	431	soft-core	13	15
249806	873320	accessory	13	15
1093762	1385021	exclusive	13	15
1213845	1966017	pan	13	16
0	0	hard-core	13	16
10	271	soft-core	13	16
192933	650103	accessory	13	16
1020902	1315643	exclusive	13	16
1349720	2213884	pan	13	17
0	0	hard-core	13	17
21	650	soft-core	13	17
240624	810954	accessory	13	17
1109075	1402280	exclusive	13	17
1446702	2432798	pan	13	18
0	0	hard-core	13	18
16	491	soft-core	13	18
255048	906472	accessory	13	18
1191638	1525835	exclusive	13	18
1345821	2223008	pan	13	19
3	119	hard-core	13	19
31	895	soft-core	13	19
239161	806436	accessory	13	19
1106629	1415677	exclusive	13	19
1114238	1795168	pan	14	0
0	0	hard-core	14	0
13	416	soft-core	14	0
200016	667632	accessory	14	0
914209	1127120	exclusive	14	0
1659359	2982027	pan	14	1
2	108	hard-core	14	1
43	1512	soft-core	14	1
376971	1368739	accessory	14	1
1282345	1611776	exclusive	14	1
1584092	2761337	pan	14	2
1	51	hard-core	14	2
18	648	soft-core	14	2
326207	1163051	accessory	14	2
1257867	1597638	exclusive	14	2
1320650	2128636	pan	14	3
2	69	hard-core	14	3
10	335	soft-core	14	3
224773	740551	accessory	14	3
1095867	1387750	exclusive	14	3
1318042	2158368	pan	14	4
1	19	hard-core	14	4
10	314	soft-core	14	4
233666	788613	accessory	14	4
1084366	1369441	exclusive	14	4
1662141	2904580	pan	14	5
1	30	hard-core	14	5
21	730	soft-core	14	5
333313	1211644	accessory	14	5
1328807	1692206	exclusive	14	5
1525966	2603360	pan	14	6
2	70	hard-core	14	6
14	524	soft-core	14	6
301072	1059454	accessory	14	6
1224880	1543382	exclusive	14	6
1288179	2033207	pan	14	7
1	35	hard-core	14	7
7	232	soft-core	14	7
206618	667003	accessory	14	7
1081554	1365972	exclusive	14	7
1440652	2377646	pan	14	8
3	146	hard-core	14	8
22	822	soft-core	14	8
271634	913383	accessory	14	8
1168996	1463441	exclusive	14	8
1426255	2462361	pan	14	9
3	105	hard-core	14	9
61	2012	soft-core	14	9
287558	1015210	accessory	14	9
1138636	1445139	exclusive	14	9
1920629	3648547	pan	14	10
2	78	hard-core	14	10
28	977	soft-core	14	10
463868	1813431	accessory	14	10
1456733	1834139	exclusive	14	10
1487338	2492289	pan	14	11
1	65	hard-core	14	11
22	674	soft-core	14	11
288592	982411	accessory	14	11
1198724	1509204	exclusive	14	11
1381174	2257518	pan	14	12
0	0	hard-core	14	12
12	397	soft-core	14	12
250824	834122	accessory	14	12
1130338	1422999	exclusive	14	12
1503257	2542715	pan	14	13
0	0	hard-core	14	13
15	511	soft-core	14	13
301628	1042185	accessory	14	13
1201614	1500019	exclusive	14	13
1260459	2076309	pan	14	14
2	101	hard-core	14	14
32	1160	soft-core	14	14
246966	822722	accessory	14	14
1013461	1252427	exclusive	14	14
1351390	2219918	pan	14	15
0	0	hard-core	14	15
11	371	soft-core	14	15
242472	821941	accessory	14	15
1108907	1397606	exclusive	14	15
1347754	2225089	pan	14	16
1	32	hard-core	14	16
19	624	soft-core	14	16
247429	837183	accessory	14	16
1100306	1387282	exclusive	14	16
1285795	2094604	pan	14	17
2	99	hard-core	14	17
29	1009	soft-core	14	17
217390	720459	accessory	14	17
1068376	1373136	exclusive	14	17
1803146	3289600	pan	14	18
1	48	hard-core	14	18
36	1274	soft-core	14	18
402923	1516714	accessory	14	18
1400187	1771612	exclusive	14	18
1064860	1690704	pan	14	19
0	0	hard-core	14	19
18	622	soft-core	14	19
196071	639060	accessory	14	19
868771	1051022	exclusive	14	19
1331611	2167584	pan	15	0
1	27	hard-core	15	0
27	943	soft-core	15	0
260787	859292	accessory	15	0
1070797	1307349	exclusive	15	0
1741224	3070830	pan	15	1
1	28	hard-core	15	1
53	1783	soft-core	15	1
372671	1338040	accessory	15	1
1368500	1731007	exclusive	15	1
1436078	2343565	pan	15	2
0	0	hard-core	15	2
21	683	soft-core	15	2
258738	863044	accessory	15	2
1177319	1479838	exclusive	15	2
1470692	2496551	pan	15	3
0	0	hard-core	15	3
25	871	soft-core	15	3
285871	991263	accessory	15	3
1184796	1504417	exclusive	15	3
1712388	3032408	pan	15	4
2	101	hard-core	15	4
47	1641	soft-core	15	4
361260	1306393	accessory	15	4
1351081	1724374	exclusive	15	4
1685593	3013022	pan	15	5
2	126	hard-core	15	5
53	1875	soft-core	15	5
380858	1374028	accessory	15	5
1304682	1637119	exclusive	15	5
1622665	2870457	pan	15	6
0	0	hard-core	15	6
29	927	soft-core	15	6
349035	1260833	accessory	15	6
1273601	1608697	exclusive	15	6
1675886	2974905	pan	15	7
0	0	hard-core	15	7
18	625	soft-core	15	7
363914	1323955	accessory	15	7
1311954	1650325	exclusive	15	7
1656719	2872291	pan	15	8
1	38	hard-core	15	8
23	815	soft-core	15	8
349814	1233740	accessory	15	8
1306882	1637736	exclusive	15	8
1642929	2900579	pan	15	9
0	0	hard-core	15	9
40	1279	soft-core	15	9
357065	1285971	accessory	15	9
1285824	1613329	exclusive	15	9
1755393	3106218	pan	15	10
2	106	hard-core	15	10
44	1400	soft-core	15	10
385200	1389961	accessory	15	10
1370149	1714857	exclusive	15	10
1714495	3129847	pan	15	11
2	92	hard-core	15	11
63	2268	soft-core	15	11
397559	1465470	accessory	15	11
1316873	1662109	exclusive	15	11
1420327	2387133	pan	15	12
0	0	hard-core	15	12
47	1561	soft-core	15	12
296073	1003162	accessory	15	12
1124207	1382410	exclusive	15	12
1629846	2776061	pan	15	13
0	0	hard-core	15	13
45	1454	soft-core	15	13
331353	1140451	accessory	15	13
1298448	1634156	exclusive	15	13
1722589	3065270	pan	15	14
2	121	hard-core	15	14
54	1913	soft-core	15	14
375434	1357836	accessory	15	14
1347101	1705521	exclusive	15	14
1658311	2888359	pan	15	15
0	0	hard-core	15	15
21	644	soft-core	15	15
334362	1204116	accessory	15	15
1323928	1683599	exclusive	15	15
1570370	2687411	pan	15	16
0	0	hard-core	15	16
34	1158	soft-core	15	16
309258	1080223	accessory	15	16
1261078	1606030	exclusive	15	16
1539508	2647256	pan	15	17
0	0	hard-core	15	17
30	962	soft-core	15	17
299836	1062577	accessory	15	17
1239642	1583717	exclusive	15	17
1410831	2312671	pan	15	18
0	0	hard-core	15	18
19	607	soft-core	15	18
247107	833904	accessory	15	18
1163705	1478160	exclusive	15	18
1127309	1831649	pan	15	19
0	0	hard-core	15	19
21	673	soft-core	15	19
218531	726881	accessory	15	19
908757	1104095	exclusive	15	19
1691429	2983843	pan	16	0
0	0	hard-core	16	0
24	862	soft-core	16	0
376815	1341746	accessory	16	0
1314590	1641235	exclusive	16	0
1351244	2312621	pan	16	1
0	0	hard-core	16	1
17	636	soft-core	16	1
284312	990747	accessory	16	1
1066915	1321238	exclusive	16	1
1768884	3141067	pan	16	2
2	83	hard-core	16	2
24	868	soft-core	16	2
382929	1391070	accessory	16	2
1385931	1749129	exclusive	16	2
1540244	2700448	pan	16	3
3	183	hard-core	16	3
44	1781	soft-core	16	3
335061	1187194	accessory	16	3
1205139	1511473	exclusive	16	3
1733529	3057812	pan	16	4
0	0	hard-core	16	4
30	1157	soft-core	16	4
365940	1316672	accessory	16	4
1367559	1739983	exclusive	16	4
1235039	1954924	pan	16	5
0	0	hard-core	16	5
14	550	soft-core	16	5
223847	718164	accessory	16	5
1011178	1236210	exclusive	16	5
1396040	2332542	pan	16	6
0	0	hard-core	16	6
12	357	soft-core	16	6
278043	947360	accessory	16	6
1117985	1384825	exclusive	16	6
1631843	2877479	pan	16	7
1	73	hard-core	16	7
40	1519	soft-core	16	7
362900	1289296	accessory	16	7
1268903	1586664	exclusive	16	7
1541083	2586105	pan	16	8
0	0	hard-core	16	8
33	1136	soft-core	16	8
313669	1062334	accessory	16	8
1227381	1522635	exclusive	16	8
2060575	3998566	pan	16	9
3	125	hard-core	16	9
64	2481	soft-core	16	9
532880	2072258	accessory	16	9
1527631	1923827	exclusive	16	9
1597216	2807939	pan	16	10
0	0	hard-core	16	10
25	989	soft-core	16	10
346713	1237004	accessory	16	10
1250478	1569946	exclusive	16	10
1421261	2409397	pan	16	11
2	106	hard-core	16	11
18	732	soft-core	16	11
281541	968438	accessory	16	11
1139702	1440227	exclusive	16	11
1957370	3573342	pan	16	12
1	57	hard-core	16	12
31	1181	soft-core	16	12
447841	1668883	accessory	16	12
1509498	1903278	exclusive	16	12
1976962	3652499	pan	16	13
1	46	hard-core	16	13
38	1487	soft-core	16	13
463055	1740073	accessory	16	13
1513869	1910939	exclusive	16	13
1257033	2106635	pan	16	14
1	58	hard-core	16	14
31	1152	soft-core	16	14
267954	902569	accessory	16	14
989048	1202914	exclusive	16	14
1354223	2255861	pan	16	15
1	53	hard-core	16	15
19	695	soft-core	16	15
277226	935830	accessory	16	15
1076978	1319336	exclusive	16	15
1679865	2997402	pan	16	16
0	0	hard-core	16	16
36	1361	soft-core	16	16
377696	1354769	accessory	16	16
1302133	1641272	exclusive	16	16
1207110	1978598	pan	16	17
0	0	hard-core	16	17
13	477	soft-core	16	17
234336	785841	accessory	16	17
972761	1192280	exclusive	16	17
1586907	2749415	pan	16	18
0	0	hard-core	16	18
12	378	soft-core	16	18
315865	1132239	accessory	16	18
1271030	1616798	exclusive	16	18
1680789	2946936	pan	16	19
0	0	hard-core	16	19
14	541	soft-core	16	19
370242	1314475	accessory	16	19
1310533	1631920	exclusive	16	19
1436512	2355416	pan	17	0
0	0	hard-core	17	0
12	454	soft-core	17	0
265026	877841	accessory	17	0
1171474	1477121	exclusive	17	0
1615135	2725367	pan	17	1
0	0	hard-core	17	1
10	336	soft-core	17	1
315716	1087355	accessory	17	1
1299409	1637676	exclusive	17	1
2022863	3859031	pan	17	2
1	52	hard-core	17	2
16	776	soft-core	17	2
507970	1950950	accessory	17	2
1514877	1907305	exclusive	17	2
2018216	3874845	pan	17	3
1	50	hard-core	17	3
36	1603	soft-core	17	3
508173	1967146	accessory	17	3
1510007	1906096	exclusive	17	3
1244088	2013012	pan	17	4
0	0	hard-core	17	4
5	171	soft-core	17	4
243470	802152	accessory	17	4
1000613	1210689	exclusive	17	4
1786980	3223135	pan	17	5
1	66	hard-core	17	5
22	996	soft-core	17	5
397392	1451564	accessory	17	5
1389566	1770575	exclusive	17	5
1610397	2711306	pan	17	6
0	0	hard-core	17	6
14	495	soft-core	17	6
323218	1093934	accessory	17	6
1287165	1616877	exclusive	17	6
1347354	2199611	pan	17	7
0	0	hard-core	17	7
21	840	soft-core	17	7
271882	885697	accessory	17	7
1075451	1313074	exclusive	17	7
1563733	2654722	pan	17	8
0	0	hard-core	17	8
14	499	soft-core	17	8
321715	1101883	accessory	17	8
1242004	1552340	exclusive	17	8
1310127	2213577	pan	17	9
2	74	hard-core	17	9
17	656	soft-core	17	9
289140	977497	accessory	17	9
1020970	1235424	exclusive	17	9
1516460	2570579	pan	17	10
0	0	hard-core	17	10
23	831	soft-core	17	10
336119	1142235	accessory	17	10
1180318	1427513	exclusive	17	10
1771475	3132107	pan	17	11
1	46	hard-core	17	11
22	858	soft-core	17	11
380361	1366199	accessory	17	11
1391092	1765050	exclusive	17	11
1612994	2844317	pan	17	12
0	0	hard-core	17	12
19	747	soft-core	17	12
355870	1266433	accessory	17	12
1257105	1577137	exclusive	17	12
1636199	2882118	pan	17	13
0	0	hard-core	17	13
23	976	soft-core	17	13
363568	1277787	accessory	17	13
1272608	1603355	exclusive	17	13
1835004	3270126	pan	17	14
1	36	hard-core	17	14
29	1190	soft-core	17	14
417881	1491676	accessory	17	14
1417094	1777260	exclusive	17	14
2103066	4115566	pan	17	15
4	248	hard-core	17	15
35	1568	soft-core	17	15
548532	2160524	accessory	17	15
1554499	1953474	exclusive	17	15
1664626	2945695	pan	17	16
0	0	hard-core	17	16
18	728	soft-core	17	16
373013	1326628	accessory	17	16
1291595	1618339	exclusive	17	16
1248529	2102049	pan	17	17
1	65	hard-core	17	17
19	779	soft-core	17	17
272862	921402	accessory	17	17
975648	1179868	exclusive	17	17
1872064	3430325	pan	17	18
0	0	hard-core	17	18
24	945	soft-core	17	18
450025	1657204	accessory	17	18
1422015	1772176	exclusive	17	18
1330736	2206364	pan	17	19
0	0	hard-core	17	19
24	998	soft-core	17	19
279195	922900	accessory	17	19
1051517	1282466	exclusive	17	19
1667807	2955129	pan	18	0
0	0	hard-core	18	0
21	928	soft-core	18	0
379071	1331738	accessory	18	0
1288715	1622463	exclusive	18	0
1477613	2625016	pan	18	1
0	0	hard-core	18	1
24	1105	soft-core	18	1
357584	1252491	accessory	18	1
1120005	1371420	exclusive	18	1
1616360	2777467	pan	18	2
0	0	hard-core	18	2
13	570	soft-core	18	2
328140	1137573	accessory	18	2
1288207	1639324	exclusive	18	2
1535891	2634448	pan	18	3
0	0	hard-core	18	3
24	1068	soft-core	18	3
318413	1088285	accessory	18	3
1217454	1545095	exclusive	18	3
1692767	2905686	pan	18	4
0	0	hard-core	18	4
12	490	soft-core	18	4
363687	1250327	accessory	18	4
1329068	1654869	exclusive	18	4
2199160	4395717	pan	18	5
1	82	hard-core	18	5
24	1234	soft-core	18	5
601892	2396859	accessory	18	5
1597244	1997624	exclusive	18	5
1875210	3387198	pan	18	6
0	0	hard-core	18	6
15	595	soft-core	18	6
441923	1597292	accessory	18	6
1433272	1789311	exclusive	18	6
1913716	3475469	pan	18	7
2	127	hard-core	18	7
31	1363	soft-core	18	7
443863	1616952	accessory	18	7
1469822	1857154	exclusive	18	7
1446190	2517075	pan	18	8
0	0	hard-core	18	8
33	1512	soft-core	18	8
342943	1175950	accessory	18	8
1103214	1339613	exclusive	18	8
1715128	2973979	pan	18	9
0	0	hard-core	18	9
9	284	soft-core	18	9
372096	1299263	accessory	18	9
1343023	1674432	exclusive	18	9
1989334	3737628	pan	18	10
0	0	hard-core	18	10
12	513	soft-core	18	10
479124	1824071	accessory	18	10
1510198	1913044	exclusive	18	10
1380701	2340292	pan	18	11
0	0	hard-core	18	11
12	481	soft-core	18	11
310819	1052466	accessory	18	11
1069870	1287345	exclusive	18	11
1947745	3687907	pan	18	12
0	0	hard-core	18	12
15	637	soft-core	18	12
497275	1865769	accessory	18	12
1450455	1821501	exclusive	18	12
1416434	2358267	pan	18	13
0	0	hard-core	18	13
5	186	soft-core	18	13
296978	998653	accessory	18	13
1119451	1359428	exclusive	18	13
2026166	3829585	pan	18	14
0	0	hard-core	18	14
19	812	soft-core	18	14
502981	1913127	accessory	18	14
1523166	1915646	exclusive	18	14
1595515	2746739	pan	18	15
0	0	hard-core	18	15
10	440	soft-core	18	15
337272	1160090	accessory	18	15
1258233	1586209	exclusive	18	15
1634196	2831731	pan	18	16
1	61	hard-core	18	16
15	657	soft-core	18	16
351918	1221154	accessory	18	16
1282263	1609920	exclusive	18	16
1689352	2984869	pan	18	17
1	44	hard-core	18	17
23	929	soft-core	18	17
373082	1326245	accessory	18	17
1316247	1657695	exclusive	18	17
1980169	3673177	pan	18	18
0	0	hard-core	18	18
14	719	soft-core	18	18
477003	1781524	accessory	18	18
1503152	1890934	exclusive	18	18
1902063	3403015	pan	18	19
0	0	hard-core	18	19
15	744	soft-core	18	19
429295	1551286	accessory	18	19
1472753	1850985	exclusive	18	19
2130063	4098559	pan	19	0
1	50	hard-core	19	0
22	1141	soft-core	19	0
552951	2112432	accessory	19	0
1577090	1984986	exclusive	19	0
2028048	3837763	pan	19	1
3	232	hard-core	19	1
26	1374	soft-core	19	1
515878	1940953	accessory	19	1
1512144	1895436	exclusive	19	1
1842553	3272870	pan	19	2
0	0	hard-core	19	2
10	494	soft-core	19	2
412496	1473665	accessory	19	2
1430047	1798711	exclusive	19	2
1987608	3620234	pan	19	3
2	134	hard-core	19	3
15	772	soft-core	19	3
477971	1732913	accessory	19	3
1509622	1886549	exclusive	19	3
1785113	3142828	pan	19	4
0	0	hard-core	19	4
21	1043	soft-core	19	4
416838	1450230	accessory	19	4
1368254	1691555	exclusive	19	4
1511727	2575417	pan	19	5
0	0	hard-core	19	5
5	221	soft-core	19	5
310524	1062128	accessory	19	5
1201198	1513068	exclusive	19	5
1930493	3499924	pan	19	6
0	0	hard-core	19	6
18	926	soft-core	19	6
450310	1637654	accessory	19	6
1480165	1861344	exclusive	19	6
1932798	3554500	pan	19	7
0	0	hard-core	19	7
12	500	soft-core	19	7
476863	1741043	accessory	19	7
1455923	1812957	exclusive	19	7
1726177	3050780	pan	19	8
0	0	hard-core	19	8
15	886	soft-core	19	8
383084	1359036	accessory	19	8
1343078	1690858	exclusive	19	8
1816911	3284424	pan	19	9
2	139	hard-core	19	9
17	841	soft-core	19	9
438005	1569630	accessory	19	9
1378889	1713953	exclusive	19	9
1872201	3393525	pan	19	10
0	0	hard-core	19	10
13	681	soft-core	19	10
459075	1639623	accessory	19	10
1413113	1753221	exclusive	19	10
1540520	2673168	pan	19	11
0	0	hard-core	19	11
17	787	soft-core	19	11
356028	1219739	accessory	19	11
1184475	1452642	exclusive	19	11
1687772	2953050	pan	19	12
0	0	hard-core	19	12
15	703	soft-core	19	12
371269	1297815	accessory	19	12
1316488	1654532	exclusive	19	12
1803343	3181332	pan	19	13
0	0	hard-core	19	13
8	395	soft-core	19	13
405095	1427801	accessory	19	13
1398240	1753136	exclusive	19	13
1795632	3201595	pan	19	14
0	0	hard-core	19	14
13	541	soft-core	19	14
407425	1455008	accessory	19	14
1388194	1746046	exclusive	19	14
1781772	3188708	pan	19	15
0	0	hard-core	19	15
20	1037	soft-core	19	15
422151	1497329	accessory	19	15
1359601	1690342	exclusive	19	15
1833446	3381546	pan	19	16
0	0	hard-core	19	16
9	417	soft-core	19	16
452138	1661000	accessory	19	16
1381299	1720129	exclusive	19	16
1467996	2494455	pan	19	17
0	0	hard-core	19	17
13	645	soft-core	19	17
339994	1136106	accessory	19	17
1127989	1357704	exclusive	19	17
1759284	3184738	pan	19	18
0	0	hard-core	19	18
14	711	soft-core	19	18
414546	1491256	accessory	19	18
1344724	1692771	exclusive	19	18
1680279	2892740	pan	19	19
0	0	hard-core	19	19
13	664	soft-core	19	19
369779	1264404	accessory	19	19
1310487	1627672	exclusive	19	19
1897214	3513004	pan	20	0
0	0	hard-core	20	0
24	1158	soft-core	20	0
457098	1692007	accessory	20	0
1440092	1819839	exclusive	20	0
1634502	2875561	pan	20	1
1	53	hard-core	20	1
30	1377	soft-core	20	1
397443	1370543	accessory	20	1
1237029	1503641	exclusive	20	1
1937871	3597249	pan	20	2
0	0	hard-core	20	2
15	729	soft-core	20	2
472357	1754405	accessory	20	2
1465499	1842115	exclusive	20	2
2108301	3984233	pan	20	3
1	53	hard-core	20	3
40	1953	soft-core	20	3
552433	2042413	accessory	20	3
1555828	1939867	exclusive	20	3
2379313	4915410	pan	20	4
0	0	hard-core	20	4
40	2052	soft-core	20	4
700370	2823115	accessory	20	4
1678903	2090243	exclusive	20	4
1931666	3557954	pan	20	5
1	70	hard-core	20	5
34	1585	soft-core	20	5
483074	1752108	accessory	20	5
1448558	1804261	exclusive	20	5
1751128	3114336	pan	20	6
0	0	hard-core	20	6
20	898	soft-core	20	6
411946	1449504	accessory	20	6
1339162	1663934	exclusive	20	6
2075508	3959108	pan	20	7
0	0	hard-core	20	7
15	675	soft-core	20	7
529632	2022347	accessory	20	7
1545861	1936086	exclusive	20	7
1853564	3452402	pan	20	8
0	0	hard-core	20	8
22	1052	soft-core	20	8
476719	1743732	accessory	20	8
1376823	1707618	exclusive	20	8
1727742	3137899	pan	20	9
0	0	hard-core	20	9
17	730	soft-core	20	9
420256	1508444	accessory	20	9
1307469	1628725	exclusive	20	9
1836105	3352286	pan	20	10
0	0	hard-core	20	10
