NumberGroups	NumberGenes	Classification	NumberGenotypes	Sample
276148	345513	exclusive	3	5
605510	895595	pan	3	6
3124	18885	hard-core	3	6
3124	18885	soft-core	3	6
25690	75680	accessory	3	6
576696	801030	exclusive	3	6
273487	357463	pan	3	7
314	1405	hard-core	3	7
314	1405	soft-core	3	7
16090	47355	accessory	3	7
257083	308703	exclusive	3	7
362110	463829	pan	3	8
353	1566	hard-core	3	8
353	1566	soft-core	3	8
10969	29770	accessory	3	8
350788	432493	exclusive	3	8
300861	395380	pan	3	9
401	1927	hard-core	3	9
401	1927	soft-core	3	9
12403	34230	accessory	3	9
288057	359223	exclusive	3	9
220944	293506	pan	3	10
121	556	hard-core	3	10
121	556	soft-core	3	10
7245	23199	accessory	3	10
213578	269751	exclusive	3	10
511984	741704	pan	3	11
1353	7303	hard-core	3	11
1353	7303	soft-core	3	11
31035	99445	accessory	3	11
479596	634956	exclusive	3	11
615248	908211	pan	3	12
2622	17084	hard-core	3	12
2622	17084	soft-core	3	12
25134	76490	accessory	3	12
587492	814637	exclusive	3	12
589750	858599	pan	3	13
1131	6325	hard-core	3	13
1131	6325	soft-core	3	13
19713	58323	accessory	3	13
568906	793951	exclusive	3	13
320051	403991	pan	3	14
160	667	hard-core	3	14
160	667	soft-core	3	14
8004	20845	accessory	3	14
311887	382479	exclusive	3	14
358990	489670	pan	3	15
553	2786	hard-core	3	15
553	2786	soft-core	3	15
18599	56486	accessory	3	15
339838	430398	exclusive	3	15
214103	279803	pan	3	16
187	903	hard-core	3	16
187	903	soft-core	3	16
7414	20733	accessory	3	16
206502	258167	exclusive	3	16
277526	377225	pan	3	17
2090	11025	hard-core	3	17
2090	11025	soft-core	3	17
19015	52734	accessory	3	17
256421	313466	exclusive	3	17
342203	440119	pan	3	18
122	549	hard-core	3	18
122	549	soft-core	3	18
9942	26776	accessory	3	18
332139	412794	exclusive	3	18
672908	1022241	pan	3	19
1577	9250	hard-core	3	19
1577	9250	soft-core	3	19
48898	169328	accessory	3	19
622433	843663	exclusive	3	19
538845	768388	pan	4	0
59	480	hard-core	4	0
59	480	soft-core	4	0
28556	90419	accessory	4	0
510230	677489	exclusive	4	0
328684	430333	pan	4	1
37	277	hard-core	4	1
37	277	soft-core	4	1
13124	35982	accessory	4	1
315523	394074	exclusive	4	1
374422	508653	pan	4	2
102	747	hard-core	4	2
102	747	soft-core	4	2
21224	65055	accessory	4	2
353096	442851	exclusive	4	2
486175	656222	pan	4	3
97	698	hard-core	4	3
97	698	soft-core	4	3
26073	73736	accessory	4	3
460005	581788	exclusive	4	3
836648	1294341	pan	4	4
377	3406	hard-core	4	4
377	3406	soft-core	4	4
79383	274579	accessory	4	4
756888	1016356	exclusive	4	4
553669	760550	pan	4	5
99	779	hard-core	4	5
99	779	soft-core	4	5
35370	104402	accessory	4	5
518200	655369	exclusive	4	5
344193	478184	pan	4	6
75	646	hard-core	4	6
75	646	soft-core	4	6
24828	75800	accessory	4	6
319290	401738	exclusive	4	6
502856	713190	pan	4	7
334	2823	hard-core	4	7
334	2823	soft-core	4	7
30514	91222	accessory	4	7
472008	619145	exclusive	4	7
374459	504207	pan	4	8
56	409	hard-core	4	8
56	409	soft-core	4	8
21690	65522	accessory	4	8
352713	438276	exclusive	4	8
298988	395977	pan	4	9
100	790	hard-core	4	9
100	790	soft-core	4	9
15180	43030	accessory	4	9
283708	352157	exclusive	4	9
1001226	1661099	pan	4	10
1102	10623	hard-core	4	10
1102	10623	soft-core	4	10
127820	479628	accessory	4	10
872304	1170848	exclusive	4	10
322199	415868	pan	4	11
26	165	hard-core	4	11
26	165	soft-core	4	11
14628	42667	accessory	4	11
307545	373036	exclusive	4	11
707822	1075683	pan	4	12
227	1962	hard-core	4	12
227	1962	soft-core	4	12
47269	160630	accessory	4	12
660326	913091	exclusive	4	12
262488	347536	pan	4	13
72	546	hard-core	4	13
72	546	soft-core	4	13
14210	40427	accessory	4	13
248206	306563	exclusive	4	13
670196	993101	pan	4	14
70	590	hard-core	4	14
70	590	soft-core	4	14
36836	123241	accessory	4	14
633290	869270	exclusive	4	14
350024	464654	pan	4	15
36	273	hard-core	4	15
