OG2509038	intersection	out.5.3_543, out.4.8_499, out.5.8_1899
OG498367	disjoint	out.5.3_543, out.4.8_499
OG1824629	disjoint	out.5.3_543, out.4.8_499
OG0163761	disjoint	out.5.3_543, out.4.8_499
OG484731	disjoint	out.5.3_543, out.4.8_499
OG1155902	disjoint	out.5.3_543, out.4.8_499
OG0037926	disjoint	out.5.3_543, out.4.8_499
OG0546840	disjoint	out.5.3_543, out.4.8_499
OG3356442	disjoint	out.5.3_543, out.4.8_499
OG94778	disjoint	out.5.3_543
