Gene	CV
OG0000000	1.83457275612129
OG0000001	1.80344405642763
OG0000002	1.67030710995608
OG0000003	1.64572848356576
OG0000004	1.63612870944999
OG0000005	1.61058951500844
OG0000006	1.60657289532398
OG0000007	1.60337185655776
OG0000008	1.60281051112845
OG0000009	1.59709119995228
OG0000010	1.59352903010478
OG897653	1.59258200969482
OG2940289	1.58913514654445
OG2363172	1.58517148730777
OG1261978	1.57826564654003
OG368239	1.56444890263654
OG1246814	1.56366748197459
OG1915750	1.56021715406983
OG1965709	1.55853681106535
OG1916200	1.55655092858375
OG1700334	1.55615757853005
OG2283522	1.555740390659
OG0123661	1.55429352704643
OG2341298	1.55232743569853
OG0106928	1.54868381679621
OG1943294	1.54275735164439
OG415914	1.54255160500788
OG2888346	1.54124809681804
OG584700	1.53446792265048
OG0300786	1.53378262891131
OG0454058	1.52889100031642
OG1673756	1.52405295308035
OG0000025	1.52330430372391
OG0000084	1.51750498818578
OG0000086	1.51736131512669
OG0000118	1.51641734117969
OG0000130	1.51518532279195
OG0000190	1.51409686914898
OG0000208	1.51257418029644
OG0000238	1.50888242062747
OG0000281	1.50579630115571
OG0000414	1.50567470787999
OG0000582	1.50010089439117
OG0000671	1.49435389697953
OG0000781	1.49374244109772
OG0000794	1.48725842825777
OG0000817	1.4846380164291
OG0000837	1.48380425237909
OG0001006	1.48367308734565
OG0001042	1.4791288337672
OG0001131	1.47721807830659
OG0001187	1.47528419718646
OG0001244	1.4748320923003
OG2205652	1.4683453963835
OG2890012	1.46488056701565
OG1306222	1.46461286640309
OG1735094	1.46422546364391
OG2270131	1.46353085022745
OG0092234	1.46160826093503
OG0086484	1.46071173408943
OG288478	1.45980713644931
OG1340790	1.45896628067566
OG3116884	1.45818957233228
OG0322483	1.45814048755852
OG2565513	1.45416699400732
OG1578945	1.45157365962841
OG2947340	1.44829339011472
OG287217	1.44761188575543
OG1866110	1.44718630927691
OG2376310	1.4445632558301
OG2462395	1.44445897802314
OG119490	1.44320584284625
OG0550627	1.44224129945497
OG1700552	1.44175647711098
OG2553887	1.44030888999513
OG0300116	1.43949256080888
OG2479185	1.43930115365568
OG1589290	1.43750840279422
OG1159644	1.43677524735551
OG2433351	1.43660112950681
OG114093	1.43590088453121
OG2036360	1.43520323646712
OG596065	1.43369116924589
OG486948	1.4335988421051
OG0069715	1.43357122693991
OG2955318	1.43283699554055
OG171203	1.43222212757465
OG1752761	1.43129387785856
OG591097	1.43035667079559
OG0244331	1.43027584108968
OG2233574	1.42854654010816
OG2278820	1.42805039435518
OG717712	1.4267850255069
OG1984062	1.42664680316141
OG274998	1.42619031485161
OG2589952	1.42381962150062
OG3187613	1.42309592724454
OG1879153	1.42273084845679
OG2048317	1.42237013916231
OG1677680	1.42207496967031
OG958811	1.42182622338528
OG446836	1.42128118498915
OG2076811	1.42072818127752
OG2709157	1.41932203444203
OG1390164	1.41902201673778
OG1545667	1.41851802228366
OG2399613	1.41736194502053
OG138664	1.4172534000864
OG638368	1.41576653874702
OG907786	1.41548523092351
OG2153660	1.41385895659425
OG517992	1.41033573129894
OG2708982	1.41026017651724
OG1862464	1.40992087659204
OG2194286	1.40970264443622
OG1900766	1.4096682987778
OG1662698	1.40902380003276
OG3212240	1.4082934426106
OG2687479	1.4062766364226
OG1950816	1.40559552668879
OG0265046	1.40409136763094
OG2790713	1.40408080912776
OG1926976	1.4029532947016
OG1856499	1.40210731751802
OG2272295	1.40208180439862
OG2493996	1.40163307377302
OG2408928	1.39986869655332
OG1258875	1.39878549262593
OG156329	1.39745626983979
OG0266483	1.39697324809893
OG1033141	1.39584217668499
OG1892552	1.39577147170231
OG702070	1.39389408611218
OG2405243	1.3935464520762
OG1800987	1.39348657806309
OG216471	1.3933105233324
OG0113479	1.39302033264412
OG3103973	1.39259791657257
OG1278183	1.38966024699126
OG1046685	1.38963554872249
OG2644057	1.38952012913155
OG0146731	1.38866315712964
OG2228069	1.38843461535892
OG2418148	1.38616456381748
OG2551573	1.38601578892691
OG1916012	1.38533326950101
OG3024478	1.38471839657558
OG1227374	1.38400292287949
OG2520408	1.3837629172524
OG1228077	1.38348344321846
OG296651	1.3827521979697
OG0332738	1.38249491953769
OG3295432	1.38127965968573
OG894437	1.38096421582193
OG597394	1.38085058124327
OG3203528	1.38059468024265
OG2615836	1.38056249992523
OG0204977	1.38050445236862
OG1299395	1.38027127625755
OG0044261	1.37981673195287
OG0232647	1.3798016569363
OG0086430	1.37972681844096
OG159246	1.37971069455934
OG0180767	1.37870207988769
OG0031761	1.37715255556307
OG145728	1.37707742363897
OG0471895	1.37686685417333
OG3195542	1.37683764769106
OG650880	1.37637311757999
OG2168816	1.37573490664656
OG1994468	1.37571674988699
OG2100342	1.37542016321011
OG933681	1.3749361071897
OG2330507	1.37482420040709
OG1067733	1.37398458486572
OG2946331	1.3734022475801
OG144186	1.37278219554251
OG860562	1.37271601886884
OG0030327	1.3724018324629
OG1918044	1.37161260886387
OG0341665	1.37099354342327
OG268685	1.37095091029129
OG2364678	1.37042468763005
OG0531268	1.36939423269725
OG1862566	1.36921802005805
OG0441065	1.3683831073173
OG1276703	1.36831921537431
OG961291	1.36718994141711
OG1110355	1.36606826904094
OG1235034	1.36597538775586
OG207777	1.36479333405916
OG0575732	1.36416548134654
OG2771123	1.36393165459598
OG1068879	1.36386132052095
OG1099091	1.362954779089
OG0262616	1.36246523889167
OG1015744	1.3620471430389
OG2402158	1.36071245102997
OG904774	1.36050620450694
OG3223234	1.3602743804979
