Number of groups present in all (50) species:	1164
Number of proteins present in core groups:	145522
Number of groups present in 80% of the species (40.0):	7307
Number of proteins present in soft-core groups:	867399
Number of accesory groups:	494253
Number of proteins present in accessory groups:	3828622
Number of exclusive groups:	99371
Number of proteins present in exclusive groups:	248234
