Gene	CV
OG1561287	2.74175451337182
OG706052	2.71443624404175
OG3194873	2.66289520544779
OG0481792	2.65667598103508
OG0144170	2.60800006776463
OG3305186	2.59710343091368
OG0479990	2.5346903404944
OG1228159	2.52414150131296
OG1328456	2.52227536943303
OG1687656	2.52118481042292
OG3064779	2.51968705811404
OG2335446	2.51321959236067
OG2859284	2.51131958488555
OG3200201	2.50657806137335
OG63305	2.50296821907518
OG1600271	2.48419761179175
OG1532586	2.47805934668117
OG1799426	2.47763122385599
OG0479962	2.46853746633747
OG2333431	2.46719388968538
OG0471557	2.46711273803073
OG0119473	2.46467766548412
OG0300786	2.46287193007945
OG2488661	2.45842297306708
OG1650670	2.45416687671399
OG0183916	2.45274544652842
OG0470793	2.4512504619181
OG1930598	2.44424035172404
OG1322020	2.42322970614205
OG1348822	2.42322970614205
OG0251915	2.42017772040416
OG452649	2.41031306579696
OG1635300	2.40979041025787
OG2014206	2.39989821783103
OG0181952	2.38941655677893
OG2844966	2.38738633138236
OG673347	2.37828854818219
OG927851	2.37790935600117
OG2379399	2.3769278343081
OG0540051	2.37686875261998
OG0081419	2.36846571885078
OG1934223	2.3668392095667
OG1720585	2.36628588855474
OG2023479	2.35900064460425
OG125965	2.35729176332333
OG0175381	2.35023951811588
OG694689	2.3487723621384
OG3390544	2.34723102634294
OG913888	2.34319916036152
OG0081186	2.32488696964326
OG3147520	2.32037640553843
OG795134	2.32037640553843
OG0204977	2.31319858038964
OG1030333	2.31319858038964
OG121371	2.31235270291813
OG2945433	2.30785153834286
OG433325	2.30766462844067
OG0327644	2.3057375458589
OG2999107	2.3057375458589
OG0321673	2.30306320310074
OG0270094	2.2948071371008
OG2160977	2.29328894940129
OG0486164	2.29140316679943
OG0544718	2.28967848888942
OG0486183	2.28441070051446
OG0322208	2.28262265582331
OG0342316	2.2814340179097
OG0434144	2.28081810595418
OG2217837	2.28081810595418
OG171203	2.27899677251337
OG0551152	2.27715837023966
OG134326	2.27079161481886
OG691418	2.27079161481886
OG916916	2.26524641262073
OG0198473	2.26378611490394
OG2293461	2.26336292656771
OG0288466	2.26035208671917
OG0536332	2.25974488524626
OG688736	2.25946308851562
OG0135890	2.2594493804847
OG0144715	2.25760289149974
OG0479914	2.25572022124113
OG2469438	2.25564527231127
OG475693	2.25521318366403
OG968018	2.2536682873188
OG886117	2.25365190707453
OG0262949	2.25059926257387
OG0546202	2.24945031478379
OG2374502	2.24945031478379
OG3094577	2.24515931449137
OG694693	2.24515931449137
OG2569551	2.24137939775059
OG0534998	2.24130940542659
OG744080	2.23347600660489
OG0480983	2.23265386704462
OG1536148	2.23149540850324
OG0317237	2.23053597609831
OG3061485	2.22938409865975
OG516589	2.22938409865975
OG3305974	2.22673009183781
OG0315935	2.22536271111199
OG1372137	2.22464418755947
OG158489	2.22223276918124
OG957823	2.21732430112033
OG1984383	2.21671678630479
OG2425101	2.2122979214809
OG2098097	2.20973904884358
OG0470066	2.20963700826212
OG0265052	2.20944540491404
OG0470255	2.20728974451346
OG0359771	2.20696452474218
OG0492544	2.20187223202293
OG1042866	2.20183057854432
OG2241030	2.19691980211455
OG0468661	2.19674039299054
OG2696735	2.19646257422053
OG0358391	2.19634031568802
OG444609	2.19387640799342
OG2617495	2.19370611637331
OG0335260	2.19290294471966
OG0457535	2.1914393805594
OG1019976	2.1914393805594
OG763090	2.1914393805594
OG0357311	2.18873935908938
OG1277273	2.18808622314437
OG0143672	2.18522122592591
OG3297039	2.18522122592591
OG0479979	2.18457767963549
OG2668935	2.18327191686424
OG0483178	2.18231844332276
OG645651	2.18231844332276
OG1997307	2.18156582674077
OG1637663	2.18043279257066
OG1709794	2.17937702692781
OG1834784	2.17937702692781
OG2270098	2.17851260573409
OG941915	2.17851260573409
OG2664514	2.17770587224149
OG1269776	2.17759262400239
OG2713207	2.17759262400239
OG3102293	2.17759262400239
OG3172624	2.17759262400239
OG2691796	2.17541704207919
OG0075749	2.17337475109715
OG1018973	2.17337475109715
OG882893	2.17337475109715
OG0226598	2.17227812578097
OG2283577	2.17180059314166
OG0542660	2.17031204251155
OG0025068	2.16909480958487
OG354249	2.16883108004668
OG0481468	2.16793089630909
OG1409279	2.16720699874035
OG859966	2.16720699874035
OG0492412	2.16585402752304
OG2803344	2.16585402752304
OG2363952	2.16575609690721
OG0191330	2.16405860975463
OG198875	2.16405860975463
OG451173	2.16405860975463
OG813662	2.16405860975463
OG277503	2.16282058027723
OG1780626	2.1608658281986
OG1992271	2.1608658281986
OG212287	2.1608658281986
OG659554	2.1608658281986
OG3241405	2.15923825540202
OG0491876	2.1576275674635
OG2116209	2.1576275674635
OG3251614	2.1576275674635
OG1601587	2.15535711905011
OG0446076	2.1549155362128
OG1127896	2.15456510775346
OG0484727	2.1543426996332
OG2589840	2.15428908710118
OG1235773	2.15346818519619
OG3246707	2.15346818519619
OG2335485	2.15247271519725
OG855647	2.15101005329049
OG112102	2.15091557529719
OG3129873	2.14981203285538
OG0481462	2.14899866199975
OG210058	2.14762841117506
OG2844376	2.14762841117506
OG297842	2.147074201336
OG0441065	2.14701300803258
OG2793062	2.14667474954699
OG1279030	2.14445972290926
OG0472337	2.14372807443528
OG0327666	2.14189027127698
OG64234	2.14189027127698
OG0216295	2.14071302615286
OG1395714	2.14071302615286
OG1408994	2.14071302615286
OG259679	2.14071302615286
OG907587	2.14071302615286
OG1510305	2.14037138202846
OG2325573	2.13825302046362
OG3387176	2.13825302046362
OG1824926	2.13717659604826
OG2173751	2.13717659604826
OG0075081	2.13697769083527
OG3330748	2.13697769083527
OG2451553	2.13590045969813
OG0273411	2.13358578981225
OG342806	2.13358578981225
OG802274	2.13358578981225
OG528089	2.13353374155549
OG900313	2.13353374155549
OG2104850	2.13284711590238
OG363165	2.13198358181593
OG1938928	2.13080465208495
OG0495769	2.13003821638332
OG0273269	2.12993911958258
OG0335681	2.12993911958258
OG0457174	2.12993911958258
OG0482604	2.12699022707559
OG0570880	2.12648974340959
OG1182112	2.12648974340959
OG3217582	2.12648974340959
OG0094087	2.12623503362223
OG0260073	2.12623503362223
OG0363575	2.12623503362223
OG0542794	2.12623503362223
OG1113306	2.12288689351628
OG3341934	2.12288689351628
OG2008991	2.12247191248409
OG2330122	2.12247191248409
OG2836989	2.12247191248409
OG1613288	2.12128651059881
OG2585118	2.11947917558123
OG18330	2.11938163511795
OG1496980	2.11922817704075
OG2512534	2.11917206270414
OG0123999	2.11864806487816
OG2221223	2.11864806487816
OG2271065	2.11864806487816
OG900403	2.11864806487816
OG0019945	2.11676175290818
OG0148463	2.11551204018875
OG0199178	2.1151645444638
OG0127521	2.11476172321316
OG0168813	2.11476172321316
OG0330989	2.11476172321316
OG0328610	2.11188886653269
OG0317418	2.11081103878079
OG1168339	2.11081103878079
OG1729560	2.11081103878079
OG0065410	2.11018955441254
OG2186211	2.1079009460513
OG3092432	2.1079009460513
OG3267570	2.10699149565553
OG2850099	2.10681717376736
OG2147715	2.10679407654534
OG2424183	2.10679407654534
OG424140	2.10679407654534
OG0539153	2.10400252423659
OG1761476	2.10400252423659
OG2529868	2.10400252423659
OG383432	2.10400252423659
OG494545	2.10400252423659
OG745977	2.1027236446003
OG489619	2.10270880950304
OG0185709	2.10003974364548
OG0330458	2.10003974364548
OG0536755	2.10003974364548
OG0305751	2.09855311256713
OG1495846	2.09855311256713
OG1519333	2.09855311256713
OG2767492	2.09855311256713
OG2885780	2.09855311256713
OG997349	2.09855311256713
OG0232079	2.09601066545151
OG0350396	2.09601066545151
OG1828423	2.09601066545151
OG690755	2.09601066545151
OG1078616	2.0943247559283
OG1297197	2.0943247559283
OG620374	2.09405852478111
OG1363207	2.09400752477677
OG1948855	2.09399822977823
OG557804	2.09238950115644
OG0237066	2.09197081194149
OG0263159	2.09191325840261
OG3094881	2.09002139783605
OG0096036	2.0896072280995
OG1961882	2.0896072280995
OG1077811	2.08774539265896
OG1304311	2.08774539265896
OG2186456	2.08774539265896
OG3276999	2.08731891749271
OG1873096	2.08582387029339
OG0261618	2.0856405767396
OG0359587	2.0856405767396
OG0361330	2.0856405767396
OG0459450	2.0856405767396
OG1914784	2.0856405767396
OG2404451	2.0856405767396
OG960948	2.0856405767396
OG0473207	2.08507319013101
OG1878050	2.08507319013101
OG0185866	2.08496456911147
OG0218026	2.0835048331017
OG0237069	2.0835048331017
OG1893121	2.0835048331017
OG0074781	2.08117970271332
OG2785640	2.08117970271332
OG3136343	2.08117970271332
OG0094895	2.07918923205184
OG0151873	2.07918923205184
OG0162238	2.07918923205184
OG0429297	2.07918923205184
OG0468990	2.07918923205184
OG2675153	2.07918923205184
OG0198223	2.07663604806849
OG0291189	2.07663604806849
OG0491727	2.07663604806849
OG2909897	2.07663604806849
OG311729	2.07600173296719
OG2146114	2.07574525511534
OG706269	2.07525927136989
OG0476542	2.07479612133088
OG1794137	2.07479612133088
OG2222705	2.07479612133088
OG2455379	2.07479612133088
OG1462507	2.07315668606165
OG2320876	2.07263780313807
OG0493792	2.07200673712035
OG1090489	2.07200673712035
OG181228	2.07200673712035
OG2211634	2.07200673712035
OG3305027	2.07200673712035
OG3359336	2.07128832901491
OG0413336	2.0703229036224
OG1962649	2.0703229036224
OG70568	2.0703229036224
OG1948534	2.0672887349767
OG1967983	2.0660497900976
OG1921565	2.06587932202693
OG0469094	2.06576684303236
OG1131081	2.06576684303236
OG1935621	2.06576684303236
OG2132057	2.06576684303236
OG2401038	2.06576684303236
OG40596	2.06576684303236
OG2613085	2.06526531123733
OG0144223	2.06298866369749
OG1548963	2.06247883521263
OG1885686	2.06247883521263
OG2043339	2.06247883521263
OG2519298	2.06247883521263
OG1814424	2.06147585859113
OG0246976	2.06128784586298
OG0483843	2.06112505475955
OG1158544	2.06112505475955
OG183422	2.06112505475955
OG2077755	2.06112505475955
OG2581920	2.06112505475955
OG355767	2.06112505475955
OG43607	2.06112505475955
OG0252338	2.06105564759241
OG0482474	2.06105564759241
OG801118	2.06105564759241
OG0550627	2.05961988544435
OG0292626	2.05770940849148
OG0292494	2.05757364626015
OG0361527	2.05757364626015
OG0415212	2.05757364626015
OG0439005	2.05757364626015
OG0492082	2.05757364626015
OG2257267	2.05757364626015
OG3092787	2.05757364626015
OG831139	2.05707894511418
OG0152152	2.05658701117137
OG0335562	2.05650975090905
OG0340441	2.05639449374303
OG1722663	2.05639449374303
