						origin of trimmed reads (classified by bbduk)								
Accession	Run	Strandness	Raw Reads	Trimmed Reads	% Trimmed	rfam-5.8s-database-id98	silva-bac-16s-id90	rfam-5s-database-id98	silva-bac-23s-id98	silva-arc-16s-id95	silva-euk-18s-id95	silva-arc-23s-id98	silva-euk-28s-id98	Mapping Rate
SRR5259005	KQB09-20620_bottom-internode	ISR	15,438,468	689,128	95.54	52,395	2,617,908	26,411	5,055,763	15,106	2,703,342	12,405	4,138,444	96.50
SRR5258966	KQB09-23137_top-internode	ISR	32,469,122	3,701,302	88.60	85,774	5,021,849	50,943	9,708,439	25,597	5,252,489	22,888	8,034,122	94.95
SRR5258967	KQB09-23137_top-internode	ISR	32,326,000	3,692,700	88.58	86,349	5,011,228	50,669	9,647,675	27,181	5,228,267	22,588	8,015,031	94.99
SRR5259006	KQB09-23137_bottom-internode	ISR	33,424,022	6,108,512	81.72	45,821	4,549,982	22,736	8,253,839	26,754	5,333,393	21,763	8,141,468	97.39
SRR5259007	KQB09-23137_bottom-internode	ISR	33,213,316	6,080,894	81.69	45,050	4,533,622	22,818	8,188,296	28,843	5,293,763	21,435	8,108,585	97.38
SRR5258968	QBYN04-26041_top-internode	ISR	7,789,044	6,627,058	14.92	692	82,530	1,522	193,795	202	52,215	179	69,144	96.87
SRR5258969	QBYN04-26041_top-internode	ISR	7,748,512	6,610,918	14.68	634	82,713	1,443	193,148	223	51,748	176	69,506	96.87
SRR5259008	QBYN04-26041_bottom-internode	ISR	25,523,060	2,369,582	90.72	54,037	4,033,997	30,332	7,541,154	21,536	4,324,708	18,287	6,746,069	97.02
SRR5259009	QBYN04-26041_bottom-internode	ISR	25,411,310	2,365,112	90.69	54,169	4,018,799	31,065	7,500,179	23,687	4,305,908	17,951	6,726,016	97.04
SRR5258970	KQB07-24739_top-internode	ISR	14,470,854	3,811,534	73.66	19,916	1,465,020	9,448	2,834,503	10,988	2,305,465	8,576	3,227,213	93.69
SRR5258971	KQB07-24739_top-internode	ISR	14,407,260	3,810,892	73.55	20,253	1,461,311	9,114	2,815,869	11,922	2,296,564	8,594	3,214,914	93.70
SRR5259010	KQB07-24739_bottom-internode	ISR	23,055,408	2,313,590	89.97	49,766	3,584,446	26,239	6,849,170	19,917	3,862,661	16,458	5,952,114	96.91
SRR5259011	KQB07-24739_bottom-internode	ISR	22,986,342	2,314,630	89.93	50,243	3,570,097	26,513	6,837,461	21,399	3,840,527	16,490	5,939,509	96.90
SRR5258972	KQB07-24619_top-internode	ISR	24,559,880	6,936,856	71.76	23,089	2,672,453	17,570	5,011,303	17,292	3,527,771	13,141	4,932,390	97.44
SRR5258973	KQB07-24619_top-internode	ISR	24,477,534	6,936,746	71.66	23,543	2,671,179	17,277	4,994,980	18,414	3,513,220	13,103	4,919,156	97.42
SRR5259012	KQB07-24619_bottom-internode	ISR	7,299,762	5,401,284	26.01	1,813	221,346	2,051	431,353	1,033	206,854	823	335,234	96.33
SRR5259013	KQB07-24619_bottom-internode	ISR	7,264,976	5,392,394	25.78	1,916	221,486	2,051	429,377	1,169	206,419	820	334,676	96.34
