Gene	CV
OG0000000	3.10045521669917
OG0000001	3.0710124843989
OG0000002	3.06702835911135
OG0000003	3.05599488016673
OG0000004	3.05358629764106
OG0000005	3.05317824162402
OG0000006	3.03659718338379
OG0000007	3.03290956083226
OG0000008	3.03039491000944
OG0000009	3.01690799559034
OG0000010	3.01352398881088
OG0000011	3.0129222049043
OG0000012	3.0035788726699
OG0000013	3.00180168244974
OG0000014	3.0008986505448
OG0000015	2.99944177365109
OG0000016	2.99894524772681
OG0000017	2.99615983360905
OG0000018	2.99368528091855
OG0000019	2.99263157790954
OG0000020	2.99004342713052
OG0000021	2.98956071816083
OG0000022	2.9890772323988
OG0000023	2.98756293621658
OG0000024	2.98665239238208
OG0000025	2.98565471400189
OG0000026	2.98534261878738
OG0000027	2.98447201151812
OG0000029	2.98287095342232
OG0000030	2.98165572234956
OG0000031	2.98040339115136
OG0000032	2.98010165089797
OG0000033	2.97692524366868
OG0000034	2.97264671625628
OG0000035	2.97207155000958
OG0000036	2.96404787467783
OG0000037	2.96395427427449
OG0000038	2.96305217267347
OG0000039	2.96226864264154
OG0000040	2.96160827530311
OG0000041	2.96065755910764
OG0000042	2.95978012945201
OG0000043	2.95951446654289
OG0000044	2.95889661715229
OG0000045	2.95803633065763
OG0000046	2.9562104741102
OG0000047	2.95604774891123
OG0000048	2.95452878587281
OG0000049	2.95356053886656
OG0000050	2.95353553112496
OG0000051	2.95157854493756
OG0000052	2.95016585149466
OG0000053	2.94856392804009
OG0000054	2.94688069641008
OG0000055	2.94677230321924
OG0000056	2.94652431227078
OG0000057	2.94523971312403
OG0000058	2.94478955741432
OG0000059	2.94386254000829
OG0000060	2.94292107211708
OG0000061	2.94251323055577
OG0000062	2.94193154386045
OG0000063	2.94181458461203
OG0000064	2.94139490650213
OG0000065	2.9401549125936
OG0000066	2.93997645787761
OG0000067	2.93968911713774
OG0000068	2.93925577966809
OG0000069	2.93918741333186
OG0000070	2.9389433084464
OG0000071	2.93867360268235
OG0000072	2.93857545428288
OG0000073	2.93808178260855
OG0000074	2.93553167657153
OG0000075	2.93476156142029
OG0000076	2.93398260775928
OG0000077	2.93386293257034
OG0000078	2.93351091636854
OG0000079	2.93287687074195
OG0000080	2.93253017458929
OG0000081	2.93239743950946
OG0000082	2.93223687840477
OG0000083	2.93213514353607
OG0000084	2.93198959719542
OG0000085	2.93198959719542
OG0000086	2.9315146031151
OG0000087	2.93130654690385
OG0000088	2.93103304635864
OG0000089	2.93077462287184
OG0000090	2.93075724285302
OG0000091	2.93061891875961
OG0000092	2.92961987847138
OG0000093	2.9287945700952
OG0000094	2.92850950631562
OG0000095	2.92822324542731
OG0000096	2.92758166423586
OG0000097	2.92721177254626
