CriollaRayada_low-biomass	IJ76-318_high-biomass	IN84-58_high-biomass	IN84-88_high-biomass	Krakatau_high-biomass	RB72454_low-biomass	RB855156_low-biomass	SES205A_high-biomass	SP80-3280_low-biomass	TUC71–7_low-biomass	US85–1008_high-biomass	WhiteTransparent_low-biomass
OG0000000	8.38686953370615	8.70839111203477	9.96371067226357	7.97451830477192	8.81488454908891	9.31068483863769	8.42696785083118	10.2592405655094	9.79244704168817	8.65856243367789	10.1320404379047	9.60805622029382
OG0000001	8.55465111479169	8.16704990750961	9.65325445204438	7.89378145289526	8.45756265158543	9.47244151384717	8.2318829221962	10.0587068413831	9.53923877261268	8.65077479284461	10.1072413632949	9.48646244475787
OG0000002	8.42696785083118	7.81544084762982	9.37117237276463	7.55746006894765	8.14663145445482	9.14726515792407	7.90553782669623	9.2320651076791	9.32853475278089	8.22205640599244	9.79244704168817	9.35123139953376
OG0000003	6.93772572256972	7.60661408671819	8.8723800500701	7.16767939910786	7.43963687967022	9.00141477295346	7.1131415734287	9.03852977020496	8.989223550936	7.31319730015257	9.34369711791203	8.67261763429488
OG0000004	8.29923576238536	7.86405165948069	9.36122906115946	7.06627637603257	7.52874169804614	9.18883017267291	8.32270485765963	9.28606230121805	9.54375716547368	8.2318829221962	9.49111238429708	9.21061601504652
OG0000005	9.54757670532808	10.3187159748037	11.9265172484398	10.3297059146046	10.4742668294438	11.5720760525374	9.40371832693986	11.9209075744	11.8120780165983	9.80332423644104	11.6997725543183	11.632526782947
OG0000006	7.58571597645591	7.59967554808654	9.07580530362047	7.55746006894765	8.01357974019037	8.67988215877938	7.88194816584699	9.29931554823187	9.01352443751912	8.00250459784824	9.41526061243273	8.86584421084923
OG0000007	9.68320669861748	9.12555171806447	11.03909272141	8.17717450322288	8.52564104682747	11.1292568298859	9.65641808953637	11.0045576766906	11.5827932387116	10.0444595757338	12.0513859801289	10.8526658741673
OG0000008	8.46621144129032	8.78974243945568	9.99932247441066	9.34339004344712	8.20224423466418	10.8537849560877	8.27546339466297	8.49550037528847	10.0804202405189	9.35137269799061	8.13050111022522	9.88475146218539
OG0000009	9.3619623176824	8.82555440122457	10.2849142966183	8.38235977631493	9.19628423514152	10.2697197400654	9.19339130488137	10.3676143233823	10.7301255244914	9.42424455782592	10.8582546844056	10.4513314414449
OG0000010	9.30566959919511	9.80954403624016	11.3214843934867	8.47481978570875	8.97197232404244	11.3241074585431	9.67654593639903	11.1482190556673	10.967758015335	9.68320669861748	10.2939721695744	10.9928750498333
