Exclusive	OG897653	B1_k25_TRINITY_DN100400_c0_g1_i1
Exclusive	OG2940289	B1_k25_TRINITY_DN103607_c0_g1_i1
Accessory	OG2363172	B1_k25_TRINITY_DN109911_c0_g1_i1
Accessory	OG1261978	B1_k25_TRINITY_DN110218_c0_g1_i1
Accessory	OG1435712	B1_k25_TRINITY_DN11245_c0_g3_i3
Accessory	OG3325328	B1_k25_TRINITY_DN113195_c1_g1_i1
Exclusive	OG368239	B1_k25_TRINITY_DN11395_c0_g1_i3
Exclusive	OG1246814	B1_k25_TRINITY_DN12215_c0_g1_i3
Exclusive	OG1416159	B1_k25_TRINITY_DN13182_c1_g1_i2
Accessory	OG2706718	B1_k25_TRINITY_DN13535_c3_g1_i15
Accessory	OG2018877	B1_k25_TRINITY_DN13598_c1_g3_i7
Accessory	OG2887083	B1_k25_TRINITY_DN19241_c0_g1_i1
Exclusive	OG1953004	B1_k25_TRINITY_DN21282_c0_g1_i5
Accessory	OG138664	B1_k25_TRINITY_DN22602_c0_g1_i11
Accessory	OG2399613	B1_k25_TRINITY_DN2906_c0_g1_i3
Accessory	OG1545667	B1_k25_TRINITY_DN2950_c0_g2_i1
Accessory	OG1390164	B1_k25_TRINITY_DN30158_c0_g1_i1
Accessory	OG2709157	B1_k25_TRINITY_DN31130_c0_g1_i2
Accessory	OG2076811	B1_k25_TRINITY_DN32048_c0_g1_i1
Accessory	OG3244662	B1_k25_TRINITY_DN34449_c1_g1_i1
Accessory	OG3065849	B1_k25_TRINITY_DN492_c4_g1_i1
Exclusive	OG3137417	B1_k25_TRINITY_DN5404_c0_g1_i1
Accessory	OG1494295	B1_k25_TRINITY_DN54202_c0_g1_i1
Accessory	OG1729944	B1_k25_TRINITY_DN6966_c2_g1_i7
Accessory	OG3187613	B1_k25_TRINITY_DN7006_c0_g1_i10
Exclusive	OG1879153	B1_k25_TRINITY_DN7653_c0_g1_i1
Accessory	OG2048317	B1_k25_TRINITY_DN77292_c0_g1_i1
Exclusive	OG1677680	B1_k25_TRINITY_DN78222_c0_g1_i1
Exclusive	OG897654	B1_k31_TRINITY_DN109330_c0_g1_i1
Accessory	OG2940290	B1_k31_TRINITY_DN117290_c0_g1_i1
Exclusive	OG2894061	B1_k31_TRINITY_DN118039_c0_g1_i1
Accessory	OG1717447	B1_k31_TRINITY_DN12857_c0_g1_i2
Accessory	OG2171430	B1_k31_TRINITY_DN13829_c0_g1_i6
Accessory	OG958811	B1_k31_TRINITY_DN14722_c0_g1_i1
Accessory	OG446836	B1_k31_TRINITY_DN15103_c0_g2_i2
Exclusive	OG567491	B1_k31_TRINITY_DN1603_c0_g1_i13
Accessory	OG1510786	B1_k31_TRINITY_DN1603_c0_g1_i12
Accessory	OG2913510	B1_k31_TRINITY_DN1603_c0_g1_i1
Accessory	OG2913510	B1_k31_TRINITY_DN1603_c0_g1_i10
Exclusive	OG1416160	B1_k31_TRINITY_DN16172_c0_g1_i4
Exclusive	OG740300	B1_k31_TRINITY_DN18131_c0_g1_i3
Exclusive	OG451415	B1_k31_TRINITY_DN19852_c0_g1_i6
Accessory	OG3195072	B1_k31_TRINITY_DN2236_c0_g2_i3
Accessory	OG943960	B1_k31_TRINITY_DN22563_c0_g3_i1
Accessory	OG2477818	B1_k31_TRINITY_DN23867_c0_g1_i1
Accessory	OG1446595	B1_k31_TRINITY_DN25257_c0_g1_i2
Accessory	OG423966	B1_k31_TRINITY_DN28602_c0_g1_i1
Exclusive	OG2058099	B1_k31_TRINITY_DN29083_c0_g1_i1
Accessory	OG483793	B1_k31_TRINITY_DN30588_c0_g1_i1
Exclusive	OG2259072	B1_k31_TRINITY_DN31468_c0_g1_i1
Accessory	OG2431020	B1_k31_TRINITY_DN32090_c0_g1_i1
Accessory	OG1913567	B1_k31_TRINITY_DN33000_c0_g1_i1
Accessory	OG287818	B1_k31_TRINITY_DN35107_c0_g1_i5
Accessory	OG2904371	B1_k31_TRINITY_DN36955_c0_g1_i1
Exclusive	OG897658	B1_k31_TRINITY_DN38736_c0_g1_i2
Accessory	OG1720189	B1_k31_TRINITY_DN4014_c0_g2_i3
Exclusive	OG485791	B1_k31_TRINITY_DN41618_c0_g1_i1
Accessory	OG962641	B1_k31_TRINITY_DN4381_c0_g1_i1
Exclusive	OG2372919	B1_k31_TRINITY_DN5013_c0_g1_i15
Accessory	OG3046175	B1_k31_TRINITY_DN51488_c0_g1_i1
Accessory	OG1857270	B1_k31_TRINITY_DN62671_c0_g1_i1
Accessory	OG245749	B1_k31_TRINITY_DN6364_c0_g2_i3
Accessory	OG2894062	B1_k31_TRINITY_DN65155_c0_g1_i1
Accessory	OG1706248	B1_k31_TRINITY_DN71543_c0_g1_i1
Accessory	OG3188683	B1_k31_TRINITY_DN76293_c0_g1_i2
Accessory	OG3182406	B1_k31_TRINITY_DN7858_c0_g1_i10
Accessory	OG446837	B1_k31_TRINITY_DN8857_c0_g1_i3
Exclusive	OG1416161	B1_k25_TRINITY_DN10142_c0_g1_i12
Accessory	OG740301	B1_k25_TRINITY_DN103842_c0_g1_i1
Exclusive	OG291656	B1_k25_TRINITY_DN10813_c0_g2_i1
Accessory	OG2310969	B1_k25_TRINITY_DN113483_c0_g1_i1
Accessory	OG1147554	B1_k25_TRINITY_DN114514_c0_g1_i1
Accessory	OG2116999	B1_k25_TRINITY_DN13219_c0_g1_i7
Accessory	OG2940296	B1_k25_TRINITY_DN13532_c0_g1_i1
Exclusive	OG1913568	B1_k25_TRINITY_DN13857_c0_g3_i1
Exclusive	OG3065850	B1_k25_TRINITY_DN14239_c0_g1_i2
Accessory	OG2802497	B1_k25_TRINITY_DN15812_c0_g1_i2
Accessory	OG2428138	B1_k25_TRINITY_DN22012_c1_g1_i1
Accessory	OG3063487	B1_k25_TRINITY_DN23412_c0_g1_i1
Accessory	OG1167734	B1_k25_TRINITY_DN26381_c0_g1_i1
Exclusive	OG2940294	B1_k25_TRINITY_DN27360_c1_g2_i1
Accessory	OG1652879	B1_k25_TRINITY_DN32050_c0_g1_i1
Accessory	OG1677681	B1_k25_TRINITY_DN3358_c0_g1_i2
Exclusive	OG897655	B1_k25_TRINITY_DN36213_c0_g1_i6
Accessory	OG238809	B1_k25_TRINITY_DN36358_c1_g1_i1
Accessory	OG678927	B1_k25_TRINITY_DN37163_c0_g1_i1
Accessory	OG2894063	B1_k25_TRINITY_DN38993_c0_g1_i1
Accessory	OG236114	B1_k25_TRINITY_DN4064_c0_g1_i3
Exclusive	OG1435713	B1_k25_TRINITY_DN43692_c0_g1_i1
Accessory	OG2259074	B1_k25_TRINITY_DN47111_c0_g1_i1
Accessory	OG368240	B1_k25_TRINITY_DN47429_c0_g1_i1
Accessory	OG1782309	B1_k25_TRINITY_DN48693_c0_g1_i1
Accessory	OG271317	B1_k25_TRINITY_DN55471_c0_g1_i1
Accessory	OG1272299	B1_k25_TRINITY_DN59196_c0_g1_i1
