cluster_1	cluster_2	Jaccard	Overlap
out.4.3_1	out.4.8_1	0.9905274888558693	0.9963169553497558
out.4.3_1	out.4.8_135	5.337745869919133e-05	1.0
out.4.3_1	out.4.8_136	5.337745869919133e-05	1.0
out.4.3_1	out.4.8_138	5.337745869919133e-05	1.0
out.4.3_1	out.4.8_149	5.337745869919133e-05	1.0
out.4.3_1	out.4.8_163	2.6688729349595664e-05	1.0
out.4.3_2	out.4.8_2	0.9206525357895905	0.9974350753446618
out.4.3_3	out.4.8_3	0.9282317979197623	0.9954849675980028
out.4.3_4	out.4.8_4	0.9962500808172238	0.9993514495103444
out.4.3_5	out.4.8_5	0.952276639023627	0.9912052117263843
out.4.3_6	out.4.8_6	0.9931224209078404	1.0
out.4.3_7	out.4.8_7	0.9924492685228882	1.0
out.4.3_8	out.4.8_8	0.9962061747776033	1.0
out.4.3_9	out.4.8_9	0.9957627118644068	1.0
out.4.3_10	out.4.8_10	0.99306977476768	1.0
out.4.3_11	out.4.8_12	0.9741112828438949	1.0
out.4.3_11	out.4.8_102	0.02414059482425647	0.984251968503937
out.4.3_12	out.4.8_11	0.9514193179653267	0.9821042281219272
out.4.3_12	out.4.8_167	0.00019387359441644047	1.0
out.4.3_13	out.4.8_13	0.9738414006179197	0.9901570680628272
out.4.3_13	out.4.8_186	0.0002094240837696335	1.0
out.4.3_14	out.4.8_14	0.99727385377943	1.0
out.4.3_15	out.4.8_16	0.9888049258326337	1.0
out.4.3_16	out.4.8_15	0.9775659001682557	0.9937286202964652
out.4.3_17	out.4.8_17	0.9672881910369644	0.984026622296173
out.4.3_17	out.4.8_108	0.00431463657484235	0.7647058823529411
out.4.3_18	out.4.8_18	0.9857427055702918	0.994314381270903
out.4.3_18	out.4.8_176	0.00033344448149383126	1.0
out.4.3_19	out.4.8_19	0.992818671454219	1.0
out.4.3_20	out.4.8_21	0.9684873949579832	0.9956803455723542
out.4.3_21	out.4.8_20	0.9671440606571188	0.9896551724137931
out.4.3_22	out.4.8_22	0.9893143365983972	1.0
out.4.3_23	out.4.8_23	0.9692095588235294	0.9887482419127989
out.4.3_23	out.4.8_115	0.0013934045517882026	0.75
out.4.3_24	out.4.8_24	0.9847290640394089	0.9950223992035838
out.4.3_25	out.4.8_25	0.9823376623376623	0.9942166140904312
out.4.3_26	out.4.8_26	0.9709338280766853	0.9924146649810367
out.4.3_26	out.4.8_170	0.0006230529595015577	1.0
out.4.3_27	out.4.8_27	0.9823232323232324	0.9917144678138942
out.4.3_28	out.4.8_28	0.9816031537450722	0.996
out.4.3_29	out.4.8_29	0.9729537366548042	0.9920174165457184
out.4.3_29	out.4.8_150	0.001451378809869376	1.0
out.4.3_29	out.4.8_168	0.000725689404934688	1.0
out.4.3_30	out.4.8_3	0.06675282071673543	0.9896831245394252
out.4.3_31	out.4.8_30	0.9772899318697956	0.9930769230769231
out.4.3_31	out.4.8_162	0.0007621951219512195	1.0
out.4.3_32	out.4.8_31	0.9777227722772277	0.9991568296795953
out.4.3_33	out.4.8_32	0.9759036144578314	0.9929947460595446
