GO.ID,Term,Annotated,Significant,Expected,Classic,p.adj
GO:1990542,mitochondrial transmembrane transport,38,1,0.01,0.0082,0.0156
GO:0006839,mitochondrial transport,73,1,0.02,0.0156,0.0156
