Name,low_value_proportion (< 0.084980)
OG2114364,0.0
OG0349781,0.0
OG0350240,0.0
OG0350314,0.0
OG0350489,0.0
OG0350509,0.0
OG0350677,0.0
OG0350952,0.0
OG0351012,0.0
OG0351155,0.0
OG0351205,0.0
OG0351274,0.0
OG0351279,0.0
OG0351428,0.0
OG0351640,0.0
OG0351826,0.0
OG0351890,0.0
OG0352242,0.0
OG0352302,0.0
OG0352451,0.0
OG0352852,0.0
OG0352989,0.0
OG0353125,0.0
OG0353156,0.0
OG0353339,0.0
OG0353905,0.0
OG0353972,0.0
OG0354048,0.0
OG0349730,0.0
OG0354154,0.0
OG0349633,0.0
OG0349168,0.0
OG0344427,0.0
OG0344602,0.0
OG0344924,0.0
OG0345002,0.0
OG0345068,0.0
OG0345125,0.0
OG0345162,0.0
OG0345202,0.0
OG0345455,0.0
OG0346305,0.0
OG0346522,0.0
OG0346619,0.0
OG0347292,0.0
OG0347327,0.0
OG0347330,0.0
OG0347332,0.0
OG0347497,0.0
OG0347692,0.0
OG0347848,0.0
OG0348476,0.0
OG0348552,0.0
OG0348600,0.0
OG0348849,0.0
OG0348923,0.0
OG0348924,0.0
OG0348960,0.0
OG0348971,0.0
OG0349217,0.0
OG0344352,0.0
OG0354325,0.0
OG0354509,0.0
OG0358650,0.0
OG0359155,0.0
OG0359567,0.0
OG0359642,0.0
OG0359736,0.0
OG0359791,0.0
OG0359811,0.0
OG0360034,0.0
OG0360513,0.0
OG0360546,0.0
OG0360552,0.0
OG0360784,0.0
OG0361024,0.0
OG0361409,0.0
OG0361421,0.0
OG0361708,0.0
OG0361914,0.0
OG0362049,0.0
OG0362103,0.0
OG0362132,0.0
OG0362197,0.0
OG0362289,0.0
OG0362456,0.0
OG0362872,0.0
OG0362895,0.0
OG0363005,0.0
OG0363067,0.0
OG0358636,0.0
OG0354497,0.0
OG0358490,0.0
OG0358202,0.0
OG0354541,0.0
OG0354570,0.0
OG0354579,0.0
OG0354594,0.0
OG0354784,0.0
OG0354883,0.0
OG0354997,0.0
OG0355242,0.0
OG0355392,0.0
OG0355423,0.0
OG0355616,0.0
OG0355625,0.0
OG0355880,0.0
OG0355985,0.0
OG0355999,0.0
OG0356082,0.0
OG0356213,0.0
OG0356224,0.0
OG0356313,0.0
OG0356560,0.0
OG0356631,0.0
OG0356851,0.0
OG0356854,0.0
OG0356945,0.0
OG0357209,0.0
OG0357775,0.0
OG0358142,0.0
OG0358381,0.0
OG0344212,0.0
OG0344197,0.0
OG0344057,0.0
OG0330463,0.0
OG0330517,0.0
OG0330714,0.0
OG0330764,0.0
OG0330783,0.0
OG0330896,0.0
OG0330936,0.0
OG0331380,0.0
OG0331466,0.0
OG0331677,0.0
OG0331687,0.0
OG0331702,0.0
OG0331725,0.0
OG0331757,0.0
OG0331827,0.0
OG0332389,0.0
OG0332496,0.0
OG0332523,0.0
OG0332537,0.0
OG0332542,0.0
OG0332759,0.0
OG0333164,0.0
OG0333201,0.0
OG0333249,0.0
OG0333417,0.0
OG0333577,0.0
OG0333583,0.0
OG0330422,0.0
OG0334023,0.0
OG0330357,0.0
OG0330079,0.0
OG0327156,0.0
OG0327207,0.0
OG0327239,0.0
OG0327294,0.0
OG0327434,0.0
OG0327445,0.0
OG0327729,0.0
OG0327798,0.0
OG0327890,0.0
OG0327936,0.0
OG0327958,0.0
OG0327985,0.0
OG0328369,0.0
OG0328580,0.0
OG0328670,0.0
OG0328736,0.0
OG0328769,0.0
OG0328821,0.0
OG0328871,0.0
OG0328946,0.0
OG0328967,0.0
OG0328980,0.0
OG0329002,0.0
OG0329148,0.0
OG0329160,0.0
OG0329463,0.0
OG0329756,0.0
OG0330171,0.0
OG0334076,0.0
OG0334159,0.0
OG0334241,0.0
OG0339801,0.0
OG0339916,0.0
OG0339958,0.0
OG0340210,0.0
OG0340255,0.0
OG0340381,0.0
OG0340384,0.0
OG0340761,0.0
OG0340926,0.0
OG0341606,0.0
OG0341653,0.0
OG0341864,0.0
OG0341914,0.0
OG0341937,0.0
OG0342121,0.0
OG0342362,0.0
OG0342462,0.0
OG0342619,0.0
OG0342630,0.0
OG0342984,0.0
OG0343057,0.0
OG0343198,0.0
OG0343280,0.0
OG0343612,0.0
